time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
1000,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
2000,99701128.0,99702816.0,99702030.83333333,423.9386002496225,99702030.83246218,1.8466452785268174e-06,1.0000042520669303
3000,99231458.0,99234072.0,99232698.8,758.1188333745846,99232698.79720077,3.3179269131996475e-06,1.0000076398382334
4000,98790197.0,98793305.0,98791432.9,866.4257275608276,98791432.8963273,3.80886192796706e-06,1.0000087702671552
5000,98381764.0,98385656.0,98383498.06666666,917.4591199511884,98383498.06253119,4.049936653187816e-06,1.0000093253672462
6000,97994804.0,97999771.0,97997242.4,1310.8430453929914,97997242.39152502,5.809243534076127e-06,1.000013376367026
7000,97623391.0,97628186.0,97625554.26666667,1259.079547029149,97625554.2588181,5.601090436534385e-06,1.0000128970705102
8000,97262394.0,97268733.0,97265155.8,1445.6129925183745,97265155.7896151,6.454722127412335e-06,1.0000148626573981
9000,96912383.0,96918887.0,96914779.8,1428.4261027559255,96914779.7898245,6.401028275264596e-06,1.0000147390209047
10000,96571186.0,96578180.0,96573433.5,1469.0514826311191,96573433.4891991,6.606324513107563e-06,1.0000152117400407
11000,96237859.0,96244626.0,96240823.53333333,1654.249652453848,96240823.51959054,7.464898067609546e-06,1.0000171887107354
12000,95913354.0,95921264.0,95916923.8,2023.1785746264686,95916923.77937323,9.160554491204461e-06,1.000021093178673
13000,95596632.0,95605682.0,95601010.43333334,2224.8059300614927,95601010.40830812,1.010678266067936e-05,1.0000232719978814
14000,95288522.0,95297170.0,95292976.66666667,2139.962783004339,95292976.64343911,9.752801803175638e-06,1.0000224569081995
15000,94986573.0,94997093.0,94992580.3,2323.897174857431,94992580.27252151,1.0624636493242801e-05,1.0000244644288572
16000,94693828.0,94703849.0,94699563.4,2566.3878493133975,94699563.36638378,1.1769546505441447e-05,1.0000271007495534
