time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
1000,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
2000,99952095.0,99952780.0,99952427.86666666,145.59905582616682,99952427.86656441,6.32629645254527e-07,1.0000014566846516
3000,99942466.0,99943399.0,99942918.9,252.91355344710453,99942918.89969003,1.0990168682973375e-06,1.0000025305830598
4000,99940070.0,99940738.0,99940423.7,210.66907371678846,99940423.69978574,9.154696476744663e-07,1.0000021079489856
5000,99939081.0,99940044.0,99939541.26666667,241.83735391193483,99939541.26638341,1.0509215819900737e-06,1.0000024198392965
6000,99938596.0,99939718.0,99939249.93333334,271.37922738756413,99939249.9329772,1.1793021182182113e-06,1.0000027154471645
7000,99938573.0,99939464.0,99939136.8,217.385943142288,99939136.79977138,9.446706594608607e-07,1.000002175186944
8000,99938462.0,99939440.0,99938971.16666667,271.4831655838024,99938971.16631036,1.1797564607455016e-06,1.0000027164933296
9000,99938468.0,99939489.0,99938947.06666666,257.04044138179324,99938947.06634736,1.1169934354632521e-06,1.000002571975741
10000,99938435.0,99939125.0,99938787.0,180.07125026614824,99938786.99984363,7.825186395107203e-07,1.0000018018173775
11000,99938461.0,99939092.0,99938774.46666667,181.76429096845285,99938774.46650706,7.898756377989112e-07,1.0000018187575228
12000,99938119.0,99939164.0,99938704.96666667,254.9941829401865,99938704.96635213,1.1081052397525046e-06,1.0000025515098616
13000,99938213.0,99939029.0,99938639.5,205.02527178122583,99938639.49979684,8.909601999138033e-07,1.000002051513779
14000,99938098.0,99939194.0,99938530.0,232.0101067953127,99938529.99973963,1.0082263206014033e-06,1.000002321529591
15000,99938253.0,99938972.0,99938566.63333334,179.4432929989272,99938566.63317771,7.797913081250598e-07,1.0000017955374536
16000,99938083.0,99938904.0,99938504.66666667,246.13443667951097,99938504.66637452,1.0696058999652108e-06,1.0000024628616335
