time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,100000.0,100000.0,100000.0,0.0,100000.0,0.0,1.0
1000,9994579.0,10103301.0,10062679.633333333,49407.807565678595,10062562.170359407,0.0021352576226277087,1.004928718742817
2000,97270497.0,105605791.0,101436644.03333333,1786112.1504538455,101421436.86239055,0.0076502280378466046,1.0177713654805645
3000,99979092.0,106225820.0,102768252.23333333,1613576.3768649867,102756015.12731168,0.006815908969552948,1.0158180113130235
4000,99956247.0,105879309.0,103149042.33333333,1500207.4300537824,103138460.11406896,0.00633305080914159,1.0146892301159847
5000,101935624.0,107181069.0,104526830.83333333,1594002.6344290539,104515061.513108,0.006631795178917255,1.0153874590625425
6000,102773341.0,108913505.0,105429869.96666667,1639517.0543916272,105417565.56161489,0.006746382258949503,1.0156554008383236
7000,102842559.0,108866287.0,106022595.03333333,1503178.1813723305,106012292.00731075,0.006158721025382129,1.0142820063002467
8000,105298596.0,110400536.0,107562313.63333334,1536354.9121801136,107551710.72445317,0.0062018987830589406,1.01438285169804
9000,105206308.0,110947392.0,108208635.3,1476911.6867340198,108198888.80148514,0.005929431468949028,1.0137466486117501
10000,106641570.0,113176251.0,109334408.73333333,1565282.8502408764,109323635.41483068,0.006192996185691558,1.0143620580892734
11000,106732342.0,114341977.0,110333148.56666666,2057641.6716759903,110314675.67642449,0.008075642553476968,1.0187688150467993
12000,107892843.0,115359885.0,111247288.33333333,1608064.0377625283,111236070.5616063,0.0062709515143902425,1.0145441511811828
13000,110627202.0,116310366.0,112668036.16666667,1546113.0614171003,112657840.36768772,0.005934209170155656,1.0137578009644264
14000,109958999.0,116802894.0,113091737.33333333,1590472.0584364436,113080926.76104273,0.00610783460114859,1.0141631695133038
15000,111128667.0,118373065.0,115008927.8,1679325.5825398439,114997055.79316077,0.0063499060580240315,1.0147286116234986
16000,112201413.0,118066109.0,115345040.73333333,1593192.2986510757,115334392.26067522,0.006004112127141857,1.013920986025058
17000,113776361.0,119666080.0,116673030.7,1398263.139806252,116664928.02848548,0.005206583308400395,1.012060752432507
18000,114382008.0,121040422.0,117843616.16666667,1820881.0425587005,117830016.88503051,0.006711077072904186,1.0155728383216065
19000,115381229.0,121554646.0,118492511.96666667,1565462.1803252401,118482515.88313885,0.005737803593191052,1.0132994422272175
20000,116237923.0,123111015.0,120036394.5,1780491.7472349724,120023594.34671506,0.006455552296220708,1.0149754839765106
21000,117631540.0,123648461.0,120811305.66666667,1450853.152075401,120802860.82278521,0.005226624049718489,1.0121074555718792
22000,118838133.0,124932088.0,122020845.16666667,1286934.325395181,122014258.06995378,0.004594621394751829,1.0106356675895096
23000,119305715.0,125755955.0,122986167.23333333,1512320.2270746143,122977158.68739821,0.0053496164914326435,1.012394125563589
24000,119760878.0,127362969.0,123981417.86666666,1733378.3516713278,123969686.89188802,0.0060790976014353185,1.0140960651780506
25000,122197275.0,129353013.0,125748650.2,1637773.684730847,125738329.26960663,0.005661174119670448,1.0131206654846463
26000,122728744.0,128803244.0,126524712.66666667,1644487.3305845791,126514320.48348194,0.005670063302352136,1.0131414023514864
27000,124187820.0,131783492.0,127626418.93333334,1665596.0657436587,127615927.18869549,0.005662220332930159,1.0131231060902601
28000,125571496.0,131407308.0,128584357.5,1493508.3199402015,128575956.27493422,0.005052085940049976,1.011700782595148
29000,126364027.0,132330553.0,129597472.86666666,1403166.4377195607,129590118.97613537,0.004707584377902068,1.0108985750714365
30000,127004008.0,133854085.0,131012545.76666667,1621809.977001402,131002795.87025753,0.0053955974946601724,1.0125013186408076
31000,129873589.0,135264683.0,132430974.73333333,1492781.4242537417,132422841.28290884,0.00489579390337149,1.011336761558944
32000,130337816.0,137219609.0,133663278.66666667,1811528.0001635377,133651455.31455831,0.005870128458904043,1.0136082307275756
33000,131834767.0,137755659.0,134787168.93333334,1685357.6187972059,134776981.97049588,0.005431119238600335,1.0125841363715724
34000,131745690.0,140570525.0,136199271.63333333,1893016.0672436238,136186562.24983102,0.0060338960044452935,1.0139905230213369
35000,133734705.0,140221034.0,137241468.3,1703184.357650695,137231211.07055554,0.005406107229677086,1.0125258210228614
36000,135268117.0,142024838.0,138531990.66666666,1667890.1478212718,138522293.5728263,0.005225491923686778,1.0121048171968787
37000,136965996.0,143031719.0,140235215.26666668,1734228.1090152715,140224833.09832817,0.005377286621595192,1.01245863011249
38000,137314020.0,143723426.0,140819436.76666668,1711013.7431385561,140809373.11171553,0.0052830964883090565,1.012239071087981
39000,139615950.0,145216612.0,142218735.36666667,1374326.920552635,142212321.19337776,0.0041945090697293,1.0097050051238279
40000,140326559.0,145912385.0,143167961.3,1537568.6814429967,143159977.48026183,0.00466541112621351,1.0108004140035545
41000,141374258.0,147983783.0,144496035.43333334,1473132.2515895,144488778.50579947,0.004426822475708504,1.0102452624088307
42000,143553210.0,149575107.0,146733110.4,1622120.4619478702,146724411.43826115,0.004814374490399591,1.0111471788431232
43000,143505154.0,150978914.0,147398229.3,1719361.1294190793,147388531.2868145,0.005067830221576303,1.011737459991093
44000,145973280.0,151398020.0,148843380.83333334,1406381.4843161323,148836951.07930943,0.004106956379279457,1.009501471615598
45000,147226303.0,153183389.0,150266574.83333334,1675107.0306494592,150257547.99475658,0.0048420228548397845,1.0112115532636663
46000,148340425.0,155098016.0,151450214.96666667,1755079.367912312,151440397.9078389,0.005027865597191328,1.0116443622223847
47000,149865421.0,155112940.0,152662330.16666666,1242779.6110201736,152657432.89804167,0.0035395024965173623,1.008183307389646
48000,151587602.0,156768031.0,154281115.23333332,1424212.4569218447,154274759.25802925,0.004009857875859807,1.009275794962228
49000,152650425.0,159319844.0,156140837.9,1726792.9895085332,156131598.46381173,0.0048066926857576065,1.0111292938210448
50000,153191942.0,160899919.0,157299638.8,2036866.0053945184,157286899.29088157,0.005621077227480688,1.0130271319110915
51000,154657743.0,161706493.0,158584434.03333333,1401336.9329227512,158578427.95367184,0.003847848551825685,1.0088993646790576
52000,157724224.0,163500242.0,159980037.23333332,1454354.7929625055,159973663.4423186,0.003940532613263731,1.0091146998336844
53000,157842293.0,164848271.0,161563753.33333334,1898089.2580407846,161552940.06835306,0.00511488664673795,1.0118470891238225
54000,160234960.0,165277142.0,162973490.93333334,1447582.457071288,162967268.5961828,0.0038611908694233038,1.0089303603814779
55000,161066552.0,167387427.0,164248153.33333334,1249345.494848743,164243557.78470895,0.003304797152375852,1.0076386030664033
56000,162656263.0,168639008.0,165874857.4,1657504.8230308278,165866852.74648762,0.004339539953858314,1.0100422483301883
57000,163896054.0,171017308.0,167327430.0,1805958.175397128,167318015.25734958,0.004685136729025162,1.0108463254786748
58000,165432794.0,172533532.0,169046468.7,1742385.1496370526,169037791.14791894,0.004475439441492857,1.0103583603425852
59000,166671508.0,173994946.0,170223976.9,1685450.8935327774,170215922.15232337,0.004295720172066914,1.0099403414445156
60000,168325848.0,174802888.0,171817829.06666666,1870550.2671338764,171807975.07310417,0.004732251013549516,1.010955992736202
61000,169085147.0,176369798.0,172538320.7,1857010.2865623615,172528664.2947247,0.004672992668201569,1.01081805984754
62000,171544443.0,178398407.0,175009449.53333333,1730811.9828709404,175001171.64630523,0.004296942430391212,1.0099431837779502
63000,173696433.0,178924815.0,176166302.1,1606327.1401373437,176159229.760887,0.0039571338062270945,1.0091532746458085
64000,174669453.0,181140254.0,177894511.33333334,1597164.9082730901,177887580.18993708,0.0038993812756256273,1.0090190862486303
65000,175740950.0,182450272.0,179326951.3,1911785.1885980747,179317088.4053392,0.004634276419464553,1.0107279520043166
66000,176805553.0,183513642.0,180503050.36666667,1829560.861033871,180494071.39112705,0.0044079286522788405,1.0102013130122465
67000,179442802.0,184812899.0,182230959.46666667,1207262.2831115474,182227092.50337917,0.0028779004701162615,1.0066486152848104
68000,181661711.0,186995463.0,184093618.96666667,1368993.7339445394,184088701.94866598,0.003227908061034977,1.0074602228155185
69000,181305053.0,189565535.0,185161499.16666666,2013769.6163345529,185150936.78709507,0.004715650343854446,1.0109173502333308
70000,183470022.0,190585548.0,186858652.13333333,2026701.5905266597,186848044.94488358,0.004704758240617441,1.0108919967496355
71000,184713832.0,191421468.0,188472588.7,1636790.8725148973,188465702.42170587,0.0037782218281340605,1.00873762942907
72000,186618787.0,193934328.0,190418237.76666668,1898286.1383663167,190409080.03280425,0.00433354506314503,1.0100283060597808
73000,187908882.0,194709276.0,191219236.7,2120522.8121246034,191207884.21306935,0.0048119798424666295,1.0111416035136471
74000,190022631.0,196258401.0,193230620.9,1432012.878379659,193225495.02064604,0.0032169204540961984,1.0074347344951102
75000,191354352.0,197642370.0,194359093.96666667,1617562.2620509584,194352589.4179447,0.0036135755810738986,1.0083552773765594
76000,193072070.0,199909740.0,195998781.96666667,1628871.3183962796,195992260.068864,0.003600651272600047,1.0083252698556606
77000,195205087.0,202218629.0,198416307.96666667,1908854.4890309165,198407438.56225848,0.004175885907421073,1.0096617084718689
78000,197324067.0,202977111.0,200497573.46666667,1535061.0522897833,200491887.64136192,0.0033274413004405405,1.0076911427912394
79000,198050933.0,204070475.0,201124755.03333333,1793342.2158939855,201117023.7393499,0.0038734474611393033,1.0089588346599003
80000,199319050.0,206725540.0,203092051.4,1601263.2446419124,203085947.03453824,0.0034251823280389486,1.0079179562921687
81000,201163399.0,207734779.0,204273629.0,1952735.2144024845,204264619.80096516,0.0041471296931074805,1.009594857317919
82000,201808873.0,209183135.0,205617252.06666666,1629805.1479393425,205611007.37477982,0.0034427678507457,1.0079587698960881
83000,203411939.0,211812737.0,207823589.6,1882953.5385330068,207815334.44015637,0.003938311477944658,1.0091095388780136
84000,205854247.0,211509439.0,209269909.93333334,1334482.0889555495,209265785.96124202,0.002774968373735027,1.0064100578577313
85000,207629888.0,215347057.0,211340287.76666668,1697303.4349919364,211333700.437849,0.003487502061453035,1.0080625993578944
86000,209267315.0,216224929.0,212992273.13333333,1866055.402322452,212984364.85545594,0.0038072821101354888,1.0088051301272873
87000,211203451.0,218291154.0,214566117.66666666,1797217.5194512312,214558845.06792012,0.003636498996872724,1.0084085029143215
88000,212685086.0,218598698.0,215760573.53333333,1749659.1190943595,215753713.49284893,0.0035227376863036365,1.008144389843399
89000,214112760.0,221269936.0,218001985.0,1909412.1127313795,217993895.31452256,0.003806195739167835,1.008802606643153
90000,216142090.0,222150895.0,219613303.0,1759688.7597879348,219606468.98825827,0.0034872186215728655,1.0080619414516556
91000,218765702.0,224332035.0,220944260.96666667,1618413.0387368188,220938537.1332626,0.0031787336238707606,1.0073461562389128
92000,219014601.0,226689520.0,222498077.03333333,1796106.5685710395,222491077.62439653,0.003502720886454921,1.008097925151191
93000,220475105.0,227063411.0,224204608.8,1370179.5606551217,224200557.55495486,0.0026561136183007876,1.0061346680937833
94000,222722569.0,228958804.0,225670782.46666667,1751132.3822418405,225664214.46764314,0.0033701683463144456,1.0077902870021695
95000,225447850.0,231619554.0,228164994.53333333,1794275.467307294,228158191.41648257,0.003409014444095533,1.0078804342929417
96000,225814251.0,233568655.0,229496228.8,2095345.5250786683,229486994.28574017,0.003961380081413383,1.0091631415993083
97000,227616963.0,235051968.0,231401659.96666667,1852619.118603927,231394488.01779366,0.003478166344314219,1.0080409299917659
98000,230380052.0,235042335.0,233115986.3,1205115.46467291,233112970.45248643,0.0022477691104657673,1.0051890966134722
99000,230706918.0,238338318.0,234590390.13333333,1781453.5214648265,234583842.81898493,0.003301334694576963,1.007630569595159
100000,233182898.0,239177489.0,236784559.63333333,1503737.397424061,236779938.90680403,0.002760336554169572,1.0063761514579692
101000,235119096.0,240585275.0,238011291.7,1314173.382951563,238007785.58738342,0.002397434776362612,1.0055355624961881
102000,236933722.0,242066760.0,239453946.56666666,1412187.8002538858,239449926.5746332,0.0025587023201669315,1.005909019605412
103000,237428180.0,244429893.0,240925341.76666668,1886184.7233010307,240918205.43204626,0.0033997689289399,1.007858978172655
104000,238877648.0,247831952.0,242435435.46666667,2258468.4568662704,242425298.8196692,0.004036204796879344,1.0093370255727372
105000,240903810.0,249427581.0,244736755.13333333,2211183.42427686,244727106.86513805,0.003921553064046431,1.0090706004393493
106000,244527833.0,250086466.0,246963190.96666667,1712069.6734885145,246957460.43851098,0.0030083666724606893,1.0069510675523763
107000,245816620.0,251891851.0,248821443.5,1808061.0915822422,248815090.7696405,0.0031567912939681293,1.007295262285071
108000,247271076.0,253606425.0,250446380.8,1745716.4481427378,250440503.14881358,0.003025807995141759,1.0069915076497922
109000,247978617.0,255277791.0,251173310.86666667,1963084.6147663442,251165907.2382767,0.0033902052346521483,1.0078367841328384
110000,250654101.0,257783027.0,253820528.3,1940897.0528685448,253813361.96402892,0.0033185228255596453,1.0076704495145743
111000,252263609.0,259353459.0,255752069.2,1880925.980006517,255745383.84882203,0.003193793787588432,1.0073810888979948
112000,253140998.0,261657413.0,257259814.63333333,1969858.826982865,257252522.90639418,0.003325971716843127,1.0076877329301177
113000,254115008.0,260968589.0,258253843.43333334,1723126.9824017452,258248273.14045635,0.002902965874370382,1.0067067159139602
114000,256970062.0,263256416.0,259908983.7,1777062.7417243037,259903115.61031127,0.002967696952511819,1.0068567755404325
115000,257998024.0,265146830.0,261823250.56666666,1715249.7332893999,261817813.6479426,0.0028474312556959194,1.0065779933499872
116000,261273766.0,266595591.0,263796942.73333332,1529793.8191777603,263792657.19254407,0.002517517720600401,1.005813632724775
117000,262725693.0,268819269.0,265632622.53333333,1825876.4014354716,265626556.0682192,0.0029853789997192222,1.0068977699628998
118000,263596062.0,271256997.0,267561533.73333332,2187408.5546701765,267552888.97394574,0.003550989418569731,1.0082099738031187
119000,265183865.0,272533807.0,268173526.8,1902435.5189218393,268167013.56417444,0.003077464894223411,1.007111290779916
120000,267831781.0,274115864.0,270778429.9,1916135.4848458401,270771880.36735076,0.0030718121199482984,1.0070981823109295
121000,268606220.0,276207591.0,272754417.03333336,1932270.53041262,272747777.09505427,0.0030849681027931043,1.0071286905666033
122000,271367403.0,277655067.0,274713711.1666667,1769074.9544125786,274708200.8346409,0.002798294778862404,1.0064641146329876
123000,272165501.0,279958958.0,276836562.8666667,1998415.2922502116,276829579.01245487,0.003138902706893059,1.0072537726538127
124000,275028929.0,281291101.0,278488497.76666665,1628664.4648588332,278483887.27393955,0.0025427045473686277,1.005871966388676
125000,277228208.0,283247612.0,279928852.8333333,1664268.682589134,279924073.2537471,0.002580902338399316,1.0059604404045985
126000,277956169.0,284521035.0,281284724.4,1631810.6288061312,281280152.4111155,0.0025180274512487974,1.0058148132471105
127000,281164870.0,287402939.0,284140441.03333336,1495337.281917856,284136638.9480288,0.0022848953084242092,1.0052750301127706
128000,281801944.0,289403046.0,285785532.1333333,1825040.8439956044,285779896.3010575,0.0027744456447561577,1.006408846515181
129000,282948749.0,289988132.0,286330223.93333334,1991055.0473515973,286323529.79909575,0.0030207609005842868,1.006979805102241
130000,284114003.0,292350191.0,289072216.3666667,2084632.4702599337,289064931.20909667,0.003138105297566955,1.007251923234011
131000,286467219.0,294114607.0,291000438.03333336,2077360.165236598,290993252.0882033,0.0031062603699772203,1.0071780685341853
132000,287966646.0,295480917.0,292206302.73333335,2053340.4526936258,292199319.9495428,0.0030547290667623534,1.007058568698126
133000,290201026.0,298232577.0,293895295.46666664,1795318.1154816747,293889994.7212585,0.0026530038626557417,1.0061274637154358
134000,291384096.0,298796310.0,295751370.06666666,1931357.5257582145,295745259.8970037,0.0028410630544333532,1.0065632336776478
135000,294786265.0,300664973.0,297755695.7,1664452.1970960514,297751194.9031331,0.002429230556155723,1.0056091829520015
136000,295895160.0,304148155.0,299237888.46666664,2180930.1733661597,299230228.60478336,0.0031582394034441077,1.0072986210112513
137000,297656753.0,304339842.0,300349831.7,1817631.315229458,300344524.18429375,0.0026248936753213935,1.0060623431178235
138000,299228925.0,306399820.0,302442247.93333334,1737119.3868815661,302437426.1409107,0.002494216338142289,1.0057596688353128
139000,301956505.0,308529450.0,304509267.6,1479860.3077163456,304505795.4909255,0.0021088068496144274,1.0048675152666189
140000,303574558.0,310127502.0,306959752.6333333,1780700.5542741818,306954760.0126419,0.0025193192047161437,1.0058178049192568
141000,305521582.0,312438427.0,308618636.76666665,1985624.0208803061,308612468.6757681,0.002791979148727835,1.006449478460671
142000,307706200.0,314225185.0,310903357.6666667,1944338.6073500908,310897481.6398148,0.0027156475064120944,1.0062726003424742
143000,307390995.0,315686558.0,311594932.53333336,1842527.1685763877,311589666.66591775,0.002568040575811516,1.0059306490226894
144000,311221864.0,318012913.0,314159167.4,1937861.7203671644,314153395.82098424,0.002676855730461554,1.0061827227142708
145000,312767146.0,320340380.0,315681706.96666664,1973181.4398410518,315675764.9364016,0.002708062422495081,1.0062550256419378
146000,314067286.0,321125459.0,317948688.0,1535453.9782841715,317945097.9880565,0.0020999894747696507,1.0048471138938706
147000,314760370.0,322715513.0,319341572.9,2050373.5259152064,319335198.4791435,0.002792247188658838,1.0064500996261319
148000,317784665.0,325209705.0,321671630.53333336,2171666.9045549533,321664540.9608367,0.0029330443315842875,1.006776441030772
149000,321297908.0,326997955.0,323484355.56666666,1724955.5215369882,323479919.28438085,0.002312139417389888,1.0053380948825636
150000,321044902.0,327932389.0,324728892.3333333,1767481.9144068582,324724240.38203645,0.002364673846276124,1.0054597129536114
151000,322347898.0,330584077.0,326538610.23333335,2131118.451416333,326531888.92286515,0.0028340433810686164,1.0065469643297447
152000,324396519.0,332829573.0,328287082.2,2140025.619854156,328280346.40970373,0.0028289306527564673,1.0065351148334127
