time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,498708.0,502605.0,500489.9666666667,981.5790755762856,500489.0363634216,0.0008516411041655115,1.0019629000821013
3000,1610918.0,1619178.0,1615398.1,1988.5974324321805,1615396.9164900878,0.000534730582650726,1.0012320209834553
4000,2928033.0,2934438.0,2931252.5,1763.8278465921194,2931251.98704385,0.0002613172481171487,1.000601886260944
5000,4309828.0,4319077.0,4314986.8,1949.5939170451143,4314986.374218506,0.00019623316497153906,1.0004519456570926
6000,5718679.0,5726494.0,5722091.966666667,2027.2771357309466,5722091.61953065,0.0001538610732770381,1.0003543409776579
7000,7132030.0,7139908.0,7136335.933333334,2009.4985638613728,7136335.659827283,0.00012229586217615617,1.0002816362812343
8000,8546172.0,8557497.0,8553466.533333333,2557.360125049932,8553466.163717445,0.00012986160070389973,1.0002990620960879
9000,9967909.0,9977121.0,9972130.266666668,2270.8637265075627,9972130.016739957,9.889316795382594e-05,1.0002277358622045
10000,11388331.0,11396210.0,11392367.966666667,2112.424697426834,11392367.77734761,8.05287576688945e-05,1.000185441509117
11000,12807630.0,12815236.0,12812072.5,1970.5553698176668,12812072.353509353,6.67971058348757e-05,1.000153817848903
12000,14228948.0,14238716.0,14233571.766666668,2528.4129366384996,14233571.549582219,7.714685812446618e-05,1.0001776529839115
13000,15649616.0,15659679.0,15655558.033333333,2502.50673612836,15655557.839982254,6.942315891816396e-05,1.0001598655079622
14000,17072273.0,17081900.0,17077610.7,2423.845820605957,17077610.533724643,6.163974847831977e-05,1.0001419408386298
15000,18494700.0,18506100.0,18500485.766666666,2614.7346761070767,18500485.58805357,6.137970221527787e-05,1.0001413419751692
16000,19918458.0,19928551.0,19923729.066666666,2439.748233666368,19923728.922268447,5.31808738745044e-05,1.0001224609851502
17000,21342849.0,21353130.0,21347837.533333335,2341.158536270883,21347837.4092406,4.762721294283628e-05,1.000109671724047
18000,22766979.0,22777670.0,22772354.933333334,2590.3442712655324,22772354.79091855,4.9400890064885945e-05,1.0001137562227924
19000,24193438.0,24204710.0,24197949.533333335,2800.26692980525,24197949.37671233,5.025651539178755e-05,1.0001157265989733
20000,25616860.0,25628703.0,25623285.5,3127.4369229285107,25623285.315502364,5.300776288028403e-05,1.0001220623336216
21000,27044790.0,27053599.0,27048943.2,2662.8507203034665,27048943.07329735,4.275405773382083e-05,1.0000984497018568
22000,28470962.0,28483109.0,28475334.1,2950.623550113223,28475333.952229593,4.500030765989098e-05,1.0001036224060285
23000,29896397.0,29906007.0,29901519.766666666,2459.651821215595,29901519.668875884,3.572420135963048e-05,1.000082261396793
24000,31323275.0,31334753.0,31328332.166666668,3153.1982021907297,31328332.01327471,4.3711080248335384e-05,1.000100653547007
25000,32749516.0,32761960.0,32755442.933333334,3133.415553335538,32755442.788457926,4.154467473838874e-05,1.0000956647243238
26000,34178285.0,34187887.0,34183113.0,2630.4757010459352,34183112.90216277,3.34200264462209e-05,1.0000769554156186
27000,35603995.0,35617172.0,35610261.03333333,3548.453276291373,35610260.86243473,4.327529112642017e-05,1.0000996500049746
28000,37033689.0,37045448.0,37038516.2,3373.4582010872405,37038516.05149868,3.955453534773918e-05,1.0000910818311501
29000,38459703.0,38471841.0,38466302.733333334,2906.4555963119983,38466302.627189085,3.281477390461219e-05,1.0000755616638615
30000,39888530.0,39901283.0,39895160.5,3355.9137277760674,39895160.363556646,3.6532387501066034e-05,1.0000841224689678
31000,41316437.0,41331259.0,41324642.2,3081.8709767349733,41324642.08890986,3.238892130791888e-05,1.0000745810284084
32000,42747253.0,42761265.0,42754204.53333333,3333.2807979768104,42754204.40772837,3.385892927472666e-05,1.0000779661050114
33000,44178463.0,44191722.0,44184852.333333336,3218.5182533467846,44184852.22002048,3.16345944824883e-05,1.0000728439986735
34000,45609485.0,45623253.0,45616332.86666667,3277.1551659341967,45616332.7528731,3.1200302071076695e-05,1.0000718439310974
35000,47041107.0,47056727.0,47048951.53333333,3665.6464239949723,47048951.3952954,3.383652736199876e-05,1.0000779145186809
36000,48474975.0,48489347.0,48483098.93333333,3748.2393101877556,48483098.79327217,3.357580674846104e-05,1.0000773141406885
37000,49909347.0,49924969.0,49918289.233333334,3574.2488932046567,49918289.10963605,3.109654806505655e-05,1.0000716050115346
38000,51347139.0,51363095.0,51355675.1,3631.0386407121623,51355674.9759134,3.070651188765977e-05,1.0000707068561423
39000,52787199.0,52801045.0,52794197.53333333,3554.103851677065,52794197.417688906,2.923688980015738e-05,1.0000673226926902
40000,54229112.0,54243861.0,54235080.96666667,3638.4256019492186,54235080.84869355,2.9134672623217285e-05,1.0000670873131245
41000,55670208.0,55685026.0,55678471.13333333,3620.602833529372,55678471.019537635,2.8241020112477103e-05,1.000065029466246
42000,57115553.0,57131493.0,57124265.86666667,3499.1145159028874,57124265.763069816,2.6602653018988134e-05,1.0000612567483935
43000,58565957.0,58577803.0,58572046.3,3392.7411270493976,58572046.20501342,2.5156352852313517e-05,1.0000579263207363
44000,60016839.0,60031421.0,60024224.666666664,4012.0525775539722,60024224.5370507,2.9028734181196954e-05,1.0000668433645123
45000,61469832.0,61485334.0,61478786.5,3942.4122035574387,61478786.37780476,2.78501326973167e-05,1.000064129356586
46000,62928196.0,62943479.0,62936302.9,3824.3307492044073,62936302.787678435,2.639024355311711e-05,1.0000607676276834
47000,64387286.0,64405281.0,64397445.833333336,4257.555119074094,64397445.69728074,2.8713228756426387e-05,1.0000661168381282
48000,65853604.0,65868680.0,65861624.3,3997.5311531856323,65861624.1827269,2.63599066933691e-05,1.00006069777024
49000,67321566.0,67337754.0,67329417.13333334,3933.9842375903327,67329417.02223586,2.537519679981778e-05,1.000058430256864
50000,68791276.0,68808069.0,68800363.63333334,4006.029821392379,68800363.52059166,2.5287573889919507e-05,1.0000582284858894
51000,70266178.0,70282236.0,70274972.0,4169.1980044128395,70274971.88044964,2.5765349099287203e-05,1.0000593286686277
52000,71743695.0,71762362.0,71752722.6,4585.685190030926,71752722.45835142,2.7755325479165237e-05,1.000063911040923
53000,73227214.0,73241560.0,73234210.46666667,3904.9848578745978,73234210.36602733,2.3157329098934775e-05,1.000053323142405
54000,74712191.0,74726358.0,74718741.03333333,3762.2936372170198,74718740.9417703,2.1867800765384583e-05,1.000050353739766
55000,76198846.0,76213776.0,76206956.86666666,3757.0726015520827,76206956.77714002,2.1411147144018838e-05,1.0000493022035515
56000,77688840.0,77705700.0,77698009.4,3826.0465198967195,77698009.30893774,2.1385792983336025e-05,1.0000492438205624
57000,79182774.0,79202747.0,79192416.6,3825.2032950257512,79192416.51069665,2.0977451328905475e-05,1.000048303533297
58000,80682595.0,80698260.0,80689880.6,3654.520456300286,80689880.52000079,1.966948368122948e-05,1.0000452916855487
59000,82184203.0,82197453.0,82190357.4,3518.852591203657,82190357.32718396,1.8593577307367963e-05,1.0000428142104356
60000,83687278.0,83700081.0,83693651.66666667,3466.7366482768416,83693651.59726155,1.7989134875727743e-05,1.0000414223716834
61000,85192705.0,85207325.0,85200025.56666666,3388.410681083118,85200025.50153455,1.7271866629095853e-05,1.000039770733463
62000,86702189.0,86716252.0,86709650.66666667,3577.4081287351364,86709650.59532955,1.7917849635491816e-05,1.0000412582245664
63000,88212682.0,88227935.0,88221846.5,3626.97171822825,88221846.42792848,1.7854799583478918e-05,1.0000411130404772
64000,89726842.0,89742723.0,89737059.33333333,3487.027944404442,89737059.26784116,1.6876094948776942e-05,1.0000388593996639
65000,91242389.0,91258859.0,91253881.7,3761.552698022454,91253881.62505548,1.7902257732913725e-05,1.0000412223214032
66000,92763205.0,92780329.0,92773605.63333334,3894.0329017908784,92773605.55433305,1.8229017882592276e-05,1.0000419747457514
67000,94285549.0,94303440.0,94296456.56666666,3542.671947822019,94296456.50233532,1.631646363264573e-05,1.000037570751694
68000,95810779.0,95828213.0,95821353.26666667,3494.612513010842,95821353.20506562,1.58389223507681e-05,1.0000364711315495
69000,97340080.0,97355807.0,97348658.76666667,3355.481071253454,97348658.71076412,1.4969665113317971e-05,1.0000344695217973
70000,98871599.0,98886535.0,98878553.4,3403.1760074863946,98878553.34338725,1.494744510081418e-05,1.0000344183565655
71000,100404007.0,100417091.0,100410592.5,3335.7546605187276,100410592.44643773,1.442776002433793e-05,1.0000332216969856
72000,101937835.0,101951588.0,101944953.3,3357.804117738771,101944953.24654484,1.4304517557505063e-05,1.0000329379113315
73000,103476333.0,103488177.0,103481424.83333333,3291.6426261307474,103481424.7827267,1.3814431922308602e-05,1.000031809410921
74000,105011607.0,105026946.0,105019448.63333334,3776.8154208259243,105019448.56768422,1.561851580459102e-05,1.0000359636083413
75000,106552963.0,106568528.0,106560800.56666666,3759.2712214060784,106560800.50256662,1.5321099735110657e-05,1.000035278758139
76000,108095376.0,108109430.0,108102981.36666666,3667.969733294948,108102981.30651318,1.4735820049132185e-05,1.0000339310552233
77000,109637464.0,109654908.0,109647423.33333333,4000.881845322339,109647423.26277319,1.5846856280164274e-05,1.0000364894007636
78000,111186053.0,111201749.0,111194000.16666667,4032.2966766479058,111194000.09599076,1.5749096484911228e-05,1.0000362642923277
79000,112732859.0,112749302.0,112742427.86666666,4094.8363255853506,112742427.79478258,1.5773678848747356e-05,1.0000363208973666
80000,114283641.0,114299896.0,114293174.7,3987.995747152991,114293174.63274276,1.5153747948582496e-05,1.00003489340289
81000,115837716.0,115853253.0,115845296.2,4091.651613241031,115845296.13015093,1.533918507053629e-05,1.0000353204026329
82000,117391234.0,117410167.0,117399575.06666666,4429.155176961989,117399574.98590265,1.6384603158468603e-05,1.0000377276546575
