time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,100000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,1.0
1000,99999946.0,100000000.0,99999973.93333334,23.02162901053813,99999973.93333116,9.998168812230231e-08,1.000000230216371
2000,98548017.0,98555450.0,98552184.16666667,1689.8596163553066,98552184.15266132,7.446811693385179e-06,1.0000171470646047
3000,96269627.0,96281580.0,96276403.06666666,2964.625439309712,96276403.02254294,1.3373238071665774e-05,1.0000307934927388
4000,93903365.0,93921156.0,93912615.13333334,4098.99522367106,93912615.04686111,1.8955598293136734e-05,1.0000436478305974
5000,91530460.0,91552282.0,91540741.23333333,5057.696856811635,91540741.09827033,2.3995019949858283e-05,1.0000552521015837
6000,89161815.0,89183838.0,89171812.76666667,5777.529388954234,89171812.58574036,2.8138330148498415e-05,1.0000647929985174
7000,86797111.0,86820765.0,86808370.33333333,5871.936397600989,86808370.14135733,2.937674305007453e-05,1.00006764473843
8000,84437462.0,84463650.0,84451712.66666667,5855.42842352193,84451712.47043881,3.0111863284356547e-05,1.0000693375312564
9000,82092710.0,82119162.0,82104923.26666667,6369.556098501214,82104923.02783282,3.369178879041926e-05,1.0000775812198923
10000,79753405.0,79780039.0,79767906.23333333,6517.589308322061,79767905.97594024,3.548515086774594e-05,1.000081710917566
11000,77425280.0,77455652.0,77441159.76666667,6678.732326976603,77441159.4882701,3.745478955488492e-05,1.000086246559111
12000,75111716.0,75140621.0,75126349.4,7306.723538561284,75126349.05651692,4.223954114835863e-05,1.0000972648677036
13000,72808052.0,72835053.0,72823179.6,7119.2606144565125,72823179.26360495,4.24572188009119e-05,1.0000977661378985
14000,70520034.0,70543652.0,70532584.9,6719.206764297354,70532584.59061854,4.137264592176667e-05,1.0000952685755198
15000,68242663.0,68269215.0,68255424.13333334,7123.108541357069,68255423.77404194,4.532266635116018e-05,1.0001043647415357
16000,65973887.0,66007794.0,65990162.2,7622.8316052998725,65990161.77440868,5.0166744473526155e-05,1.0001155198698952
17000,63718702.0,63759309.0,63738158.46666667,8584.954512495055,63738157.907793306,5.8494557321634846e-05,1.0001346977666397
18000,61481043.0,61519250.0,61499488.86666667,9011.92394297816,61499488.22839112,6.36398159138644e-05,1.0001465468283817
19000,59257037.0,59294034.0,59273672.6,8819.617696773561,59273671.965722196,6.462024635181372e-05,1.0001488046862743
20000,57046621.0,57082228.0,57062315.03333333,9226.013976544926,57062314.31236056,7.021726505775929e-05,1.000161694298907
21000,54845802.0,54887200.0,54864616.9,9981.279046467356,54864616.022360735,7.900782329430937e-05,1.0001819387850008
22000,52660484.0,52700546.0,52680089.03333333,10246.48228782506,52680088.070073895,8.447101003061677e-05,1.0001945206051666
23000,50492197.0,50532153.0,50509998.733333334,9556.865594712646,50509997.85937684,8.217022617288483e-05,1.0001892218380677
24000,48335724.0,48372948.0,48353716.833333336,9214.586469226419,48353715.98462877,8.276015706243085e-05,1.000190580462095
25000,46193762.0,46231363.0,46212847.53333333,9685.809014092278,46212846.55215546,9.102305972048131e-05,1.0002096103056017
26000,44066529.0,44106113.0,44085764.06666667,10198.925044550911,44085762.9262924,0.00010046920986984888,1.0002313656658592
