time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,0.0,1.0
1000,999999946.0,1000000000.0,999999973.9333333,23.02162901053813,999999973.9333279,9.998166764678728e-09,1.00000002302163
2000,1001095761.0,1001099848.0,1001098019.3333334,1135.2989074227994,1001098019.3327073,4.925133210583957e-07,1.000001134054474
3000,1001755714.0,1001766057.0,1001760979.7666667,2360.858226232108,1001760979.7639799,1.0235050441587502e-06,1.0000023567102343
4000,1002217716.0,1002225352.0,1002221662.9,2002.5223809503095,1002221662.8980662,8.67756683552241e-07,1.0000019980856
5000,1002608550.0,1002620248.0,1002614378.9666667,2481.065364652484,1002614378.9636958,1.0747031957105617e-06,1.0000024745986196
6000,1002977491.0,1002987176.0,1002983343.9666667,2309.503775382441,1002983343.9640981,1.0000217200193991e-06,1.0000023026377562
7000,1003341199.0,1003350006.0,1003345752.2,2187.2489633295536,1003345752.197698,9.467425001930071e-07,1.000002179957544
8000,1003701512.0,1003712846.0,1003706263.9,2730.122371262681,1003706263.8964121,1.1812983194100336e-06,1.0000027200436
9000,1004059912.0,1004070699.0,1004066238.5,2622.547258046965,1004066238.4966911,1.13434580207573e-06,1.0000026119311451
10000,1004420370.0,1004430888.0,1004425926.8666667,2425.1633678825715,1004425926.863836,1.0485944636010765e-06,1.0000024144808954
11000,1004782544.0,1004791457.0,1004787297.9666667,2478.920850906191,1004787297.9637103,1.0714524192211877e-06,1.0000024671134116
12000,1005142136.0,1005153700.0,1005147890.7333333,2899.241326841278,1005147890.7292871,1.252675714554532e-06,1.0000028843965865
13000,1005504074.0,1005515870.0,1005509412.1666666,2952.037029990779,1005509412.162476,1.27502830844714e-06,1.0000029358654858
14000,1005866335.0,1005877527.0,1005872535.0666667,2617.597884522653,1005872535.0633773,1.1301712328822577e-06,1.0000026023188193
15000,1006231055.0,1006241771.0,1006236673.8,2590.878873650993,1006236673.7967725,1.1182308456844235e-06,1.0000025748249906
