time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,0.0,1.0
1000,1000099475.0,1000100539.0,1000099988.0666667,286.23223430288726,1000099988.0666252,1.2429665035990998e-07,1.0000002862036552
2000,1093485437.0,1093520699.0,1093500104.8,8596.785936696298,1093500104.7673337,3.414291299959737e-06,1.0000078617271537
3000,1177831431.0,1177884682.0,1177855601.8333333,12557.475276348025,1177855601.76863,4.630137211575849e-06,1.0000106613417536
4000,1254170397.0,1254224120.0,1254189301.5,11724.872480006501,1254189301.4470239,4.060011351416292e-06,1.0000093485653128
5000,1323245922.0,1323299094.0,1323268914.3,14158.237980059528,1323268914.2267873,4.646696848993994e-06,1.0000106994721352
6000,1385766698.0,1385825566.0,1385790147.5666666,14090.792767113819,1385790147.4974148,4.415921216178573e-06,1.000010168086059
7000,1442345498.0,1442413812.0,1442379883.8333333,15946.777681385673,1442379883.7481265,4.801509437578748e-06,1.0000110559451714
8000,1493576101.0,1493635050.0,1493603805.9,14297.229426204129,1493603805.8338542,4.157194180955136e-06,1.0000095723391642
9000,1539951084.0,1540014282.0,1539974979.0666666,15155.564679484,1539974978.9945812,4.2740706537967925e-06,1.0000098414598007
10000,1581928238.0,1581991130.0,1581955975.1333334,15446.669226357693,1581955975.0604362,4.240568844356514e-06,1.0000097643182775
11000,1619940149.0,1620000860.0,1619965456.7666667,15672.68551176137,1619965456.6933851,4.201663442885528e-06,1.0000096747344094
12000,1654364005.0,1654428763.0,1654389202.1,14405.43654881965,1654389202.039376,3.78156820079507e-06,1.0000087074204767
13000,1685541621.0,1685598998.0,1685565882.5666666,12653.341485030016,1685565882.5207586,3.26018906905055e-06,1.0000075068909273
14000,1713779999.0,1713834950.0,1713807240.4666667,11990.204394833518,1713807240.42613,3.038426910119076e-06,1.0000069962609832
15000,1739372382.0,1739414086.0,1739393102.4,11380.076560556956,1739393102.3640122,2.841395643920013e-06,1.0000065425766556
16000,1762558203.0,1762599553.0,1762579115.1,10443.198952857572,1762579115.070094,2.573172528146265e-06,1.0000059249662576
17000,1783578924.0,1783617886.0,1783594398.5333333,9099.402252946044,1783594398.5109098,2.2156463580920312e-06,1.0000051017272893
18000,1802629243.0,1802669284.0,1802648148.6333334,8180.058297926201,1802648148.615395,1.9707402344105963e-06,1.0000045378073816
19000,1819907724.0,1819941312.0,1819923736.1,7669.515919400066,1819923736.0843709,1.8302002707687878e-06,1.0000042142007404
20000,1835578327.0,1835616656.0,1835596271.6,8346.184300996887,1835596271.5816529,1.974671707381108e-06,1.0000045468599739
21000,1849800179.0,1849833474.0,1849817794.5,7607.797899478557,1849817794.4848793,1.7861365220270143e-06,1.000004112739787
