Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,1000000000,1000000000,1000000000,1000000000,1000000000,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,100000000,0,0,0,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,1000,6000,9999990001674,9998496,9998462,0,0,1000,0,0,0,999900170,1000099830,1000099830,1000000034,999999966,0,99999899423,0,101577,101611,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,99999966,34,0,34,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10520,64292,1000000,6000000,1000,6000,9999806413945,100179878,102781355,76811,989480,1000,1128,1003320,1825338,906501905,1093498095,1093506140,998902838,1001097162,500995,99998579917,30988,529154,2028557,269519,271632,5919086,5934580,934505,252200,519,99747800,99952124,47876,199691879,37,98552101,1447899,1242144,227181,1796,321023,99988412,11588,99701923,298077,307639,1000,1000,1000,1000,1000,1000,1000
3000,10740,63574,2000000,12000000,1000,6000,9999724198330,98057341,102785877,74197,1989260,1000,587,1351741,3830126,822210278,1177789722,1177843834,998239449,1001760551,1616244,99997303032,210692,369949,3194875,1757929,1789384,11830493,11935839,2552454,742784,7740,99257216,99943414,56586,199146518,495,96279286,3720714,3398691,453331,2161,862141,99986257,13743,99233147,766853,846237,1000,1000,1000,1000,1000,1000,1000
4000,11240,63618,3000000,18000000,1000,6000,9999646501416,99412211,106022729,73637,2988760,1000,6466,1457471,5830246,745957866,1254042134,1254184249,997777463,1002222537,2930510,99995891351,528666,361836,3598445,4288984,4414372,17665583,17929916,4291230,1252516,30816,98747484,99940446,59554,198545815,2124,93916672,6083328,5716723,677199,2021,1442265,99985249,14751,98792579,1207421,1425493,1000,1000,1000,1000,1000,1000,1000
5000,10900,62405,4000000,24000000,1000,6000,9999577634296,99194725,107607076,74395,3989100,1000,6495,1483377,7829410,677002631,1322997369,1323265656,997384475,1002615525,4313449,99994522175,917732,350897,3566946,7274149,7581488,23472234,23931100,6060732,1756648,75504,98243352,99939534,60466,197914599,5323,91542386,8457614,8075952,900436,2292,2032584,99984928,15072,98383738,1616262,2015220,1000,1000,1000,1000,1000,1000,1000
6000,10430,63255,5000000,30000000,1000,6000,9999519840717,94471352,104659090,75490,4989570,1000,1135,1481659,9828160,614651647,1385348353,1385777547,997016138,1002983862,5722217,99993185017,1340192,336486,3380439,10407620,10986840,29265514,29935610,7835067,2248298,142209,97751702,99939104,60896,197261612,10384,89172711,10827289,10441630,1122081,2343,2624284,99984622,15378,97997207,2002793,2606563,1000,1000,1000,1000,1000,1000,1000
7000,10630,62493,6000000,36000000,1000,6000,9999464805096,92904334,104857010,77960,5989370,1000,6278,1471296,11822820,558246616,1441753384,1442373300,996655078,1003344922,7136458,99991844055,1775526,342296,3227025,13521170,14467588,35043466,35931229,9606276,2731272,232287,97268728,99939446,60554,196588258,17270,86809167,13190833,12803001,1341440,2240,3215066,99983899,16101,97625193,2374807,3196725,1000,1000,1000,1000,1000,1000,1000
8000,10410,63282,7000000,42000000,1000,6000,9999414840809,91616666,105336065,80726,6989590,1000,1124,1459583,13817728,507221765,1492778235,1493616480,996293228,1003706772,8553044,99990511931,2219692,348946,3105040,16599407,17998864,40825748,41935594,11376061,3204404,343353,96795596,99938736,61264,195896087,26045,84449600,15550400,15162666,1557912,2250,3805101,99983754,16246,97262909,2737091,3786605,1000,1000,1000,1000,1000,1000,1000
9000,10530,64623,8000000,48000000,1000,6000,9999366014633,94064228,109551189,84177,7989470,1000,647,1449145,15810586,461097495,1538902505,1539984312,995930400,1004069600,9968216,99989182967,2671058,365948,3027987,19632937,21565812,46599201,47934730,13139466,3668704,474012,96331296,99938945,61055,195188434,36827,82098249,17901751,17513847,1772770,2521,4393225,99983677,16323,96911811,3088189,4374381,1000,1000,1000,1000,1000,1000,1000
