Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
600000,10390,62339,600000000,3600000000,1000,6000,9998756161867,8274786,1198995615,1226084,599989610,1000,6164,166240,1197527052,21519893,1978480107,2169271356,840885421,1159114579,1031440010,100043752325,136805018,972347,983103,265908893,1245411100,3531528988,3599931497,168477850,1787786,228277554,98212214,99999690,310,7420655,66391991,1153,99998847,199171632,6972463,58830516,165920802,23603496,76396504,99965988,34012,30693782,1000,1000,1000,1000,1000,1000,1000
601000,10430,62130,600001000,3600006000,1000,6000,9998750678920,13757546,1204480325,1226062,599990570,1000,1113,166226,1197529016,21519870,1978480130,2169271404,840885309,1159114691,1031441862,100043739479,136805114,985274,996131,265908930,1245412044,3531540200,3599942757,168477949,1787816,228277746,98212184,99999687,313,7420597,66392130,1141,99998859,199171736,6972463,58830553,165920928,23603412,76396588,99965987,34013,30693787,1000,1000,1000,1000,1000,1000,1000
602000,10250,62234,601001000,3606006000,1000,6000,9998755414630,8868442,1201589987,1226480,600990750,1000,6447,165475,1199528540,21516866,1978483134,2169280750,840743974,1159256026,1033300044,100043806092,136893464,999424,1011520,266049778,1246285168,3537490587,3605937319,168561163,1787086,228424803,98212914,99999761,239,7415059,66536178,1147,99998853,199257479,6972470,58894490,166063021,23527785,76472215,99966052,33948,30696316,1000,1000,1000,1000,1000,1000,1000
603000,10840,62783,602001000,3612006000,1000,6000,9998754491971,9636100,1204353867,1227203,601990160,1000,1121,164339,1201525914,21512431,1978487569,2169291348,840604121,1159395879,1035157549,100043923549,136981388,962100,976492,266188575,1247153656,3543451402,3611942096,168643874,1785403,228571125,98214597,99999725,275,7410543,66680581,1059,99998941,199342787,6972486,58957978,166204026,23452865,76547135,99966143,33857,30698913,1000,1000,1000,1000,1000,1000,1000
604000,9900,62416,603001000,3618006000,1000,6000,9998754478291,9497310,1206214496,1228792,602991100,1000,6314,165063,1203524616,21511149,1978488851,2169299606,840461786,1159538214,1037013909,100043982134,137070118,984406,990006,266338927,1248030484,3549402211,3617937270,168727308,1782416,228716691,98217584,99999747,253,7406576,66824793,1117,99998883,199428834,6972493,59021388,166345644,23377270,76622730,99966148,33852,30701526,1000,1000,1000,1000,1000,1000,1000
605000,10550,62637,604001000,3624006000,1000,6000,9998753780271,10045444,1208764018,1227392,603990450,1000,6982,164963,1205526116,21511893,1978488107,2169305862,840320227,1159679773,1038873838,100044045763,137158154,1000989,1005969,266481321,1248899876,3555357304,3623936381,168810085,1780225,228862533,98219775,99999736,264,7401756,66968423,1014,99998986,199514219,6972505,59085498,166487315,23302317,76697683,99966282,33718,30704134,1000,1000,1000,1000,1000,1000,1000
606000,10430,62807,605001000,3630006000,1000,6000,9998746040898,17635411,1218354511,1226925,604990570,1000,605,164326,1207527290,21512872,1978487128,2169311325,840179340,1159820660,1040734114,100044150586,137246580,976585,973118,266631246,1249773584,3561319298,3629942588,168893136,1777454,229007493,98222546,99999721,279,7398070,67112366,1071,99998929,199599939,6972516,59149320,166628850,23227273,76772727,99966251,33749,30706803,1000,1000,1000,1000,1000,1000,1000
607000,10990,62152,606001000,3636006000,1000,6000,9998746459084,17069173,1219787393,1226129,605990010,1000,1067,162984,1209527762,21514877,1978485123,2169315469,840039823,1159960177,1042595059,100044194659,137334422,1012596,1012213,266769070,1250641588,3567275570,3635942781,168975817,1776540,229154061,98223460,99999710,290,7392824,67256274,1032,99998968,199685206,6972526,59212680,166769719,23152350,76847650,99966269,33731,30709389,1000,1000,1000,1000,1000,1000,1000
608000,10460,63573,607001000,3642006000,1000,6000,9998751642314,11734589,1216454173,1226039,606990540,1000,659,163114,1211529002,21514438,1978485562,2169322173,839899053,1160100947,1044455523,100044287805,137422164,999185,1006912,266901556,1251508752,3573230686,3641941768,169058270,1775803,229301568,98224197,99999712,288,7387298,67400924,1082,99998918,199770328,6972532,59276211,166910365,23077904,76922096,99966164,33836,30712058,1000,1000,1000,1000,1000,1000,1000
609000,10520,63477,608001000,3648006000,1000,6000,9998753202329,10025078,1216744511,1226027,607990480,1000,581,163069,1213528906,21514714,1978485286,2169327825,839757834,1160242166,1046314198,100044373451,137510128,993415,1001984,267041924,1252378024,3579186878,3647941942,169140872,1774994,229447833,98225006,99999714,286,7382181,67544768,1146,99998854,199855626,6972542,59340275,167051639,23003390,76996610,99966060,33940,30714754,1000,1000,1000,1000,1000,1000,1000
610000,10950,63199,609001000,3654006000,1000,6000,9998745491178,17582426,1226299444,1227174,608990050,1000,6700,163816,1215525752,21510936,1978489064,2169336986,839617025,1160382975,1048170227,100044466980,137598326,979912,987050,267183482,1253249452,3585136938,3653936101,169223757,1773994,229594140,98226006,99999708,292,7377792,67689410,1089,99998911,199941235,6972550,59402908,167191709,22928677,77071323,99965974,34026,30717478,1000,1000,1000,1000,1000,1000,1000
611000,10540,61671,610001000,3660006000,1000,6000,9998745674814,17251155,1227970451,1226128,609990460,1000,1148,163192,1217528664,21513254,1978486746,2169340401,839476927,1160523073,1050033031,100044528407,137686412,998540,1003251,267326650,1254120256,3591099975,3659943181,169306651,1772581,229739994,98227419,99999717,283,7373481,67833630,1080,99998920,200026806,6972560,59466100,167332441,22853814,77146186,99965811,34189,30720155,1000,1000,1000,1000,1000,1000,1000
612000,11120,63028,611001000,3666006000,1000,6000,9998753057488,9713314,1222432079,1226010,610989880,1000,6287,163593,1219527740,21507510,1978492490,2169351303,839337123,1160662877,1051892295,100044626731,137774580,980305,986175,267464885,1254991224,3597049395,3665936685,169389423,1772991,229887111,98227009,99999740,260,7367936,67977895,1097,99998903,200112271,6972568,59528125,167471852,22779121,77220879,99965796,34204,30722848,1000,1000,1000,1000,1000,1000,1000
613000,10660,62629,612001000,3672006000,1000,6000,9998747724470,14891201,1229603715,1228703,611990340,1000,6794,161819,1221523274,21501800,1978498200,2169362168,839199260,1160800740,1053749955,100044704150,137862114,982245,991935,267600735,1255855884,3603005520,3671936577,169471573,1772403,230033247,98227597,99999712,288,7363341,68122161,1075,99998925,200197146,6972579,59591073,167611500,22705146,77294854,99965741,34259,30725573,1000,1000,1000,1000,1000,1000,1000
614000,11000,62606,613001000,3678006000,1000,6000,9998747577988,14888298,1231602006,1227873,612990000,1000,535,162043,1223524254,21502307,1978497693,2169366899,839059822,1160940178,1055611487,100044785293,137950062,980968,987406,267743257,1256724652,3608967828,3677942859,169554185,1770618,230178645,98229382,99999727,273,7359903,68266815,1029,99998971,200282452,6972589,59653073,167750724,22630616,77369384,99965725,34275,30728267,1000,1000,1000,1000,1000,1000,1000
615000,10830,61943,614001000,3684006000,1000,6000,9998744718514,17596856,1236308568,1228865,613990170,1000,1117,161704,1225522610,21500810,1978499190,2169373533,838920354,1161079646,1057470362,100044850161,138038190,996317,1001556,267884251,1257595564,3614923845,3683942940,169637046,1770247,230325054,98229753,99999729,271,7355139,68411097,1054,99998946,200367950,6972602,59715306,167890544,22555666,77444334,99965680,34320,30730904,1000,1000,1000,1000,1000,1000,1000
616000,10460,62989,615001000,3690006000,1000,6000,9998747283714,14881248,1235589870,1230405,614990540,1000,6947,160961,1227520270,21499874,1978500126,2169379227,838782146,1161217854,1059329807,100044941631,138125914,984699,993678,268019525,1258462340,3620873107,3689936064,169719579,1770098,230471751,98229902,99999731,269,7350532,68555811,998,99999002,200453107,6972609,59776979,168029502,22481005,77518995,99965672,34328,30733528,1000,1000,1000,1000,1000,1000,1000
617000,10800,63974,616001000,3696006000,1000,6000,9998752773464,9242188,1231951096,1230541,615990200,1000,654,162212,1229519318,21499945,1978500055,2169384168,838641945,1161358055,1061188641,100045030513,138214074,975907,981714,268161580,1259333572,3626834335,3695941372,169802364,1769590,230617953,98230410,99999712,288,7346009,68700180,1078,99998922,200538582,6972622,59838537,168168465,22406290,77593710,99965574,34426,30736218,1000,1000,1000,1000,1000,1000,1000
618000,10760,61953,617001000,3702006000,1000,6000,9998750624115,11240679,1235948403,1230785,616990240,1000,6827,161455,1231518910,21498491,1978501509,2169390142,838503428,1161496572,1063049697,100045084286,138302196,1002153,1007220,268301608,1260204288,3632786122,3701937220,169885135,1769375,230764404,98230625,99999749,251,7341741,68845064,1083,99998917,200624054,6972641,59900461,168307758,22331622,77668378,99965499,34501,30738919,1000,1000,1000,1000,1000,1000,1000
619000,11130,62445,618001000,3708006000,1000,6000,9998745031312,16683802,1243391397,1230087,617989870,1000,6421,160685,1233519566,21498330,1978501670,2169395149,838365958,1161634042,1064912868,100045164344,138390242,1002326,999801,268447343,1261074356,3638742013,3707937134,169967851,1767352,230909319,98232648,99999725,275,7338894,68989737,1195,99998805,200709375,6972656,59961210,168446013,22256721,77743279,99965492,34508,30741524,1000,1000,1000,1000,1000,1000,1000
620000,10520,63255,619001000,3714006000,1000,6000,9998743870951,17697803,1246408431,1229687,618990480,1000,5758,161707,1235521586,21501242,1978498758,2169396070,838226093,1161773907,1066775014,100045241040,138477330,1004516,1010179,268578176,1261934884,3644698322,3713936987,170049777,1766864,231055383,98233136,99999711,289,7335535,69135176,1026,99998974,200794035,6972665,60023604,168584865,22182997,77817003,99965346,34654,30744258,1000,1000,1000,1000,1000,1000,1000
621000,10170,61832,620001000,3720006000,1000,6000,9998753166774,8247473,1238952231,1232643,619990830,1000,1143,161056,1237516374,21495950,1978504050,2169405786,838088965,1161911035,1068632667,100045371481,138564968,953535,958648,268716489,1262800816,3650660541,3719943025,170132047,1766104,231201090,98233896,99999733,267,7331893,69279967,1049,99998951,200879031,6972672,60084572,168722651,22108905,77891095,99965232,34768,30746984,1000,1000,1000,1000,1000,1000,1000
622000,10070,63690,621001000,3726006000,1000,6000,9998746963619,14303126,1247007987,1232510,620990930,1000,620,160703,1239516840,21497897,1978502103,2169407956,837950381,1162049619,1070494539,100045406744,138653310,998268,997807,268860905,1263673668,3656615035,3725941690,170214850,1765197,231346866,98234803,99999717,283,7328667,69425299,1154,99998846,200964616,6972682,60146280,168861598,22034448,77965552,99965092,34908,30749766,1000,1000,1000,1000,1000,1000,1000
623000,10580,62422,622001000,3732006000,1000,6000,9998744339789,16778918,1251486765,1230815,621990420,1000,1143,161325,1241519210,21499575,1978500425,2169411135,837811147,1162188853,1072357669,100045488249,138741196,996468,991948,269003626,1264542168,3662571837,3731942435,170297457,1763437,231492096,98236563,99999716,284,7325569,69570158,1110,99998890,201049950,6972688,60207745,169000216,21960022,78039978,99964955,35045,30752493,1000,1000,1000,1000,1000,1000,1000
624000,10700,63335,623001000,3738006000,1000,6000,9998746782929,14184166,1250889672,1231240,622990300,1000,580,160083,1243518120,21497128,1978502872,2169418043,837674427,1162325573,1074219850,100045550621,138829160,1013807,1008815,269142066,1265411512,3668527505,3737942085,170380084,1763554,231638646,98236446,99999697,303,7320972,69714862,1113,99998887,201135328,6972697,60268591,169138187,21885648,78114352,99964778,35222,30755244,1000,1000,1000,1000,1000,1000,1000
625000,10340,63255,624001000,3744006000,1000,6000,9998749176173,11643978,1250350418,1230893,623990660,1000,7001,159613,1245519534,21498746,1978501254,2169420280,837537243,1162462757,1076084070,100045648035,138917446,996342,987596,269283487,1266283612,3674477021,3743935744,170462894,1764308,231785139,98235692,99999741,259,7316407,69859569,1110,99998890,201220917,6972707,60329003,169275851,21811175,78188825,99964689,35311,30758023,1000,1000,1000,1000,1000,1000,1000
626000,10770,63696,625001000,3750006000,1000,6000,9998748845962,11826462,1252535203,1229107,624990230,1000,1083,159215,1247522246,21500755,1978499245,2169423030,837399756,1162600244,1077949282,100045730652,139005476,993526,980579,269425530,1267152920,3680438483,3749941221,170545364,1762844,231930711,98237156,99999698,302,7313069,70004546,1166,99998834,201306130,6972720,60389917,169413749,21736934,78263066,99964694,35306,30760766,1000,1000,1000,1000,1000,1000,1000
627000,10560,62604,626001000,3756006000,1000,6000,9998752569672,7946416,1250652766,1230277,625990440,1000,590,158751,1249520326,21493526,1978506474,2169433961,837263293,1162736707,1079810892,100045802137,139092306,1000495,994655,269555445,1268010612,3686396653,3755942806,170626831,1762168,232076304,98237832,99999744,256,7310089,70149951,1078,99998922,201390389,6972727,60450968,169550683,21663843,78336157,99964554,35446,30763558,1000,1000,1000,1000,1000,1000,1000
628000,11040,61733,627001000,3762006000,1000,6000,9998750678415,9689502,1254395896,1229724,626989960,1000,618,158659,1251520472,21493997,1978506003,2169437300,837125898,1162874102,1081673633,100045862782,139179800,1018974,1014115,269691977,1268874720,3692353749,3761943649,170708833,1761973,232221990,98238027,99999715,285,7306445,70294783,1062,99998938,201475181,6972737,60512043,169688180,21590211,78409789,99964472,35528,30766348,1000,1000,1000,1000,1000,1000,1000
