figure_4A_70_new_Re_xxxx.txt,,,ATP produced over 300 seconds,,,,,,,,,,,,,,,,,,,
100:=,Rate constants,ATP amounts,,200:=,Rate constants,ATP amounts,,300:=,Rate constants,ATP amounts,,400:=,Rate constants,ATP amounts,,500:=,Rate constants,ATP amounts,,,,
_x100,1.00E+05,4.3442E+07,,_x110,1.00E-05,4.4227E+07,,_x120,1.00E+00,4.2502E+07,,_x130,0.1,5.1547E+07,,_x140,1.00E-08,4.2600E+07,,,,
_x101,1.00E+06,4.4094E+07,,_x111,1.00E-04,4.4219E+07,,_x121,1.00E+01,4.2495E+07,,_x131,1,5.1544E+07,,_x141,1.00E-07,4.2622E+07,,,,
_x102,1.00E+07,4.4196E+07,,_x112,0.001,4.4213E+07,,_x122,1.00E+02,4.2504E+07,,_x132,1.00E+01,5.1533E+07,,_x142,1.00E-06,4.2772E+07,,,,
_x103,1.00E+08,4.4219E+07,,_x113,0.01,4.4221E+07,,_x123,1.00E+03,4.2509E+07,,_x133,1.00E+02,5.0941E+07,,_x143,1.00E-05,4.3571E+07,,,,
Re1,1.00E+09,4.4216E+07,,Re1,0.1,4.4216E+07,,Re1,1.00E+04,4.4216E+07,,Re1,1.00E+03,4.4216E+07,,Re1,1.00E-04,4.4216E+07,,,,
_x104,1.00E+10,4.4224E+07,,_x114,1,4.4225E+07,,_x124,1.00E+05,4.4227E+07,,_x134,1.00E+04,4.2484E+07,,_x144,1.00E-03,4.4167E+07,,,,
_x105,1.00E+11,4.4224E+07,,_x115,10,4.4222E+07,,_x125,1.00E+06,4.4218E+07,,_x135,1.00E+05,4.2426E+07,,_x145,1.00E-02,4.3046E+07,,,,
_x106,1.00E+12,4.4217E+07,,_x116,1.00E+02,4.4225E+07,,_x126,1.00E+07,4.4211E+07,,_x136,1.00E+06,4.2421E+07,,_x146,1.00E-01,4.2534E+07,,,,
_x107,1.00E+13,4.4214E+07,,_x117,1.00E+03,4.4230E+07,,_x127,1.00E+08,4.4232E+07,,_x137,1.00E+07,4.2422E+07,,_x147,1.00E+00,4.2513E+07,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
100::,Rate constants,ATP amounts,,200::,Rate constants,ATP amounts,,210::,Rate constants,ATP amounts,,220::,Rate constants,ATP amounts,,300::,Rate constants,ATP amounts,,310::,Rate constants,ATP amounts
_x150,1.00E+01,4.2412E+07,,_x160,0.1,3.9726E+07,,_x170,0.1,4.5194E+07,,_x180,1.00E-03,4.4220E+07,,_x190,1.00E+01,3.2211E+07,,_x200,1.00E+01,4.4164E+07
_x151,1.00E+02,4.2418E+07,,_x161,1,3.9729E+07,,_x171,1,4.5203E+07,,_x181,1.00E-02,4.4222E+07,,_x191,1.00E+02,3.2257E+07,,_x201,1.00E+02,4.4165E+07
_x152,1.00E+03,4.2427E+07,,_x162,1.00E+01,3.9750E+07,,_x172,1.00E+01,4.5189E+07,,_x182,0.1,4.4222E+07,,_x192,1.00E+03,3.5142E+07,,_x202,1.00E+03,4.4156E+07
_x153,1.00E+04,4.2635E+07,,_x163,1.00E+02,4.0613E+07,,_x173,1.00E+02,4.5187E+07,,_x183,1,4.4222E+07,,_x193,1.00E+04,4.3132E+07,,_x203,1.00E+04,4.4167E+07
Re1,1.00E+05,4.4216E+07,,Re1,1.00E+03,4.4216E+07,,Re1,1.00E+03,4.4216E+07,,Re1,1.00E+01,4.4216E+07,,Re1,1.00E+05,4.4216E+07,,Re1,1.00E+05,4.4216E+07
_x154,1.00E+06,4.8562E+07,,_x164,1.00E+04,4.5003E+07,,_x174,1.00E+04,4.0639E+07,,_x184,1.00E+02,4.4216E+07,,_x194,1.00E+06,4.5976E+07,,_x204,1.00E+06,4.4233E+07
_x155,1.00E+07,5.1139E+07,,_x165,1.00E+05,4.5053E+07,,_x175,1.00E+05,4.0005E+07,,_x185,1.00E+03,4.4219E+07,,_x195,1.00E+07,5.8645E+07,,_x205,1.00E+07,4.4213E+07
_x156,1.00E+08,5.1702E+07,,_x166,1.00E+06,4.5056E+07,,_x176,1.00E+06,3.9949E+07,,_x186,1.00E+04,4.4216E+07,,_x196,1.00E+08,5.3646E+07,,_x206,1.00E+08,4.4224E+07
_x157,1.00E+09,5.1784E+07,,_x167,1.00E+07,4.5051E+07,,_x177,1.00E+07,3.9949E+07,,_x187,1.00E+05,4.4226E+07,,_x197,1.00E+09,4.8119E+07,,_x207,1.00E+09,4.4214E+07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
320::,Rate constants,ATP amounts,,400::,Rate constants,ATP amounts,,500::,Rate constants,ATP amounts,,600::,Rate constants,ATP amounts,,700::,Rate constants,ATP amounts,,,,
_x210,0.6,0.0000E+00,,_x220,0.1,4.4210E+07,,_x230,1.00E-02,7.3473E+06,,_x240,1.00E+00,4.2537E+07,,_x250,1.00E-03,4.4221E+07,,,,
_x211,6,0.0000E+00,,_x221,1,4.4220E+07,,_x231,0.1,7.3472E+06,,_x241,1.00E+01,4.2537E+07,,_x251,1.00E-02,4.4220E+07,,,,
_x212,6.00E+01,1.5540E+03,,_x222,1.00E+01,4.4217E+07,,_x232,1,7.3630E+06,,_x242,1.00E+02,4.2738E+07,,_x252,0.1,4.4211E+07,,,,
_x213,6.00E+02,1.0437E+06,,_x223,1.00E+02,4.4225E+07,,_x233,1.00E+01,8.6274E+06,,_x243,1.00E+03,4.3711E+07,,_x253,1,4.4215E+07,,,,
Re1,6.00E+03,4.4216E+07,,Re1,1.00E+03,4.4216E+07,,Re1,1.00E+02,4.4216E+07,,Re1,1.00E+04,4.4216E+07,,Re1,1.00E+01,4.4216E+07,,,,
_x214,6.00E+04,5.1432E+07,,_x224,1.00E+04,4.4221E+07,,_x234,1.00E+03,1.4739E+08,,_x244,1.00E+05,4.4269E+07,,_x254,1.00E+02,4.4218E+07,,,,
_x215,6.00E+05,5.2043E+07,,_x225,1.00E+05,4.4252E+07,,_x235,1.00E+04,1.7633E+08,,_x245,1.00E+06,4.4272E+07,,_x255,1.00E+03,4.4217E+07,,,,
_x216,6.00E+06,5.2596E+07,,_x226,1.00E+06,4.4451E+07,,_x236,1.00E+05,1.7942E+08,,_x246,1.00E+07,4.4280E+07,,_x256,1.00E+04,4.4212E+07,,,,
_x217,6.00E+07,5.2712E+07,,_x227,1.00E+07,4.4903E+07,,_x237,1.00E+06,1.7975E+08,,_x247,1.00E+08,4.4273E+07,,_x257,1.00E+05,4.4211E+07,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
