time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,988850.0,989880.0,989382.0,216.43506631559148,989381.977115643,9.500545538993993e-05,1.000218782074642
3000,1988940.0,1989940.0,1989335.6666666667,294.3453675570567,1989335.6456172632,6.425744974797972e-05,1.0001479691922646
4000,2988880.0,2989830.0,2989419.6666666665,284.31991856349777,2989419.653596409,4.1305903922037615e-05,1.0000951148817572
5000,3988910.0,3989970.0,3989442.3333333335,248.8273647958849,3989442.325832094,2.708765214078128e-05,1.0000623735691738
6000,4988890.0,4989910.0,4989363.333333333,279.6837294261988,4989363.325755731,2.434460905092788e-05,1.0000560571050363
7000,5989040.0,5989840.0,5989420.333333333,245.86908954848786,5989420.328455052,1.7827925163938478e-05,1.0000410511572972
8000,6988770.0,6989970.0,6989316.666666667,330.1654061259279,6989316.65912832,2.0515487909825324e-05,1.0000472397723996
9000,7988860.0,7989860.0,7989372.333333333,280.42680935013846,7989372.328575906,1.5243703187255953e-05,1.0000351005397305
10000,8988780.0,8989920.0,8989434.333333334,250.31956587025164,8989434.329964321,1.2093412965437133e-05,1.0000278465001242
11000,9988830.0,9990060.0,9989409.666666666,275.2363665493067,9989409.663001243,1.1966030098354177e-05,1.0000275531821088
12000,10988930.0,10989830.0,10989430.333333334,221.5226824742213,10989430.331175065,8.754463436152616e-06,1.000020158100177
13000,11988490.0,11990380.0,11989425.0,336.25472692485727,11989424.995441886,1.2180244062862282e-05,1.0000280464417022
14000,12988900.0,12989880.0,12989338.666666666,229.13229627314055,12989338.664713094,7.660954714564454e-06,1.0000176401557095
15000,13988840.0,13990000.0,13989403.666666666,224.55294028025043,13989403.66492452,6.971136801261676e-06,1.000016051764508
16000,14988800.0,14989920.0,14989370.666666666,253.85216079488046,14989370.66458875,7.354982776295194e-06,1.0000169356171058
17000,15988770.0,15989890.0,15989364.666666666,226.10240788318615,15989364.665121254,6.141273790200309e-06,1.000014140905463
18000,16988810.0,16989870.0,16989343.333333332,239.8754466073122,16989343.331696294,6.131894117781749e-06,1.000014119307664
19000,17988610.0,17990100.0,17989352.333333332,346.20786394516114,17989352.33011298,8.358054867760263e-06,1.0000192453177337
20000,18989010.0,18989810.0,18989377.666666668,213.01907528853286,18989377.665511727,4.871818453899984e-06,1.0000112178394671
21000,19988890.0,19989960.0,19989333.0,263.2181473672518,19989332.998324692,5.718744877977146e-06,1.000013167983404
22000,20988900.0,20989750.0,20989324.666666668,229.83852402597088,20989324.665450297,4.755627085003759e-06,1.0000109502959877
23000,21989050.0,21989830.0,21989482.333333332,220.10472951307295,21989482.332268514,4.347102302699678e-06,1.0000100096230558
24000,22988850.0,22989900.0,22989361.666666668,277.2784400802438,22989361.665050283,5.238095131973851e-06,1.0000120612325027
25000,23988680.0,23989840.0,23989362.333333332,266.16929190652894,23989362.33190594,4.8186450858455175e-06,1.0000110954018966
26000,24988880.0,24989870.0,24989380.333333332,223.04295756544354,24989380.332371023,3.8762973249523485e-06,1.0000089255442688
27000,25988930.0,25989760.0,25989318.333333332,214.26833536533087,25989318.332479544,3.5805299017945095e-06,1.0000082445087626
28000,26988560.0,26989900.0,26989341.333333332,261.6622373151725,26989341.332107216,4.210502127687963e-06,1.0000096950864303
29000,27988790.0,27989970.0,27989417.333333332,296.4611195457151,27989417.33181559,4.60000774593613e-06,1.000010591965358
30000,28988710.0,28989960.0,28989427.0,252.5477080228332,28989426.998936515,3.7834578492938893e-06,1.000008711771591
31000,29988890.0,29989690.0,29989363.666666668,218.07122109821,29989363.665900208,3.158028027953392e-06,1.0000072716546988
32000,30988760.0,30990010.0,30989437.0,288.4817570279463,30989436.99870206,4.042871445113944e-06,1.0000093090988518
33000,31988850.0,31989890.0,31989357.0,296.2076391946051,31989356.998674292,4.021377541444626e-06,1.0000092596068502
34000,32988980.0,32989890.0,32989451.0,260.8123912859124,32989450.99900341,3.433502221116027e-06,1.000007905962283
35000,33988860.0,33990020.0,33989386.666666664,255.22584094299216,33989386.66574036,3.2611052710106253e-06,1.0000075090005762
36000,34988760.0,34989910.0,34989450.333333336,247.92216984136496,34989450.33248428,3.0772543627878635e-06,1.0000070856651264
37000,35988680.0,35989910.0,35989374.333333336,291.1295876093827,35989374.33219501,3.5131519505021555e-06,1.0000080893640293
38000,36989010.0,36990090.0,36989394.0,244.39369030739923,36989393.99921948,2.8694291157708286e-06,1.0000066071265343
39000,37989130.0,37990010.0,37989489.666666664,229.4142967215206,37989489.66599692,2.622652539727727e-06,1.000006038898876
40000,38988520.0,38990100.0,38989349.0,332.24783022565424,38989348.99863158,3.7008397692031506e-06,1.0000085215347922
41000,39989000.0,39989960.0,39989443.333333336,227.87372990673856,39989443.332705766,2.474757967320292e-06,1.0000056983570398
42000,40988620.0,40989860.0,40989407.0,273.749822862484,40989406.99911632,2.9004636807238155e-06,1.0000066785867356
43000,41988930.0,41989910.0,41989316.666666664,241.55149851901484,41989316.66599514,2.498357717037525e-06,1.000005752697783
44000,42988980.0,42990410.0,42989452.666666664,285.8132176829807,42989452.665748194,2.8873737318018533e-06,1.0000066484458137
45000,43988570.0,43989760.0,43989307.333333336,270.35013482944464,43989307.33253,2.6690975617436584e-06,1.000006145843143
46000,44989010.0,44989830.0,44989448.0,244.0237410722501,44989447.99936038,2.3556226246232814e-06,1.0000054240362501
47000,45988980.0,45989890.0,45989409.666666664,238.17529524358284,45989409.66607059,2.2491729944815447e-06,1.0000051789256192
48000,46988420.0,46989960.0,46989342.0,276.33562801481975,46989341.99921442,2.5540118858796317e-06,1.0000058808469878
49000,47988710.0,47990180.0,47989422.333333336,338.62483903162723,47989422.332178414,3.0644860093179533e-06,1.000007056264698
50000,48988900.0,48989820.0,48989424.0,215.28809887506875,48989423.99954276,1.90854641474065e-06,1.0000043946001802
51000,49988840.0,49989930.0,49989418.0,300.15398347032385,49989417.99912887,2.6076582561180135e-06,1.0000060043730543
52000,50988810.0,50989780.0,50989243.0,268.162971549662,50989242.999318376,2.2840429837869057e-06,1.0000052592171558
53000,51988660.0,51990050.0,51989405.0,297.39964983862694,51989404.9991782,2.4843355753644995e-06,1.0000057204104233
54000,52988920.0,52989670.0,52989318.666666664,217.25137725579611,52989318.66623638,1.7805682496531302e-06,1.0000040999183133
55000,53988660.0,53989940.0,53989407.0,257.2420033273378,53989406.99940728,2.069275512095428e-06,1.0000047646942987
56000,54988750.0,54989860.0,54989325.333333336,236.9014538802469,54989325.33284001,1.870999326536864e-06,1.0000043081444383
57000,55988760.0,55990060.0,55989405.0,332.14818047537676,55989404.99904746,2.576381227518373e-06,1.0000059323546047
58000,56989010.0,56989940.0,56989409.0,249.6114221524438,56989408.999471724,1.9021911875912045e-06,1.0000043799666647
59000,57988920.0,57989830.0,57989428.333333336,242.7015100663895,57989428.33284256,1.8176404562449841e-06,1.0000041852805772
60000,58989110.0,58990080.0,58989483.333333336,211.66553533954163,58989483.33296631,1.558330433796979e-06,1.0000035881948643
61000,59988810.0,59990190.0,59989399.666666664,289.05891695511565,59989399.66599347,2.092645859849617e-06,1.0000048185067707
62000,60988760.0,60989820.0,60989402.666666664,250.47449224295846,60989402.66616969,1.7835851984030295e-06,1.000004106865123
63000,61988890.0,61989790.0,61989332.333333336,248.63327562320873,61989332.332851626,1.7419128160089077e-06,1.000004010910527
64000,62988680.0,62989770.0,62989316.666666664,268.42238116938705,62989316.66611343,1.8507022721630124e-06,1.0000042614085431
65000,63988960.0,63989910.0,63989383.666666664,246.2894755102752,63989383.66620819,1.6715592582269945e-06,1.000003848914837
66000,64988790.0,64989970.0,64989392.0,234.7911764775758,64989391.999589875,1.5690019068668877e-06,1.0000036127669276
67000,65988990.0,65990070.0,65989495.333333336,241.07136349813635,65989495.332907826,1.5865556379141473e-06,1.000003653186034
68000,66988860.0,66990070.0,66989416.666666664,286.2640851325601,66989416.6660755,1.8558589061331838e-06,1.0000042732821823
69000,67988960.0,67989880.0,67989359.0,220.7409153830298,67989358.99965338,1.4100219765592702e-06,1.0000032467008546
70000,68988600.0,68989740.0,68989337.33333333,249.02476449809828,68989337.33289856,1.5676368756944811e-06,1.0000036096238158
71000,69988850.0,69989880.0,69989398.33333333,293.152700392008,69989398.3327397,1.8190556349875278e-06,1.0000041885391604
72000,70988840.0,70989890.0,70989391.66666667,248.05565745493948,70989391.66624755,1.5175399023254919e-06,1.000003494270862
73000,71988870.0,71989870.0,71989404.66666667,267.2172477054285,71989404.66618703,1.6120566213801197e-06,1.0000037119044345
74000,72988950.0,72989850.0,72989416.33333333,239.28749601081626,72989416.33295397,1.4237853329563927e-06,1.0000032783922572
75000,73989040.0,73989970.0,73989488.66666667,243.09404074077614,73989488.66628084,1.4268833746454288e-06,1.0000032855257852
76000,74989060.0,74990070.0,74989501.66666667,224.42391127957592,74989501.66634217,1.2997287962549536e-06,1.0000029927406295
77000,75988990.0,75989770.0,75989371.0,215.9717414465334,75989370.99970302,1.2343216472004648e-06,1.0000028421346636
78000,76988880.0,76989990.0,76989396.0,272.303076584238,76989395.99953428,1.5360524212911556e-06,1.000003536897662
79000,77988990.0,77989690.0,77989358.33333333,195.22018220519584,77989358.33309714,1.0871106980270883e-06,1.0000025031680206
80000,78988900.0,78989880.0,78989457.0,238.95101214871752,78989456.99965043,1.3137847851665686e-06,1.0000030251058374
81000,79988900.0,79989850.0,79989415.33333333,225.5374169329373,79989415.3330262,1.2245328931948537e-06,1.000002819595161
82000,80989070.0,80989990.0,80989468.66666667,240.91396852379694,80989468.66632046,1.291866090252557e-06,1.0000029746360257
83000,81988880.0,81989900.0,81989443.66666667,276.04951246711755,81989443.66621755,1.4622224735815479e-06,1.0000033668973383
