time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,251733.0,253717.0,252564.36666666667,408.5118901180431,252564.04748987695,0.0007021464895855985,1.0016180596882167
3000,741500.0,744559.0,742856.2,711.4583080813175,742855.8707410134,0.0004158643293096961,1.000958021615202
4000,1251471.0,1255162.0,1253057.5666666667,1008.4352058351674,1253057.1744943087,0.0003494542250445239,1.000804971905392
5000,1753999.0,1758693.0,1756284.6666666667,1270.6483366385442,1756284.2223535655,0.00031419894901586477,1.000723731583649
6000,2245231.0,2251196.0,2248608.6333333333,1580.9097442739196,2248608.0960585647,0.000305361745618402,1.0007033686512306
7000,2726326.0,2733310.0,2730389.2,1700.5415040205728,2730388.6879932354,0.0002705243160381931,1.0006230993031704
8000,3198473.0,3205563.0,3202311.933333333,1573.3852791931188,3202311.559659321,0.00021339561959085409,1.000491482310452
9000,3661435.0,3669577.0,3665645.533333333,1865.4312570321756,3665645.07450115,0.00022101026472851415,1.0005090244499608
10000,4116657.0,4125525.0,4121595.533333333,1925.9393003170553,4121595.09834714,0.00020294026968772563,1.0004673964354414
11000,4566443.0,4575872.0,4571613.466666667,2383.2277552372816,4571612.866117287,0.00022641785882225636,1.0005214823111594
12000,5011194.0,5020110.0,5015895.6,2292.068808018131,5015895.093775081,0.0001984522245233173,1.0004570575528464
13000,5450938.0,5459886.0,5455352.966666667,2306.190148025651,5455352.495459156,0.00018359259054137115,1.0004228269282802
14000,5885805.0,5895701.0,5890657.133333334,2575.2013343899303,5890656.589232114,0.00018985083876978055,1.000437243274229
15000,6315122.0,6328581.0,6322293.466666667,3302.816945383538,6322292.632706425,0.00022688060711456787,1.0005225483846953
16000,6745155.0,6758657.0,6750976.733333333,3401.7031832784055,6750975.905006178,0.0002188068149870999,1.0005039482497087
17000,7170745.0,7184661.0,7176758.866666666,3593.2392334084498,7176757.99731549,0.00021740551761926272,1.000500720022444
18000,7593469.0,7608590.0,7599903.6,3806.0475344486654,7599902.678905355,0.00021746448803602124,1.0005008558748458
19000,8014517.0,8029975.0,8021011.266666667,4005.5165574434996,8021010.300030113,0.00021685035730695988,1.0004994410793298
20000,8433211.0,8448422.0,8439998.9,3956.7168587100086,8439998.00358769,0.00020357622092830326,1.000468861452784
21000,8851764.0,8865780.0,8857219.9,3763.980572250057,8857219.126994831,0.00018453894010631643,1.0004250069024176
22000,9266741.0,9281806.0,9272677.9,3942.4185151092042,9272677.089981426,0.0001846238702421318,1.0004252025444154
23000,9681441.0,9695984.0,9686677.066666666,3849.9104775380774,9686676.32722972,0.00017258621897936463,1.0003974734267151
24000,10092313.0,10107385.0,10098910.933333334,3862.6974578103727,10098910.219341448,0.0001660944933442819,1.0003825198464678
25000,10503685.0,10518597.0,10509520.8,3897.550197858597,10509520.101472013,0.00016104436425730422,1.000370887114074
26000,10911688.0,10929233.0,10919055.333333334,4112.117512520965,10919054.584908964,0.0001635427118259242,1.0003766419220819
27000,11319715.0,11336754.0,11327205.133333333,4040.5121622553406,11327204.436755395,0.0001549093627288645,1.0003567556115367
28000,11725989.0,11742167.0,11733581.5,4169.153736588559,11733580.784045767,0.00015430557428597715,1.0003553648422474
29000,12130201.0,12147207.0,12138840.1,4129.299467597797,12138839.421081588,0.00014773384230340556,1.0003402276073066
30000,12532278.0,12552499.0,12542666.6,4549.746113416849,12542665.802314106,0.0001575368480999848,1.0003628077968667
31000,12934030.0,12955988.0,12944938.333333334,4753.903937152933,12944937.489532651,0.00015948835691900816,1.000367302952364
32000,13337051.0,13356663.0,13345710.166666666,4577.438849350172,13345709.407872975,0.00014895166263630548,1.000343032700228
33000,13737643.0,13757147.0,13745462.266666668,4914.062761401049,13745461.417622136,0.00015525189407098865,1.000357544600786
34000,14135951.0,14157261.0,14143466.166666666,5229.155797122009,14143465.232358059,0.00016055072897493456,1.0003697500559134
35000,14531758.0,14552240.0,14539957.9,5175.907658865588,14539957.009569518,0.00015458425154229248,1.0003560067485793
36000,14925394.0,14947903.0,14935293.8,5349.481517899172,14935292.87400018,0.0001555421738113743,1.000358213233793
37000,15316713.0,15341215.0,15328327.766666668,5537.095962894164,15328326.799993662,0.00015687156756987022,1.0003612753772364
38000,15710259.0,15731025.0,15719339.1,5472.678530664852,15719338.179191718,0.00015118811125338947,1.0003481840932247
39000,16098896.0,16120475.0,16108485.333333334,5727.77384891965,16108484.348992363,0.000154419389834047,1.0003556270053964
40000,16483981.0,16507043.0,16495076.033333333,5960.784445502716,16495074.992239889,0.00015693733682754015,1.0003614268712715
41000,16868213.0,16892401.0,16878616.0,5788.941068075851,16878615.040428188,0.00014894419956994063,1.0003430155099882
42000,17249442.0,17270647.0,17258631.066666666,5467.920867760611,17258630.229382545,0.00013759136966250577,1.000316866028147
43000,17625000.0,17646265.0,17633548.2,5557.856163219275,17633547.353359766,0.00013687838040644313,1.000315223790858
44000,17993012.0,18012786.0,18002148.233333334,5512.5593635607775,18002147.41744871,0.00013298820209351218,1.0003062635407893
45000,18351402.0,18372393.0,18361210.966666665,5656.131896741212,18361210.1245353,0.00013378242855317696,1.0003080928765555
46000,18694005.0,18716066.0,18705260.233333334,5657.668324912007,18705259.406222723,0.00013135974282438043,1.000302512733398
47000,19012050.0,19034468.0,19023142.5,5644.737272833018,19023141.69041663,0.00012887035691645644,1.0002967789929387
48000,19283394.0,19304761.0,19293917.8,5576.317326348809,19293917.02101321,0.0001255214695639933,1.00028906563609
49000,19468314.0,19488526.0,19478981.0,5417.571882628626,19478980.271703646,0.00012079152877261775,1.0002781714560178
50000,19526683.0,19543125.0,19535862.966666665,5155.960564596879,19535862.308905415,0.00011462714777993568,1.00026397359663
51000,19473095.0,19490481.0,19482271.3,5507.236181168592,19482270.547495604,0.000122773401696944,1.0002827361669013
52000,19380892.0,19399270.0,19390554.633333333,5322.752978930418,19390553.92710644,0.00011921797967094567,1.0002745472239996
53000,19283422.0,19301631.0,19292706.366666667,5394.129660283855,19292705.637704525,0.00012142803311575507,1.0002796374701939
54000,19183490.0,19204362.0,19195014.5,5363.295717026599,19195013.775671214,0.00012134952490345954,1.0002794566478204
55000,19087150.0,19108741.0,19098536.633333333,5460.446100781531,19098535.87874341,0.00012417048999514786,1.000285953996304
56000,18990326.0,19014835.0,19002971.866666667,5721.917069228323,19002971.03395457,0.0001307658368711002,1.0003011448016468
57000,18898288.0,18922213.0,18910138.833333332,5658.109395971556,18910138.01508991,0.00012994267901961598,1.0002992488416584
58000,18807271.0,18831328.0,18818731.966666665,5365.574960246384,18818731.227292903,0.00012382022078130826,1.00028514724133
59000,18716416.0,18741722.0,18729035.066666666,5646.163567404424,18729034.24399511,0.0001309222781472582,1.00030150512954
60000,18631513.0,18653515.0,18641839.7,5252.624586321354,18641838.984688558,0.00012236587041822134,1.0002817975265816
61000,18543566.0,18566992.0,18556004.066666666,5341.939037939077,18556003.323346443,0.00012502896380164966,1.0002879312724957
62000,18458756.0,18482724.0,18472004.9,5621.77152316071,18472004.07300035,0.00013217920917217997,1.0003044001969839
63000,18377407.0,18402303.0,18390252.666666668,5703.859651108206,18390251.811597895,0.00013470034168738712,1.000310207103066
64000,18298784.0,18322456.0,18310255.333333332,5554.589642084645,18310254.518886123,0.00013174886316686925,1.0003034089875456
65000,18222130.0,18244384.0,18231847.3,5347.044631028143,18231846.542075187,0.000127366236675849,1.0002933146062398
66000,18147016.0,18168781.0,18155552.166666668,5320.877015365389,18155551.41299787,0.0001272742975329206,1.0002931028464683
67000,18071606.0,18092222.0,18081021.933333334,5304.354268174294,18081021.181217447,0.00012740627936396297,1.000293406834985
68000,17998897.0,18020268.0,18008516.266666666,5854.532855909131,18008515.34677066,0.00014118472557852249,1.0003251426919055
69000,17927234.0,17950305.0,17937281.6,6032.9085259730755,17937280.61932656,0.00014606294198061314,1.0003363789155468
70000,17857187.0,17881814.0,17868056.233333334,6149.823174824557,17868055.21031209,0.00014947277949957353,1.0003442330284797
71000,17790706.0,17814273.0,17801136.4,6136.025258456307,17801135.37772818,0.00014969887129162647,1.0003447538034116
72000,17725230.0,17750033.0,17735215.3,5888.956971929866,17735214.354938067,0.00014420030313189866,1.0003320885976101
73000,17660950.0,17687373.0,17672007.8,5790.31001730924,17672006.883053754,0.00014229340652500999,1.0003276963574201
74000,17600267.0,17627139.0,17610473.833333332,5917.843794673945,17610472.87223676,0.00014593183022337878,1.0003360769180634
75000,17539088.0,17567361.0,17549703.333333332,6058.475467351976,17549702.32257757,0.0001499114550114255,1.0003452434643898
76000,17478011.0,17508964.0,17490735.3,6506.096939767742,17490734.130383115,0.00016153613743547087,1.0003720198842783
77000,17421328.0,17450852.0,17433507.933333334,6559.971567081639,17433506.740328114,0.00016341196363508327,1.0003763407499007
78000,17365308.0,17394275.0,17377455.033333335,6403.751602385704,17377453.89285767,0.00016002948652609785,1.0003685494077657
79000,17310901.0,17340529.0,17323094.766666666,6401.991962007543,17323093.623253297,0.00016048624128181787,1.00036960151262
80000,17257621.0,17287588.0,17269879.1,6592.402760911152,17269877.883838233,0.00016576719906611,1.0003817659355503
81000,17206389.0,17234865.0,17218212.6,6518.4674505169,17218211.40740623,0.00016439889521537615,1.0003786141016604
82000,17155925.0,17181516.0,17167887.033333335,6360.819284052002,17167885.89435146,0.0001608981828237729,1.000370550394102
83000,17107913.0,17133922.0,17119004.733333334,6348.597466252349,17119003.59552921,0.0001610428205201169,1.0003708835581693
84000,17059269.0,17087308.0,17071598.6,6652.0448170675945,17071597.347336985,0.0001692110951226276,1.0003896988580772
85000,17010318.0,17040020.0,17025665.633333333,6668.924834418697,17025664.37075504,0.00017011360716781858,1.0003917777808562
