time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,0.0,1.0
1000,999899461.0,999900525.0,999900011.9333333,286.23223430288726,999900011.9332935,1.243215120413158e-07,1.0000002862609014
2000,906487223.0,906522623.0,906507898.3,8601.690275553503,906507898.2605469,4.1209537331394375e-06,1.0000094888916542
3000,822168979.0,822222593.0,822198396.6,12588.45548467544,822198396.5068389,6.649380850043567e-06,1.0000153108824332
4000,745918151.0,745971149.0,745953031.9666667,11672.881136777383,745953031.8783796,6.7960164945014856e-06,1.0000156485287088
5000,676969814.0,677023105.0,676999885.7,14114.272463813311,676999885.5577747,9.05432940944411e-06,1.0000208485812538
6000,614604241.0,614662129.0,614639237.5666667,14012.861985070847,614639237.4122523,9.90131839884892e-06,1.0000227988880368
7000,558206824.0,558274760.0,558240393.9666667,16022.007189430446,558240393.7444068,1.2464632086585663e-05,1.0000287012879063
8000,507203705.0,507262211.0,507234829.6666667,14396.039844186396,507234829.46918595,1.232593101478961e-05,1.0000283819077707
9000,461068038.0,461130400.0,461106991.5,15221.228122886982,461106991.2571426,1.4336255966711805e-05,1.0000330109941291
10000,419356741.0,419418342.0,419391635.73333335,15543.596823203401,419391635.4548915,1.609601782433215e-05,1.00003706313752
11000,381633434.0,381694253.0,381668715.6,15648.529446388335,381668715.289893,1.780631674901818e-05,1.0000410014000418
12000,347511042.0,347574058.0,347550439.5,14466.816292395886,347550439.20893914,1.807774863008925e-05,1.000041626420866
13000,316663790.0,316722142.0,316697206.03333336,12765.505699245576,316697205.78462994,1.750585432762964e-05,1.0000403095316224
14000,288768959.0,288820894.0,288795675.76666665,12135.426905760565,288795675.5201948,1.8249453708871587e-05,1.0000420218029566
15000,263545205.0,263585069.0,263564988.76666668,11365.682465615313,263564988.5297744,1.8728060722419745e-05,1.0000431238832481
16000,240728537.0,240766946.0,240748348.86666667,10262.189820532636,240748348.6552355,1.8512430315685494e-05,1.0000426273546
17000,220093571.0,220132428.0,220116024.6,8994.224896546404,220116024.42236412,1.7746002670935294e-05,1.0000408625160602
18000,201437480.0,201474262.0,201457611.43333334,7998.076616560247,201457611.2798582,1.7242098185738306e-05,1.0000397021863654
19000,184572013.0,184602673.0,184589073.2,7612.196843632388,184589073.0482713,1.7909923384539682e-05,1.0000412399729461
20000,169314363.0,169353627.0,169335036.36666667,8294.720154841058,169335036.17028278,2.127363182321369e-05,1.0000489855472627
21000,155526124.0,155561009.0,155542332.7,7906.413002245011,155542332.50575405,2.2075533930375195e-05,1.0000508320872548
22000,143057813.0,143087600.0,143070606.5,8171.289290706442,143070606.27443644,2.480374248044526e-05,1.0000571143586487
23000,131780028.0,131813403.0,131794915.06666666,9024.592939271015,131794914.76799634,2.9737556384241305e-05,1.000068475598379
24000,121582620.0,121617650.0,121600291.56666666,8583.254260611115,121600291.27383664,3.0654986042079904e-05,1.0000705882051166
25000,112370098.0,112405167.0,112384536.46666667,8198.970173908652,112384536.17756628,3.168319727389142e-05,1.0000729559188948
26000,104036949.0,104067305.0,104051393.76666667,7687.339702543323,104051393.49216329,3.2085578537796346e-05,1.000073882504019
27000,96505775.0,96535039.0,96520262.46666667,7694.031326331775,96520262.17022818,3.46193392759587e-05,1.0000797171517894
28000,89698821.0,89725186.0,89711720.26666667,6768.296270790413,89711720.01986243,3.2765134598736395e-05,1.0000754473565057
29000,83546103.0,83572844.0,83556995.2,6048.8125275217,83556994.98836091,3.14387384702198e-05,1.0000723929907902
30000,77986658.0,78013301.0,77995214.93333334,6466.324633921838,77995214.67422818,3.6004833076633315e-05,1.0000829076285656
31000,72959149.0,72980109.0,72967135.7,5888.411027105523,72967135.47033052,3.504662540425921e-05,1.0000807010933737
32000,68413075.0,68435419.0,68425196.83333333,6018.516973264365,68425196.57746843,3.8199607126541964e-05,1.0000879617143326
33000,64308998.0,64333095.0,64321230.03333333,6031.7311776015495,64321229.75994201,4.07265987009098e-05,1.0000937808562067
34000,60602561.0,60627997.0,60612911.833333336,6066.523563267365,60612911.53986842,4.34665312328073e-05,1.0001000903955704
35000,57251704.0,57277262.0,57263926.96666667,6728.39220167346,57263926.58455321,5.102907468170033e-05,1.000117505689924
36000,54230097.0,54251788.0,54239407.06666667,6224.059479888941,54239406.72146269,4.983567752355326e-05,1.0001147574723
37000,51493034.0,51521654.0,51507590.166666664,7081.026143655059,51507589.696147315,5.970579907792266e-05,1.0001374871334119
38000,49024397.0,49052036.0,49041279.766666666,6641.77022353972,49041279.33188092,5.8819778039738824e-05,1.0001354467161658
39000,46799737.0,46826272.0,46815686.36666667,5617.203025210747,46815686.0408902,5.2111213491785465e-05,1.0001199977025124
40000,44787977.0,44817519.0,44808067.9,5764.128940085487,44808067.5415674,5.587262284643106e-05,1.0001286597444277
41000,42982116.0,43003415.0,42997543.1,5015.403936357228,42997542.81721848,5.066097673898284e-05,1.0001166580138527
42000,41343741.0,41373980.0,41365028.03333333,6177.305781891368,41365027.58740691,6.486177546822295e-05,1.0001493609105285
43000,39876801.0,39900951.0,39893190.86666667,5547.481104275962,39893190.49378895,6.039508078563239e-05,1.0001390744826666
44000,38550696.0,38578982.0,38568017.0,5514.471513115787,38568016.6188812,6.209915311748518e-05,1.0001429988076107
45000,37361909.0,37384293.0,37373702.03333333,4954.367195636129,37373701.71589299,5.757185683956073e-05,1.0001325728863433
46000,36286309.0,36307483.0,36298762.6,4512.53047444099,36298762.32884808,5.399155683688706e-05,1.0001243278819907
47000,35314082.0,35339310.0,35331726.93333333,5125.598750109731,35331726.573889025,6.300999773730668e-05,1.0001450964069651
48000,34448805.0,34468346.0,34461114.06666667,4712.660701976541,34461113.75515408,5.9393733573721664e-05,1.0001367684774995
49000,33667912.0,33685054.0,33677909.13333333,4438.009531569175,33677908.850649424,5.7232782365277506e-05,1.000131792035312
50000,32964002.0,32980170.0,32972802.966666665,3885.6848993171857,32972802.745342255,5.11797858533231e-05,1.000117852756059
51000,32330018.0,32342981.0,32336174.233333334,3448.158445868764,32336174.055619303,4.630997645770601e-05,1.0001066383469128
52000,31752873.0,31769422.0,31761047.366666667,4220.28540041068,31761047.09561965,5.77082845136098e-05,1.000132887064367
53000,31232728.0,31249487.0,31241321.966666665,3970.860711729136,31241321.722726196,5.519977338635644e-05,1.0001271102531597
54000,30761557.0,30783440.0,30772044.8,4662.320507037759,30772044.458587166,6.579895335774561e-05,1.0001515191670058
55000,30337199.0,30355141.0,30347269.533333335,4377.523183603773,30347269.228131596,6.264629344460618e-05,1.0001442588257208
56000,29953886.0,29970732.0,29962975.233333334,4325.83707413421,29962974.9314753,6.270036880191413e-05,1.0001443833568022
57000,29607793.0,29624475.0,29615955.933333334,4000.96752034437,29615955.672095686,5.866945766159667e-05,1.0001351005438823
58000,29294669.0,29309511.0,29302036.3,3826.8603062364687,29302036.058433976,5.671922626070737e-05,1.0001306093735356
59000,29010476.0,29025347.0,29018910.533333335,3752.4937982290035,29018910.298788637,5.616143454741672e-05,1.0001293248437266
60000,28754258.0,28768726.0,28762418.366666667,4054.7524902848586,28762418.090374406,6.122618478283586e-05,1.0001409884383177
61000,28521306.0,28538420.0,28530901.3,3941.1020789306795,28530901.0368657,5.999218888107611e-05,1.000138146661185
62000,28312842.0,28328185.0,28321670.6,4296.695816314094,28321670.2849239,6.588914978075408e-05,1.0001517268834346
63000,28124908.0,28137998.0,28131945.2,3345.1073731542665,28131945.007748153,5.164129230302251e-05,1.0001189155397323
64000,27950252.0,27968135.0,27960192.666666668,4028.892860099524,27960192.386072386,6.257927259217762e-05,1.0001441044822548
65000,27789055.0,27812300.0,27803328.4,4568.615919585456,27803328.037126943,7.136720157907762e-05,1.0001643425572433
66000,27645572.0,27670337.0,27662435.6,4997.813167293513,27662435.163512282,7.847216378982253e-05,1.0001807051597682
67000,27523221.0,27543032.0,27534936.266666666,4239.659525475367,27534935.951134097,6.687224859509088e-05,1.0001539908981314
68000,27409906.0,27427511.0,27419643.766666666,4169.275316864561,27419643.460247483,6.603746478716484e-05,1.0001520684432317
69000,27303512.0,27319812.0,27314758.066666666,4141.440869813418,27314757.763143823,6.585181303327995e-05,1.000151640899356
70000,27210071.0,27228188.0,27220395.733333334,4070.4282917355167,27220395.43912486,6.494517097814047e-05,1.000149552964486
71000,27126331.0,27141647.0,27134796.2,4183.2013841900625,27134795.888290577,6.69538800946376e-05,1.0001541788905677
72000,27048656.0,27063542.0,27056394.5,3645.2616173082406,27056394.26262327,5.851212196705642e-05,1.000134738216179
73000,26978929.0,26993942.0,26985392.966666665,3432.48367385256,26985392.755645975,5.524036416461327e-05,1.0001272037287652
74000,26913810.0,26927619.0,26920657.833333332,3470.3817745198508,26920657.617104284,5.5985378943560016e-05,1.0001289194083738
