time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,435.0,621.0,517.0,40.81074909113174,515.4500753027311,0.03423135483524595,1.082010199988866
3000,7401.0,8028.0,7639.0,143.40682424968244,7637.708147918976,0.008109787819746065,1.0188489162256678
4000,30291.0,31671.0,30923.9,298.4998527117987,30922.510036755335,0.004186185471092836,1.0096856535110024
5000,74478.0,76272.0,75305.6,427.8172023431148,75304.42672603908,0.0024649976113046697,1.0056920050041662
6000,141117.0,143190.0,142306.3,564.2809370004173,142305.2170876399,0.0017238214623420183,1.003977133490366
7000,230103.0,232833.0,231725.9,660.6225042363061,231724.98953222623,0.0012383069847929722,1.002855376046374
8000,340110.0,343392.0,342264.6,723.5890717994478,342263.859899506,0.0009188220698865409,1.002117905601686
9000,470040.0,475239.0,473112.7,1057.755892248399,473111.55579555273,0.0009717259969254578,1.0022399868253584
10000,619362.0,624948.0,623011.1,1155.4397684953938,623010.0628100695,0.0008062986015812555,1.0018582956357538
11000,787545.0,793614.0,791528.6,1501.0609489337176,791527.2226450877,0.0008242675858225465,1.0018997484957526
12000,972798.0,979317.0,977410.6,1651.6106997256575,977409.249543018,0.0007344919100505646,1.0016926610592387
13000,1176090.0,1182513.0,1180227.7,1696.0312730932599,1180226.5210559936,0.0006244691397046862,1.0014389275963973
14000,1395807.0,1402611.0,1399334.5,1999.2326243353716,1399333.1191048978,0.0006205944793394298,1.0014299930633246
15000,1630290.0,1638159.0,1634111.9,2383.1865562873936,1634110.219904414,0.00063343268367629,1.0014595968309166
16000,1880700.0,1888269.0,1883916.9,2324.875411567326,1883915.513669572,0.000535838834772148,1.0012345759754557
17000,2144973.0,2153118.0,2148360.7,2379.974560136421,2148359.426092768,0.00048099411349151317,1.001108143413239
18000,2421900.0,2431962.0,2426525.0,2696.90343504009,2426523.5516880313,0.0004825775028452361,1.0011117933487823
19000,2713590.0,2724516.0,2718135.3,3050.491855761783,2718133.6458308655,0.00048728338459390493,1.0011226411477694
20000,3017334.0,3029439.0,3023115.0,3195.1574997605144,3023113.368098772,0.0004589442847301947,1.0010573168342927
21000,3335547.0,3347571.0,3340596.1,3185.8060026007383,3340594.631919829,0.0004140912107959769,1.000953934955918
22000,3663549.0,3676731.0,3670211.0,3495.2214374130467,3670209.391402485,0.0004135469132955905,1.000952680469835
23000,4005255.0,4018983.0,4011737.3,3621.451063240849,4011735.7202696577,0.0003919783851159167,1.0009029710194264
24000,4356201.0,4370982.0,4364407.1,3755.054509453294,4364405.538507826,0.00037364979807216124,1.000860730671263
25000,4718733.0,4736082.0,4727949.2,4003.9404590977624,4727947.561136228,0.00036778538871318195,1.0008472158382355
26000,5094243.0,5110140.0,5102186.8,4164.83047963995,5102185.156999127,0.0003544785148114889,1.0008165501396886
27000,5478387.0,5494983.0,5486917.4,4268.194600159133,5486915.795329516,0.0003378193346253339,1.0007781603738413
28000,5872875.0,5890278.0,5881168.0,4190.458052487243,5881166.5569255045,0.0003094348541982468,1.0007127539710083
29000,6277542.0,6294711.0,6284861.8,4207.370719631655,6284860.438766949,0.00029071627226375055,1.0006696230522865
30000,6689343.0,6707775.0,6697573.4,4590.136085429126,6697571.879669783,0.00029761896431356583,1.00068552785751
31000,7109526.0,7128129.0,7119338.2,4774.206598826224,7119336.652590359,0.00029123445944492375,1.0006708170220517
32000,7538061.0,7559349.0,7549410.8,4921.182317989911,7549409.249524597,0.00028309680833375517,1.0006520669940533
33000,7978302.0,7997958.0,7988078.0,5159.760459556238,7988076.389208445,0.00028051329973625006,1.0006461143843919
34000,8423826.0,8445939.0,8434327.5,5530.200792950001,8434325.747720048,0.00028472057329917406,1.0006558082960366
35000,8878371.0,8899278.0,8888491.2,5551.233503186167,8888489.52452135,0.00027120750533268117,1.0006246733860922
36000,9340134.0,9359388.0,9350425.7,5744.087161654988,9350423.994608536,0.000266777377506322,1.0006144663197243
37000,9807807.0,9828927.0,9818927.3,5927.302765956059,9818925.570634305,0.00026216206704570734,1.000603832701138
38000,10283571.0,10304295.0,10294262.4,5761.1946174981495,10294260.841716552,0.00024304072485744154,1.0005597785676248
39000,10763541.0,10787169.0,10776607.7,6175.375069720393,10776605.989674523,0.0002488606192478247,1.0005731869610142
40000,11252463.0,11275671.0,11265283.3,6231.831474581626,11265281.633805646,0.00024024267071641993,1.000553332224119
41000,11747760.0,11771124.0,11760016.2,6419.678654542313,11760014.50628318,0.00023706708424030412,1.0005460161467878
42000,12248175.0,12270999.0,12260727.8,6237.675011158211,12260726.26621707,0.00022094377398730497,1.0005088712714512
43000,12755556.0,12777261.0,12766831.1,6425.303086102309,12766829.537089452,0.0002185658290497679,1.0005033930795995
44000,13265751.0,13289757.0,13278521.3,6548.216778319276,13278519.73917631,0.00021417348811954168,1.0004932743008335
45000,13781829.0,13807068.0,13795230.9,6687.66997386312,13795229.332939312,0.0002105445377426335,1.000484914246937
46000,14304759.0,14328297.0,14317222.8,6544.3204141269425,14317221.354120303,0.0001985186960490156,1.0004572106791578
47000,14832582.0,14855685.0,14843887.2,6570.46141979127,14843885.794365557,0.00019222891134538757,1.0004427213979092
48000,15363618.0,15387567.0,15375185.1,6661.896661431054,15375183.704919113,0.00018816757084893788,1.0004333657194244
49000,15898980.0,15923091.0,15910556.7,6645.48004104008,15910555.35846814,0.00018139089839835462,1.0004177552140718
50000,16438371.0,16459677.0,16449500.0,6180.56800201941,16449498.877578728,0.0001631788408010075,1.000375803762868
51000,16979904.0,17002563.0,16991382.0,6585.5003266057265,16991380.766313117,0.00016832609055546149,1.0003876602677029
52000,17525724.0,17546688.0,17535827.5,6384.55557684269,17535826.376495358,0.00015811879926992374,1.000364148276013
53000,18071157.0,18092874.0,18081411.7,6575.715543337968,18081410.54419971,0.00015793622645156788,1.0003637277335675
54000,18618966.0,18640395.0,18628501.5,6669.18535970241,18628500.34601919,0.00015547742048750522,1.0003580640803562
55000,19166328.0,19187652.0,19176898.1,7012.081762560074,19176896.86073984,0.00015880093326747378,1.0003657195207785
56000,19715409.0,19737573.0,19725876.2,7218.285226685983,19725874.923358016,0.00015891869887176184,1.0003659907853106
57000,20266329.0,20288496.0,20276786.9,7103.013000080342,20276785.697407305,0.0001521307879106681,1.0003503554445659
58000,20816034.0,20840484.0,20828583.1,7115.859719062716,20828581.925023463,0.00014836879311652372,1.0003416901340751
59000,21369009.0,21394545.0,21381368.5,7529.721429797043,21381367.218374632,0.00015294023263473768,1.0003522199146564
60000,21924270.0,21948342.0,21935557.8,7211.84188248266,21935556.654038027,0.00014277976149522408,1.0003288165987303
61000,22477725.0,22501884.0,22490273.4,7412.217833671181,22490272.2192825,0.00014313175445108053,1.0003296273592956
62000,23031789.0,23057076.0,23045856.3,7725.907513483226,23045855.048121087,0.0001455955242775693,1.0003353022850567
63000,23588919.0,23615283.0,23602787.5,7926.3883750680425,23602786.213447835,0.00014584491613137853,1.0003358767237327
64000,24146304.0,24173088.0,24160713.9,7871.123130435883,24160712.660604898,0.0001414851228410346,1.0003258346073016
65000,24706479.0,24731886.0,24719287.7,7772.890369740204,24719286.518684924,0.0001365599478904839,1.0003144903420347
66000,25266879.0,25291896.0,25278925.8,7597.645866795937,25278924.696334925,0.00013052631415343043,1.0003005931142719
67000,25827462.0,25850889.0,25839490.9,7537.606509111953,25839489.8372637,0.00012668659509179224,1.0002917492158672
68000,26389071.0,26413875.0,26401219.3,7887.743666491442,26401218.16101461,0.00012974944719490057,1.0002988037758926
69000,26950764.0,26976156.0,26963273.3,7876.861540898301,26963272.18782455,0.00012687016350849132,1.0002921720211735
70000,27511896.0,27539394.0,27526424.6,7904.585773351811,27526423.50286521,0.0001247145876481136,1.0002872071864861
71000,28076979.0,28104864.0,28091012.1,8253.325141190482,28091010.927985847,0.0001275976207003812,1.0002938475440601
72000,28640979.0,28670091.0,28655861.0,8110.896208825806,28655859.890410267,0.0001229230501944455,1.000283080842785
73000,29206170.0,29237289.0,29222300.1,8281.36705918567,29222298.96568438,0.00012307506751802318,1.000283430974757
74000,29774361.0,29805423.0,29789644.4,8158.582283029664,29789643.320036758,0.00011894120805840006,1.0002739097590472
75000,30341415.0,30373725.0,30356875.6,8156.7190310641545,30356874.540723883,0.00011669013699980718,1.0002687250700697
76000,30907500.0,30942780.0,30925210.2,8662.136390935693,30925209.02731108,0.00012164540339654496,1.0002801381238497
77000,31476828.0,31511829.0,31494752.4,8652.06798720239,31494751.251175366,0.00011930813299714916,1.0002747548667181
78000,32048529.0,32081139.0,32064508.0,8343.743255712114,32064506.9506069,0.00011300985793943845,1.0002602486730643
79000,32620368.0,32652102.0,32635146.5,8369.415740947967,32635145.46260718,0.00011137500321037375,1.000256483308345
80000,33191559.0,33224148.0,33206303.1,8719.720793339262,33206301.993327297,0.00011404000449180412,1.0002626212932832
81000,33762312.0,33795096.0,33778269.2,8726.338974028866,33778268.110399045,0.00011219525453209274,1.0002583724930145
82000,34335594.0,34365402.0,34350995.6,8571.021226724708,34350994.56634845,0.00010836242996090579,1.000249544847005
83000,34908924.0,34940652.0,34924428.7,8719.429387175001,34924427.647822574,0.00010842754631930198,1.000249694820388
84000,35481573.0,35515914.0,35498498.7,8915.59487697511,35498497.61773807,0.00010907390680679048,1.0002511834931398
85000,36057513.0,36090939.0,36073260.2,9172.236437694219,36073259.07278597,0.00011042567959150623,1.000254296851675
86000,36632274.0,36665046.0,36648068.6,9351.936040016086,36648067.44656695,0.00011082302221565245,1.0002552119999568
87000,37207689.0,37240923.0,37223526.0,9401.52951972948,37223524.85231348,0.00010968900063662653,1.0002526001557792
88000,37784889.0,37817709.0,37799718.9,9049.236017857891,37799717.85293548,0.00010396837456834904,1.0002394246869402
