time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,0.0,1.0
1000,1000000000.0,1000000054.0,1000000026.0666667,23.02162901053813,1000000026.0666687,9.998166160167155e-09,1.0000000230216286
2000,998900152.0,998904239.0,998901980.6666666,1135.2989074227994,998901980.6660435,4.935959691389399e-07,1.0000011365473664
3000,998233943.0,998244286.0,998239020.2333333,2360.858226232108,998239020.2306329,1.0271167173370402e-06,1.0000023650264387
4000,997774648.0,997782284.0,997778337.1,2002.5223809503095,997778337.0980613,8.716207406013936e-07,1.000002006982938
5000,997379752.0,997391450.0,997385621.0333333,2481.065364652484,997385621.0303521,1.0803375295024686e-06,1.000002487572185
6000,997012824.0,997022509.0,997016656.0333333,2309.503775382441,997016656.03075,1.006005620801145e-06,1.0000023164162288
7000,996649994.0,996658801.0,996654247.8,2187.2489633295536,996654247.7976787,9.530990785510254e-07,1.0000021945941386
8000,996287154.0,996298488.0,996293736.1,2730.122371262681,996293736.0963883,1.1900884247879155e-06,1.000002740283621
9000,995929301.0,995940088.0,995933761.5,2622.547258046965,995933761.4966648,1.1436074591602245e-06,1.0000026332569547
10000,995569112.0,995579630.0,995574073.1333333,2425.1633678825715,995574073.1304761,1.057916929951773e-06,1.0000024359467194
11000,995208543.0,995217456.0,995212702.0333333,2478.920850906191,995212702.030352,1.0817602192210067e-06,1.0000024908480571
12000,994846300.0,994857864.0,994852109.2666667,2899.241326841278,994852109.2625756,1.2656400457990817e-06,1.000002914248149
13000,994484130.0,994495926.0,994490587.8333334,2952.037029990779,994490587.8291023,1.2891563184165744e-06,1.000002968396527
14000,994122473.0,994133665.0,994127464.9333333,2617.597884522653,994127464.9299997,1.143523816367478e-06,1.0000026330643597
15000,993758229.0,993768945.0,993763326.2,2590.878873650993,993763326.1967329,1.1322654737797143e-06,1.0000026071409998
16000,993393530.0,993403900.0,993398385.4333333,2556.249727201177,993398385.4301547,1.117542422503112e-06,1.0000025732398337
17000,993026338.0,993038459.0,993032513.5,2975.746243700318,993032513.4956944,1.3014173304985163e-06,1.0000029966286348
18000,992658135.0,992671019.0,992665377.2666667,3266.3719294668813,992665377.2614737,1.4290490336853548e-06,1.0000032905124159
19000,992292482.0,992305891.0,992297261.0,3151.144061535703,992297260.995165,1.3791470146380368e-06,1.0000031756083991
20000,991920613.0,991936581.0,991927202.6666666,3638.839672329566,991927202.6602182,1.593188876215217e-06,1.0000036684596856
21000,991550293.0,991561508.0,991555762.9666667,3302.1769985700435,991555762.961351,1.4463301017124484e-06,1.0000033303036773
22000,991175797.0,991194317.0,991182337.0333333,3801.8011746097886,991182337.0262824,1.6657871396745381e-06,1.000003835623992
23000,990799655.0,990815335.0,990806784.2,3283.5266721768157,990806784.1947415,1.4392483287700742e-06,1.0000033139972382
24000,990422098.0,990436370.0,990429382.5,3838.018622710925,990429382.492811,1.6829366399308139e-06,1.0000038751123277
25000,990042341.0,990056936.0,990050044.1333333,4040.5950887541762,990050044.125362,1.772444014408598e-06,1.0000040812114939
26000,989660273.0,989675305.0,989668854.9666667,3596.8857840746296,989668854.9603497,1.578415476372546e-06,1.000003634442551
27000,989274071.0,989293559.0,989284152.5666667,4463.907996234979,989284152.5569364,1.9596492686262973e-06,1.0000045122693737
28000,988888881.0,988906167.0,988897690.7666667,4344.63855631944,988897690.7574397,1.908036255212783e-06,1.0000043934254892
29000,988496422.0,988514296.0,988507300.4333333,4372.587750215351,988507300.4239854,1.921070372982037e-06,1.0000044234377867
