time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,54.0,26.06696666666666,23.021277618884383,1.1461651738513912,2.099291582447614,125.6873537072364
2000,1444550.0,1451983.0,1447815.8333333333,1689.8596163553073,1447814.8803568415,0.0005067659230328031,1.0011675527196255
3000,3718420.0,3730373.0,3723596.933333333,2964.6254393097115,3723595.7927026064,0.0003457263933580535,1.0007963813829936
4000,6078844.0,6096635.0,6087384.866666666,4098.99522367106,6087383.532601527,0.0002924392629416305,1.0006735930494293
5000,8447718.0,8469540.0,8459258.766666668,5057.696856811635,8459257.30501854,0.0002596700970067764,1.0005980912797705
6000,10816162.0,10838185.0,10828187.233333332,5777.529388954234,10828185.743349422,0.00023172635819744143,1.0005337120316502
7000,13179235.0,13202889.0,13191629.666666666,5871.936397600987,13191628.40334293,0.0001933169673505965,1.0004452278517553
8000,15536350.0,15562538.0,15548287.333333334,5855.428423521928,15548286.267573994,0.0001635474070526949,1.000376652737313
9000,17880838.0,17907290.0,17895076.733333334,6369.556098501214,17895075.63752939,0.0001545827199070408,1.0003560032206031
10000,20219961.0,20246595.0,20232093.766666666,6517.589308322061,20232092.751911312,0.00013989962478821335,1.0003221826802475
11000,22544348.0,22574720.0,22558840.233333334,6678.732326976603,22558839.277649608,0.00012857563713342,1.0002961001743906
12000,24859379.0,24888284.0,24873650.6,7306.723538561284,24873649.562628068,0.0001275715820391031,1.0002937875702107
13000,27164947.0,27191948.0,27176820.4,7119.2606144565125,27176819.49861402,0.00011376673617262699,1.0002619919046756
14000,29456348.0,29479966.0,29467415.1,6719.206764297353,29467414.359477546,9.902809758590652e-05,1.0002280466199667
15000,31730785.0,31757337.0,31744575.866666667,7123.108541357069,31744575.094128445,9.74511716222767e-05,1.0002244147923052
16000,33992206.0,34026113.0,34009837.8,7622.8316052998725,34009836.9741728,9.734347063895903e-05,1.0002241667460043
17000,36240691.0,36281298.0,36261841.53333333,8584.954512495055,36261840.55092942,0.00010282184709158149,1.0002367840812734
18000,38480750.0,38518957.0,38500511.13333333,9011.92394297816,38500510.11376037,0.00010165707720032711,1.0002341014680316
19000,40705966.0,40742963.0,40726327.4,8819.617696773561,40726326.476837434,9.40511546875706e-05,1.0002165842377424
20000,42917772.0,42953379.0,42937684.96666667,9226.013976544926,42937684.00849031,9.33182599010308e-05,1.000214896321059
21000,45112800.0,45154198.0,45135383.1,9981.279046467356,45135382.033120856,9.60424467986372e-05,1.000221170360852
22000,47299454.0,47339516.0,47319910.96666667,10246.48228782506,47319909.89425924,9.404174985889937e-05,1.0002165625776342
23000,49467847.0,49507803.0,49490001.266666666,9556.865594712646,49490000.37465386,8.386687742376163e-05,1.0001931292688084
24000,51627052.0,51664276.0,51646283.166666664,9214.586469226419,51646282.3720264,7.748712302230783e-05,1.000178436612289
25000,53768637.0,53806238.0,53787152.46666667,9685.809014092278,53787151.623628855,7.820722762460277e-05,1.0001800950116526
26000,55893887.0,55933471.0,55914235.93333333,10198.925044550911,55914235.034165144,7.921768513382333e-05,1.0001824220977782
27000,58007281.0,58046420.0,58027237.53333333,10138.762482239355,58027236.67710053,7.588270355994434e-05,1.0001747416475766
28000,60103747.0,60146225.0,60124756.43333333,10929.00034133587,60124755.47315078,7.894252616592582e-05,1.000181788405463
29000,62186300.0,62229454.0,62207768.266666666,11154.445577137993,62207767.29995998,7.787268366697018e-05,1.0001793245572894
30000,64251972.0,64297241.0,64275843.53333333,10909.371816465193,64275842.63838436,7.371164303476882e-05,1.0001697417349302
31000,66305341.0,66350950.0,66328259.833333336,11194.958536164251,66328258.92008884,7.329995085064512e-05,1.0001687936181858
32000,68341248.0,68390531.0,68365463.26666667,11348.63764855328,68365462.35612974,7.209270646549468e-05,1.0001660133699155
33000,70361885.0,70412371.0,70387085.96666667,12106.408868384784,70387084.96023034,7.469782791438197e-05,1.0001720128975569
34000,72365569.0,72419344.0,72393286.2,12838.90276598755,72393285.09943804,7.702321009732133e-05,1.0001773682232682
35000,74353221.0,74411291.0,74384004.8,12884.903883869361,74384003.7212081,7.523015989349319e-05,1.000173238848831
36000,76327000.0,76383030.0,76357650.66666667,13021.087579274108,76357649.59344567,7.405926614078475e-05,1.0001705423028993
37000,78287279.0,78339155.0,78315545.7,12920.564894104227,78315544.66971005,7.164997176936755e-05,1.0001649937668842
38000,80225323.0,80278749.0,80254936.76666667,13159.346078720637,80254935.72377658,7.121035873625974e-05,1.0001639813539656
39000,82145689.0,82202216.0,82177271.16666667,13203.64104977352,82177270.1412958,6.977909033566592e-05,1.0001606852016938
40000,84049463.0,84104061.0,84080239.5,13244.486737819472,84080238.49162427,6.841083847410374e-05,1.0001575341840763
