time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,5913547.0,5921561.0,5917638.266666667,2689.2672625076525,5917637.67598122,0.00019736147741633564,1.0004545448700557
3000,11824212.0,11832264.0,11828828.0,2828.880538914338,11828827.672984166,0.0001038683099784272,1.0002391942245685
4000,17665969.0,17673035.0,17669374.533333335,2696.256814399437,17669374.334474485,6.627077700706226e-05,1.00015260574631
5000,23470370.0,23478780.0,23473942.266666666,2991.044102481357,23473942.082464475,5.533659312860611e-05,1.000127425332353
6000,29259135.0,29267120.0,29262795.166666668,2736.3197923026332,29262795.042998545,4.0609740100703274e-05,1.0000935117541379
7000,35040803.0,35048708.0,35044964.96666667,2624.2689160370287,35044964.87168621,3.2521018757325035e-05,1.0000748852167574
8000,40818028.0,40827901.0,40822754.6,3009.1010182330265,40822754.49279596,3.20120623224398e-05,1.000073713214185
9000,46594223.0,46602364.0,46597789.333333336,2635.526085457406,46597789.261286706,2.4563131262886413e-05,1.0000565602993565
10000,52366218.0,52374392.0,52369802.53333333,2810.320079123807,52369802.46044199,2.3305447680865782e-05,1.000053664216288
11000,58133182.0,58143055.0,58138897.8,3080.9869153266113,58138897.72108334,2.301511774045533e-05,1.0000529956712436
12000,63898159.0,63907728.0,63902655.06666667,3440.967605829473,63902654.97711238,2.3385362863565734e-05,1.0000538482376882
13000,69659024.0,69668707.0,69664627.93333334,3190.375504148574,69664627.86271411,1.9889164110817948e-05,1.0000457975414692
14000,75417279.0,75427204.0,75422334.3,2771.5794096756335,75422334.25077319,1.595916751117938e-05,1.0000367480163996
15000,81173086.0,81182350.0,81177623.76666667,2788.8533632317763,81177623.72035827,1.4920198203968664e-05,1.0000343556161095
16000,86923273.0,86934018.0,86929062.43333334,3349.1591706836975,86929062.37096626,1.6732361248965412e-05,1.0000385284277833
17000,92672022.0,92682544.0,92677834.96666667,3448.6500355669737,92677834.90464091,1.616070553745982e-05,1.0000372120920156
18000,98417893.0,98428553.0,98422220.5,3180.632248468848,98422220.45032056,1.4034703624746553e-05,1.0000323166215217
19000,104158516.0,104171090.0,104164680.9,3217.2358595325377,104164680.85197258,1.3413618786861542e-05,1.000030886475639
20000,109899914.0,109909628.0,109904823.53333333,2982.6747511695553,109904823.49420907,1.1786205307201553e-05,1.0000271391089022
21000,115637468.0,115646494.0,115642355.86666666,2617.2736635447695,115642355.83803546,9.829184915514365e-06,1.0000226327907804
22000,121372694.0,121382494.0,121378488.23333333,3017.0313873001087,121378488.19708674,1.0795073018769515e-05,1.000024856883138
23000,127103105.0,127115556.0,127109900.6,3583.348949872413,127109900.55117425,1.2243200283081867e-05,1.0000281914078326
24000,132833586.0,132845621.0,132840999.13333334,3565.906275803683,132840999.0870679,1.1658004096071397e-05,1.0000268439067368
25000,138562498.0,138574290.0,138568331.56666666,3008.717159135794,138568331.53509152,9.429768455371697e-06,1.0000217130800013
26000,144288959.0,144300184.0,144294441.16666666,2753.6762146995957,144294441.14126745,8.287946539656937e-06,1.0000190838842486
27000,150013710.0,150025055.0,150019794.33333334,3306.4286424805973,150019794.29811072,9.571834248685204e-06,1.0000220402057354
28000,155736439.0,155748306.0,155742431.63333333,3291.327794982291,155742431.5997148,9.178004933682058e-06,1.0000211333606501
29000,161458064.0,161468437.0,161463491.7,2431.5670858735207,161463491.68230176,6.540291005130878e-06,1.0000150596899682
30000,167178088.0,167189807.0,167183642.4,3290.528786768432,167183642.36869723,8.547826501636477e-06,1.000019682291574
31000,172895652.0,172908511.0,172901997.93333334,3858.524382350771,172901997.89171484,9.691826130670526e-06,1.000022316503382
32000,178612336.0,178625065.0,178618962.13333333,3560.247790033271,178618962.09903425,8.656406764790707e-06,1.0000199323118213
33000,184327648.0,184340300.0,184334797.43333334,3280.8692990534178,184334797.40510994,7.729775836612646e-06,1.0000177986250072
34000,190042619.0,190055045.0,190048593.83333334,3748.4177727209885,190048593.7976002,8.565793626152141e-06,1.0000197236632222
35000,195756764.0,195768606.0,195762083.53333333,3520.2587261237745,195762083.50273728,7.809606614252424e-06,1.0000179824454543
36000,201467251.0,201481453.0,201474363.0,4072.325498473476,201474362.96021536,8.77822400165517e-06,1.0000202128120053
37000,207178431.0,207193294.0,207185723.73333332,3900.9057386213785,207185723.69783428,8.176915678337802e-06,1.0000188282213964
38000,212888854.0,212904721.0,212896541.16666666,3582.4054727604985,212896541.13753137,7.3078624872676505e-06,1.000016827116799
39000,218601495.0,218614667.0,218607030.8,3293.4588400395237,218607030.77601758,6.54290948276079e-06,1.0000150657193265
40000,224308585.0,224322922.0,224316877.3,3477.2253321211197,224316877.27394772,6.732180263863661e-06,1.0000155015380665
41000,230018017.0,230030507.0,230025677.0,3178.166984176625,230025676.97877634,6.0004894169641904e-06,1.0000138167329324
42000,235726892.0,235741137.0,235734273.73333332,3563.1523812424894,235734273.7073024,6.5644153076883396e-06,1.0000151152390657
43000,241437492.0,241449262.0,241443082.5,3305.1239817112396,241443082.47813204,5.945066674203956e-06,1.000013689115596
44000,247145472.0,247158973.0,247152531.16666666,3458.193060996803,247152531.14327917,6.07670920553688e-06,1.0000139922379216
45000,252855429.0,252867819.0,252861955.73333332,3425.457341057147,252861955.71090502,5.8832688010527065e-06,1.0000135468187967
46000,258568381.0,258580734.0,258574161.76666668,3638.230042236181,258574161.7419235,6.110669961103153e-06,1.0000140704365483
47000,264282642.0,264295522.0,264289705.9,4016.1946249549756,264289705.87050214,6.5996282301921244e-06,1.000015196321045
48000,270001648.0,270015582.0,270009617.1666667,3797.0489637787578,270009617.1408587,6.107336656353615e-06,1.0000140627612226
49000,275734222.0,275749356.0,275742510.46666664,3773.169615472704,275742510.44171214,5.942748456215926e-06,1.0000136837776288
50000,281491150.0,281503025.0,281497694.4,3499.3534732910985,281497694.3789748,5.398808445778737e-06,1.0000124312931151
51000,287271987.0,287285867.0,287279740.0,3389.7450417805558,287279739.9806664,5.124451407428643e-06,1.0000117995550348
52000,293077792.0,293090663.0,293083007.0,2919.9743858111333,293083006.98593944,4.326847890705561e-06,1.000009962985083
53000,298890500.0,298903112.0,298895677.1333333,3351.4308291084953,298895677.1151714,4.869609564593467e-06,1.0000112127532546
54000,304706582.0,304718738.0,304713086.53333336,3870.212341437623,304713086.5095734,5.5160570189201625e-06,1.0000127012713242
55000,310524405.0,310537252.0,310531174.6333333,3390.835015493802,310531174.61543816,4.7422664430251575e-06,1.0000109195316365
56000,316343013.0,316356277.0,316349676.3333333,3984.6049891476364,316349676.3090755,5.470184597894551e-06,1.0000125956448356
57000,322161098.0,322173378.0,322169317.8666667,3216.760093455926,322169317.85114187,4.3363112279939115e-06,1.0000099847754398
58000,327979076.0,327990601.0,327986199.06666666,3089.726903826597,327986199.0525994,4.091188582087238e-06,1.000009420354213
59000,333798315.0,333810153.0,333804438.23333335,3152.8351410178084,333804438.2189405,4.101978404369365e-06,1.0000094451989312
60000,339616668.0,339629626.0,339622678.93333334,3907.857680440103,339622678.9116011,4.9971883745604315e-06,1.0000115065176576
61000,345434856.0,345446922.0,345441080.1,3444.31106519041,345441080.08339757,4.330249881500195e-06,1.0000099708185344
62000,351252536.0,351265140.0,351258599.4,3315.14190261635,351258599.38487667,4.098820367961066e-06,1.000009437927215
63000,357070769.0,357085037.0,357077623.76666665,4058.0759980250637,357077623.7443751,4.935620526399083e-06,1.000011364750827
64000,362888396.0,362902630.0,362895060.23333335,3986.6646822256994,362895060.21216565,4.771035130715155e-06,1.0000109857747133
65000,368705784.0,368721868.0,368713179.3333333,3957.2242739100584,368713179.3128067,4.661074868971274e-06,1.0000107325791043
66000,374524240.0,374539146.0,374531146.1333333,3550.2451176506543,374531146.1170664,4.116746597715775e-06,1.0000094792042749
67000,380342506.0,380356988.0,380349987.23333335,4217.028743847589,380349987.21073675,4.81513026927053e-06,1.0000110873086425
68000,386160966.0,386174071.0,386166563.6,3571.789251225834,386166563.5840318,4.016937649422985e-06,1.0000092493835264
69000,391977693.0,391991776.0,391984657.1,3901.750229284818,391984657.08122927,4.322892599164281e-06,1.000009953877597
70000,397796064.0,397810506.0,397803618.46666664,3692.092078028888,397803618.45010525,4.030773167453604e-06,1.000009281241279
71000,403614522.0,403626642.0,403621229.93333334,3697.8260429173997,403621229.9169619,3.978847008041776e-06,1.000009161675776
72000,409433354.0,409446162.0,409439336.3666667,3283.596162360905,409439336.35393995,3.4829240860367486e-06,1.0000080197612387
73000,415249604.0,415263763.0,415257570.8666667,3412.4838131063193,415257570.85311246,3.5689259809875325e-06,1.0000082177895278
74000,421067150.0,421083840.0,421075966.76666665,3994.057781801336,421075966.7483537,4.119439718232248e-06,1.0000094854054729
75000,426887570.0,426899810.0,426894274.06666666,3036.3975698677627,426894274.056227,3.089037878338672e-06,1.0000071127978662
76000,432704194.0,432720145.0,432712097.3666667,4144.633384921072,432712097.3474772,4.15979069077141e-06,1.0000095783179064
77000,438523713.0,438536852.0,438530399.76666665,3083.3653880284705,438530399.7561914,3.0535850211966693e-06,1.0000070311640685
78000,444342116.0,444356779.0,444349241.4,4174.510440840895,444349241.38104236,4.0800458593870495e-06,1.0000093946969044
79000,450160269.0,450176377.0,450166910.0,3443.9577273227683,450166909.98726374,3.3225211796885758e-06,1.000007650417004
80000,455982176.0,455993465.0,455986855.26666665,3536.136679498115,455986855.2534106,3.3679103065040984e-06,1.0000077549301356
81000,461797521.0,461811055.0,461804759.26666665,3677.5745186508293,461804759.25251096,3.458496006861048e-06,1.000007963513058
82000,467617820.0,467634309.0,467625580.6,4044.3529263781415,467625580.58309084,3.756084378618277e-06,1.0000086487412985
