time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
1000,0.001,0.001,0.0010000000000000007,6.616421313379338e-19,0.001,0.0,1.0
2000,6000000.0,6000000.0,6000000.0,0.0,6000000.000000003,0.0,1.0
3000,12000000.0,12000000.0,12000000.0,0.0,12000000.000000007,0.0,1.0
4000,18000000.0,18000000.0,18000000.0,0.0,18000000.000000015,0.0,1.0
5000,24000000.0,24000000.0,24000000.0,0.0,24000000.00000002,0.0,1.0
6000,30000000.0,30000000.0,30000000.0,0.0,30000000.00000001,0.0,1.0
7000,36000000.0,36000000.0,36000000.0,0.0,35999999.99999996,0.0,1.0
8000,42000000.0,42000000.0,42000000.0,0.0,41999999.999999516,5.420172339920354e-15,1.0000000000000124
9000,48000000.0,48000000.0,48000000.0,0.0,48000000.000000045,0.0,1.0
10000,54000000.0,54000000.0,54000000.0,0.0,53999999.999999955,0.0,1.0
11000,60000000.0,60000000.0,60000000.0,0.0,60000000.00000003,0.0,1.0
12000,66000000.0,66000000.0,66000000.0,0.0,66000000.00000035,2.710086169960177e-15,1.0000000000000062
13000,72000000.0,72000000.0,72000000.0,0.0,71999999.99999994,0.0,1.0
14000,78000000.0,78000000.0,78000000.0,0.0,78000000.00000055,2.710086169960177e-15,1.0000000000000062
15000,84000000.0,84000000.0,84000000.0,0.0,83999999.99999905,5.420172339920354e-15,1.0000000000000124
16000,90000000.0,90000000.0,90000000.0,0.0,90000000.00000007,0.0,1.0
17000,96000000.0,96000000.0,96000000.0,0.0,95999999.99999991,0.0,1.0
18000,102000000.0,102000000.0,102000000.0,0.0,101999999.99999925,3.613448226613569e-15,1.0000000000000082
19000,108000000.0,108000000.0,108000000.0,0.0,108000000.00000015,0.0,1.0
20000,114000000.0,114000000.0,114000000.0,0.0,113999999.99999957,1.8067241133067846e-15,1.0000000000000042
21000,120000000.0,120000000.0,120000000.0,0.0,120000000.00000007,0.0,1.0
22000,126000000.0,126000000.0,126000000.0,0.0,125999999.9999986,5.420172339920354e-15,1.0000000000000124
23000,132000000.0,132000000.0,132000000.0,0.0,132000000.00000073,1.8067241133067846e-15,1.0000000000000042
24000,138000000.0,138000000.0,138000000.0,0.0,138000000.00000012,0.0,1.0
25000,144000000.0,144000000.0,144000000.0,0.0,144000000.00000018,0.0,1.0
26000,150000000.0,150000000.0,150000000.0,0.0,150000000.00000003,0.0,1.0
27000,156000000.0,156000000.0,156000000.0,0.0,156000000.00000143,3.613448226613569e-15,1.0000000000000082
28000,162000000.0,162000000.0,162000000.0,0.0,162000000.00000027,0.0,1.0
29000,168000000.0,168000000.0,168000000.0,0.0,167999999.9999981,5.420172339920354e-15,1.0000000000000124
30000,174000000.0,174000000.0,174000000.0,0.0,174000000.00000134,3.613448226613569e-15,1.0000000000000082
31000,180000000.0,180000000.0,180000000.0,0.0,180000000.00000015,0.0,1.0
32000,186000000.0,186000000.0,186000000.0,0.0,186000000.0000018,3.613448226613569e-15,1.0000000000000082
33000,192000000.0,192000000.0,192000000.0,0.0,192000000.00000024,0.0,1.0
34000,198000000.0,198000000.0,198000000.0,0.0,198000000.00000113,1.8067241133067846e-15,1.0000000000000042
35000,204000000.0,204000000.0,204000000.0,0.0,203999999.99999854,3.613448226613569e-15,1.0000000000000082
36000,210000000.0,210000000.0,210000000.0,0.0,209999999.99999756,5.420172339920354e-15,1.0000000000000124
37000,216000000.0,216000000.0,216000000.0,0.0,216000000.00000033,0.0,1.0
38000,222000000.0,222000000.0,222000000.0,0.0,222000000.00000012,0.0,1.0
39000,228000000.0,228000000.0,228000000.0,0.0,227999999.99999917,1.8067241133067846e-15,1.0000000000000042
40000,234000000.0,234000000.0,234000000.0,0.0,234000000.0000022,3.613448226613569e-15,1.0000000000000082
41000,240000000.0,240000000.0,240000000.0,0.0,240000000.00000018,0.0,1.0
42000,246000000.0,246000000.0,246000000.0,0.0,246000000.00000212,3.613448226613569e-15,1.0000000000000082
43000,252000000.0,252000000.0,252000000.0,0.0,251999999.99999723,5.420172339920354e-15,1.0000000000000124
44000,258000000.0,258000000.0,258000000.0,0.0,258000000.00000048,0.0,1.0
45000,264000000.0,264000000.0,264000000.0,0.0,264000000.0000015,1.8067241133067846e-15,1.0000000000000042
46000,270000000.0,270000000.0,270000000.0,0.0,270000000.0000003,0.0,1.0
47000,276000000.0,276000000.0,276000000.0,0.0,276000000.0000003,0.0,1.0
48000,282000000.0,282000000.0,282000000.0,0.0,281999999.999997,5.420172339920354e-15,1.0000000000000124
49000,288000000.0,288000000.0,288000000.0,0.0,288000000.0000004,0.0,1.0
50000,294000000.0,294000000.0,294000000.0,0.0,293999999.99999547,7.226896453227138e-15,1.0000000000000167
51000,300000000.0,300000000.0,300000000.0,0.0,300000000.0000001,0.0,1.0
52000,306000000.0,306000000.0,306000000.0,0.0,305999999.9999979,3.613448226613569e-15,1.0000000000000082
53000,312000000.0,312000000.0,312000000.0,0.0,312000000.0000029,3.613448226613569e-15,1.0000000000000082
54000,318000000.0,318000000.0,318000000.0,0.0,317999999.9999944,7.226896453227138e-15,1.0000000000000167
55000,324000000.0,324000000.0,324000000.0,0.0,324000000.0000006,0.0,1.0
56000,330000000.0,330000000.0,330000000.0,0.0,330000000.0000017,1.8067241133067846e-15,1.0000000000000042
57000,336000000.0,336000000.0,336000000.0,0.0,335999999.99999624,5.420172339920354e-15,1.0000000000000124
58000,342000000.0,342000000.0,342000000.0,0.0,341999999.9999988,1.8067241133067846e-15,1.0000000000000042
59000,348000000.0,348000000.0,348000000.0,0.0,348000000.0000027,3.613448226613569e-15,1.0000000000000082
60000,354000000.0,354000000.0,354000000.0,0.0,354000000.000002,1.8067241133067846e-15,1.0000000000000042
61000,360000000.0,360000000.0,360000000.0,0.0,360000000.00000036,0.0,1.0
62000,366000000.0,366000000.0,366000000.0,0.0,366000000.0000018,1.8067241133067846e-15,1.0000000000000042
63000,372000000.0,372000000.0,372000000.0,0.0,372000000.00000364,3.613448226613569e-15,1.0000000000000082
64000,378000000.0,378000000.0,378000000.0,0.0,377999999.99999595,5.420172339920354e-15,1.0000000000000124
65000,384000000.0,384000000.0,384000000.0,0.0,384000000.0000005,0.0,1.0
66000,390000000.0,390000000.0,390000000.0,0.0,390000000.0000035,3.613448226613569e-15,1.0000000000000082
67000,396000000.0,396000000.0,396000000.0,0.0,396000000.0000023,1.8067241133067846e-15,1.0000000000000042
68000,402000000.0,402000000.0,402000000.0,0.0,401999999.9999973,3.613448226613569e-15,1.0000000000000082
69000,408000000.0,408000000.0,408000000.0,0.0,407999999.99999714,3.613448226613569e-15,1.0000000000000082
70000,414000000.0,414000000.0,414000000.0,0.0,414000000.00000054,0.0,1.0
71000,420000000.0,420000000.0,420000000.0,0.0,419999999.9999952,5.420172339920354e-15,1.0000000000000124
72000,426000000.0,426000000.0,426000000.0,0.0,426000000.000003,3.613448226613569e-15,1.0000000000000082
73000,432000000.0,432000000.0,432000000.0,0.0,432000000.0000007,0.0,1.0
74000,438000000.0,438000000.0,438000000.0,0.0,438000000.0000047,5.420172339920354e-15,1.0000000000000124
75000,444000000.0,444000000.0,444000000.0,0.0,444000000.0000003,0.0,1.0
76000,450000000.0,450000000.0,450000000.0,0.0,450000000.0000003,0.0,1.0
77000,456000000.0,456000000.0,456000000.0,0.0,455999999.9999984,1.8067241133067846e-15,1.0000000000000042
78000,462000000.0,462000000.0,462000000.0,0.0,461999999.9999988,1.8067241133067846e-15,1.0000000000000042
79000,468000000.0,468000000.0,468000000.0,0.0,468000000.0000045,3.613448226613569e-15,1.0000000000000082
80000,474000000.0,474000000.0,474000000.0,0.0,474000000.0000026,1.8067241133067846e-15,1.0000000000000042
81000,480000000.0,480000000.0,480000000.0,0.0,480000000.0000004,0.0,1.0
82000,486000000.0,486000000.0,486000000.0,0.0,486000000.000001,0.0,1.0
83000,492000000.0,492000000.0,492000000.0,0.0,492000000.0000043,3.613448226613569e-15,1.0000000000000082
84000,498000000.0,498000000.0,498000000.0,0.0,498000000.0000042,3.613448226613569e-15,1.0000000000000082
85000,504000000.0,504000000.0,504000000.0,0.0,503999999.9999945,5.420172339920354e-15,1.0000000000000124
86000,510000000.0,510000000.0,510000000.0,0.0,509999999.99999624,3.613448226613569e-15,1.0000000000000082
87000,516000000.0,516000000.0,516000000.0,0.0,516000000.000001,0.0,1.0
88000,522000000.0,522000000.0,522000000.0,0.0,522000000.0000042,3.613448226613569e-15,1.0000000000000082
89000,528000000.0,528000000.0,528000000.0,0.0,528000000.00000304,1.8067241133067846e-15,1.0000000000000042
90000,534000000.0,534000000.0,534000000.0,0.0,533999999.9999965,3.613448226613569e-15,1.0000000000000082
91000,540000000.0,540000000.0,540000000.0,0.0,540000000.0000007,0.0,1.0
92000,546000000.0,546000000.0,546000000.0,0.0,546000000.0000029,1.8067241133067846e-15,1.0000000000000042
93000,552000000.0,552000000.0,552000000.0,0.0,552000000.0000007,0.0,1.0
94000,558000000.0,558000000.0,558000000.0,0.0,558000000.0000056,3.613448226613569e-15,1.0000000000000082
95000,564000000.0,564000000.0,564000000.0,0.0,563999999.999994,5.420172339920354e-15,1.0000000000000124
96000,570000000.0,570000000.0,570000000.0,0.0,569999999.9999977,1.8067241133067846e-15,1.0000000000000042
97000,576000000.0,576000000.0,576000000.0,0.0,576000000.000001,0.0,1.0
98000,582000000.0,582000000.0,582000000.0,0.0,582000000.0000055,3.613448226613569e-15,1.0000000000000082
99000,588000000.0,588000000.0,588000000.0,0.0,588000000.0000103,7.226896453227138e-15,1.0000000000000167
100000,594000000.0,594000000.0,594000000.0,0.0,594000000.0000036,1.8067241133067846e-15,1.0000000000000042
101000,600000000.0,600000000.0,600000000.0,0.0,600000000.0000004,0.0,1.0
