time_msec,min,max,mean,std,geom_mean,std_log,geoSD
0,200000000.0,200000000.0,200000000.0,0.0,200000000.00000003,0.0,1.0
1000,200000000.0,200000000.0,200000000.0,0.0,200000000.00000003,0.0,1.0
2000,199690752.0,199692794.0,199691860.4,421.47038182845154,199691860.39957017,9.166238671232842e-07,1.0000021106066797
3000,199143855.0,199147352.0,199146064.26666668,819.9991141010073,199146064.26503482,1.788242807513538e-06,1.0000041175897085
4000,198542364.0,198547019.0,198545032.66666666,1085.8503209652013,198545032.6637954,2.3751736795838146e-06,1.000005469054463
5000,197912200.0,197917033.0,197914456.6,1302.8588353415673,197914456.59585428,2.858934021686501e-06,1.0000065829605278
6000,197258698.0,197264697.0,197261256.16666666,1664.8373863499423,197261256.15987593,3.66533606620868e-06,1.0000084397838016
7000,196585353.0,196592439.0,196588469.8,1821.581927128554,196588469.79184192,4.024153059654707e-06,1.0000092659977762
8000,195894518.0,195901958.0,195898023.66666666,1777.9728544790466,195898023.65886733,3.941657800914899e-06,1.000009076043681
9000,195187042.0,195196112.0,195191330.96666667,2043.9141031167474,195191330.956322,4.547638797336032e-06,1.0000104713801277
10000,194464551.0,194475542.0,194469580.6,2273.831865315494,194469580.5871495,5.077972073854761e-06,1.000011692531157
11000,193728727.0,193739179.0,193732988.63333333,2495.6007566879775,193732988.61779612,5.594408247737175e-06,1.0000128816840035
12000,192977670.0,192990048.0,192983167.76666668,2598.8529655949383,192983167.74975184,5.848511869442873e-06,1.0000134667869232
13000,192215084.0,192226769.0,192220197.93333334,2729.1537520445518,192220197.9146052,6.166116763381917e-06,1.0000141981093331
14000,191439015.0,191451368.0,191444956.63333333,2967.995404812565,191444956.61109373,6.7329188723747115e-06,1.0000155032388018
15000,190651128.0,190664677.0,190658182.0,3434.6921058617418,190658181.97009274,7.823782939386749e-06,1.0000180150882367
16000,189852281.0,189865470.0,189860063.96666667,3432.1535963874635,189860063.93667865,7.850881384696928e-06,1.0000180774858392
17000,189042437.0,189057483.0,189051309.86666667,3699.346025460711,189051309.83167815,8.498286357358611e-06,1.0000195682189374
18000,188224222.0,188239941.0,188232720.23333332,4035.6787719756276,188232720.19151285,9.3112366151003e-06,1.0000214401444638
19000,187395693.0,187411363.0,187404530.23333332,4213.219742530713,187404530.18755096,9.763827535680563e-06,1.0000224822964572
20000,186558201.0,186573063.0,186567099.0,4277.052038253806,186567098.95260844,9.956248002132178e-06,1.0000229253710142
21000,185712264.0,185727059.0,185720951.4,4313.40863371178,185720951.3515796,1.0086632150271282e-05,1.0000232255985377
22000,184857230.0,184873293.0,184866482.9,4596.67795598457,184866482.84475714,1.0798726712734867e-05,1.0000248652962884
23000,183994413.0,184010639.0,184004071.43333334,4659.991480555577,184004071.37629136,1.0998786069777074e-05,1.0000253259615421
24000,183124645.0,183142414.0,183134391.36666667,4687.275824401952,183134391.30868134,1.1115705193308587e-05,1.0000255951846273
25000,182247297.0,182266603.0,182257952.03333333,5000.612724410901,182257951.96701846,1.1915801774552604e-05,1.000027437523939
26000,181363307.0,181382778.0,181374681.4,5297.9440683839,181374681.32520247,1.2685768338054397e-05,1.0000292104876864
27000,180474196.0,180493767.0,180484623.3,5371.769047529874,180484623.2227251,1.2925939180567732e-05,1.0000297635177948
28000,179579081.0,179597954.0,179589052.5,5518.120949231253,179589052.41805035,1.33443095645109e-05,1.0000307268803406
29000,178676571.0,178697438.0,178687802.86666667,5608.431901646156,178687802.78158423,1.363112964867283e-05,1.0000313873285016
30000,177769293.0,177792148.0,177781402.7,6020.042107482479,177781402.60147288,1.4706153812180924e-05,1.000033862743873
31000,176858194.0,176881859.0,176869935.3,6175.662288370374,176869935.195777,1.5164028317737736e-05,1.000034917075141
32000,175941688.0,175968228.0,175954063.0,6193.868586672268,175954062.89461696,1.528789759780245e-05,1.0000352023046986
33000,175020855.0,175045279.0,175033384.06666666,6414.9116473789545,175033383.95303246,1.5916841066054003e-05,1.0000366505525813
34000,174094231.0,174122011.0,174108900.36666667,6796.775647742622,174108900.23842207,1.6953919836125154e-05,1.000039038605069
35000,173166475.0,173193057.0,173180321.56666666,6867.522951938515,173180321.4350376,1.7222188307248035e-05,1.0000396563403569
36000,172233175.0,172260467.0,172248144.86666667,7145.253571588544,172248144.72340465,1.8015635043019055e-05,1.000041483393103
37000,171298362.0,171326398.0,171313202.43333334,7487.6119515357905,171313202.27515534,1.8981854213870235e-05,1.0000437082897298
38000,170360384.0,170387776.0,170375791.13333333,7377.864707134551,170375790.97891375,1.8806621963640498e-05,1.0000433047850081
39000,169420055.0,169449569.0,169435417.8,7820.999435207577,169435417.62550986,2.0046786054386316e-05,1.0000461604960942
40000,168477977.0,168507412.0,168493545.16666666,7885.311644436448,168493544.98830315,2.0324622951076625e-05,1.0000468002689262
41000,167534601.0,167563362.0,167550469.6,7806.712635886525,167550469.42419118,2.0235307784974782e-05,1.0000465946035526
42000,166592607.0,166620719.0,166607454.43333334,7761.4258407594925,166607454.2585749,2.023174880271196e-05,1.0000465864083112
43000,165649778.0,165677830.0,165665701.1,7715.266184649757,165665700.92633194,2.0225799750815476e-05,1.0000465727094752
44000,164711280.0,164740061.0,164726937.0,7815.743369238341,164726936.8207633,2.060587604117602e-05,1.000047447908617
45000,163777364.0,163808256.0,163795158.7,7878.337069195635,163795158.51684526,2.0889095467064988e-05,1.0000481000766002
46000,162858585.0,162890809.0,162876020.86666667,7640.478734474301,162876020.693434,2.0372689444290077e-05,1.0000469109513028
47000,161964919.0,161996500.0,161982173.56666666,7517.908282473135,161982173.3980204,2.015651510775449e-05,1.0000464131682716
48000,161118830.0,161151447.0,161136667.86666667,7573.444680357597,161136667.694621,2.041200636305307e-05,1.000047001486105
49000,160365518.0,160396179.0,160381309.26666668,7386.580212573447,160381309.1022374,2.00020582134921e-05,1.0000460575016858
50000,159746191.0,159770500.0,159756808.56666666,6755.438502234422,159756808.42859912,1.8364399449374953e-05,1.0000422864864622
51000,159225429.0,159249112.0,159236224.1,7157.779251782036,159236223.94449016,1.9521742093225007e-05,1.0000449514826208
52000,158736942.0,158759847.0,158747586.23333332,6868.715202269276,158747586.08968845,1.8791070080789056e-05,1.0000432689739245
53000,158253555.0,158277609.0,158264794.9,7098.779425681768,158264794.7461036,1.94797366470751e-05,1.0000448547571636
54000,157771142.0,157795267.0,157783085.26666668,7249.153391393646,157783085.10569158,1.9953111843741883e-05,1.0000459447933199
55000,157289246.0,157313560.0,157301416.0,7591.5938174835965,157301415.8229169,2.0959593894887418e-05,1.0000482624130504
56000,156806381.0,156833698.0,156820245.76666668,7888.000719920815,156820245.57489833,2.184480033864466e-05,1.0000503007766608
57000,156324744.0,156350933.0,156337956.13333333,7724.540815426854,156337955.9488629,2.1458146538582216e-05,1.000049410428998
58000,155842320.0,155868440.0,155855383.5,7624.81879829918,155855383.3197056,2.124670530589922e-05,1.00004892354363
59000,155357947.0,155386575.0,155372349.56666666,8005.112696802324,155372349.36732113,2.237573565847708e-05,1.0000515233626548
60000,154874332.0,154901705.0,154888375.66666666,7637.006374739783,154888375.4846641,2.1413595498331263e-05,1.0000493078413735
61000,154390445.0,154419891.0,154404233.46666667,7938.380755298396,154404233.2694007,2.232836016890775e-05,1.0000514142709442
62000,153906182.0,153937293.0,153919661.63333333,8285.67729936397,153919661.41775477,2.3378480064245113e-05,1.000053832388604
63000,153420422.0,153451568.0,153433907.0,8367.90876112322,153433906.77942356,2.3685332798640396e-05,1.0000545389814208
64000,152934708.0,152964399.0,152947574.2,8274.430991583818,152947573.98363933,2.3495178055143998e-05,1.0000541011101594
65000,152447859.0,152475748.0,152460911.33333334,8042.351184492795,152460911.12828633,2.2909126870511815e-05,1.0000527516053426
66000,151959869.0,151987669.0,151973394.06666666,8008.887192635929,151973393.8626699,2.288698162631512e-05,1.0000527006113449
67000,151472727.0,151499900.0,151485359.16666666,7895.227965450825,151485358.9677809,2.2634799417058965e-05,1.000052119909916
68000,150983339.0,151011106.0,150996451.7,8189.294227305507,150996451.4853305,2.3553894966399143e-05,1.0000542363181675
