Time,H2O,OH-,H+,K+,Na+,H2O:=cell_1,OH-:=cell_1,H+:=cell_1,K+:=cell_1,Na+:=cell_1,ATP:=cell_1,ADP:=cell_1,Pi:=cell_1,Na+_channel:=cell_1,K+_channel:=cell_1,Na+_K+_pump:=cell_1
0,10000000000000,1000000,1000000,80000000,80000000,10000000000000,1000000,1000000,120000000,120000000,1000000000000,0,0,200,300,500
10,10000000004892,995108,995108,79970200,80154700,10000000004338,995113,995113,120029800,119845300,999999945100,54900,54900,200,300,500
20,10000000009726,990274,990274,79825800,80356300,10000000008785,990094,990094,120174200,119643700,999999887900,112100,112100,200,300,500
30,10000000014570,985430,985430,79739200,80586200,10000000013079,985267,985267,120260800,119413800,999999834600,165400,165400,200,300,500
40,10000000019378,980622,980622,79675600,80731600,10000000017370,980458,980458,120324400,119268400,999999782800,217200,217200,200,300,500
50,10000000024081,975919,975919,79570600,80954100,10000000021577,975676,975676,120429400,119045900,999999725300,274700,274700,200,300,500
60,10000000028687,971313,971313,79482200,81146700,10000000025844,970867,970867,120517800,118853300,999999671100,328900,328900,200,300,500
70,10000000033463,966537,966537,79388600,81347100,10000000029978,966165,966165,120611400,118652900,999999614300,385700,385700,200,300,500
80,10000000037972,962028,962028,79378000,81483000,10000000033957,961633,961633,120622000,118517000,999999559000,441000,441000,200,300,500
90,10000000042647,957353,957353,79311400,81672900,10000000038057,957000,957000,120688600,118327100,999999505700,494300,494300,200,300,500
100,10000000047262,952738,952738,79202400,81836400,10000000042070,952442,952442,120797600,118163600,999999451200,548800,548800,200,300,500
110,10000000051819,948181,948181,79138200,82012700,10000000046151,947840,947840,120861800,117987300,999999399100,600900,600900,200,300,500
120,10000000056372,943628,943628,79027800,82188300,10000000050156,943283,943283,120972200,117811700,999999343900,656100,656100,200,300,500
130,10000000060864,939136,939136,78948800,82381800,10000000054035,938859,938859,121051200,117618200,999999289400,710600,710600,200,300,500
140,10000000065421,934579,934579,78888200,82597700,10000000057838,934503,934503,121111800,117402300,999999234100,765900,765900,200,300,500
150,10000000069768,930232,930232,78833200,82785200,10000000061563,930253,930253,121166800,117214800,999999181600,818400,818400,200,300,500
160,10000000074074,925926,925926,78759400,82965900,10000000065266,925981,925981,121240600,117034100,999999124700,875300,875300,200,300,500
170,10000000078330,921670,921670,78667200,83119200,10000000069042,921694,921694,121332800,116880800,999999073600,926400,926400,200,300,500
180,10000000082510,917490,917490,78634400,83318400,10000000072624,917548,917548,121365600,116681600,999999017200,982800,982800,200,300,500
190,10000000086701,913299,913299,78577400,83483900,10000000076283,913304,913304,121422600,116516100,999998958700,1041300,1041300,200,300,500
200,10000000090775,909225,909225,78509200,83656200,10000000079878,909168,909168,121490800,116343800,999998904600,1095400,1095400,200,300,500
210,10000000094885,905115,905115,78416800,83779800,10000000083567,904967,904967,121583200,116220200,999998853400,1146600,1146600,200,300,500
220,10000000099017,900983,900983,78365400,84021900,10000000087165,900862,900862,121634600,115978100,999998802700,1197300,1197300,200,300,500
230,10000000103097,896903,896903,78307600,84163600,10000000090722,896766,896766,121692400,115836400,999998748800,1251200,1251200,200,300,500
240,10000000107033,892967,892967,78236400,84355400,10000000094181,892801,892801,121763600,115644600,999998698200,1301800,1301800,200,300,500
250,10000000111012,888988,888988,78200800,84513800,10000000097503,888951,888951,121799200,115486200,999998645400,1354600,1354600,200,300,500
260,10000000115017,884983,884983,78131200,84678200,10000000101001,884905,884905,121868800,115321800,999998590600,1409400,1409400,200,300,500
270,10000000118945,881055,881055,78042200,84836700,10000000104439,880972,880972,121957800,115163300,999998541100,1458900,1458900,200,300,500
280,10000000122865,877135,877135,77970000,84970000,10000000107798,877102,877102,122030000,115030000,999998490000,1510000,1510000,200,300,500
