Time,N,P
0,1000000000,10000000
100,1000901966,9999639
200,1001802506,9999257
300,1002703290,9999129
400,1003606102,9999794
500,1004508706,10000399
600,1005412245,10000425
700,1006317465,10000404
800,1007224066,10000650
900,1008132030,10001131
1000,1009038379,10002416
1100,1009948247,10002931
1200,1010859698,10003126
1300,1011770474,10004465
1400,1012680964,10005339
1500,1013593304,10006884
1600,1014506119,10007268
1700,1015419432,10008658
1800,1016331101,10010807
1900,1017246610,10012384
2000,1018161702,10014090
2100,1019077323,10015310
2200,1019996632,10016744
2300,1020915435,10017936
2400,1021832968,10019561
2500,1022753451,10022050
2600,1023673781,10024415
2700,1024595272,10026759
2800,1025516142,10029337
2900,1026438319,10032838
3000,1027361870,10035783
3100,1028288747,10038945
3200,1029212734,10040824
3300,1030138481,10044220
3400,1031065391,10046828
3500,1031993613,10050145
3600,1032922670,10053689
3700,1033851416,10057561
3800,1034782189,10061803
3900,1035713851,10064536
4000,1036646833,10068363
4100,1037579103,10072487
4200,1038513118,10076743
4300,1039447876,10080077
4400,1040383720,10083890
4500,1041320001,10087796
4600,1042257595,10091988
4700,1043197171,10096680
4800,1044134312,10100944
4900,1045071990,10105398
5000,1046012046,10110460
5100,1046952856,10115368
5200,1047895133,10120871
5300,1048836984,10126193
5400,1049778807,10130864
5500,1050723906,10135820
5600,1051665889,10141200
5700,1052611063,10146678
5800,1053556540,10152384
5900,1054502981,10158436
6000,1055449531,10162719
6100,1056397028,10168206
6200,1057345245,10173607
6300,1058295346,10179676
6400,1059247784,10185111
6500,1060198769,10190818
6600,1061149889,10197674
6700,1062102721,10204306
6800,1063058998,10211296
6900,1064013519,10217833
7000,1064969253,10224829
7100,1065926701,10232479
7200,1066884768,10239791
7300,1067842392,10246630
7400,1068802444,10252721
7500,1069761437,10259939
7600,1070722397,10266788
7700,1071683433,10273497
7800,1072646985,10280291
7900,1073609298,10288416
8000,1074573210,10296456
8100,1075539450,10303956
8200,1076505763,10311444
8300,1077469987,10319294
8400,1078436434,10326930
8500,1079404552,10335648
8600,1080374169,10343698
8700,1081342847,10352583
8800,1082311884,10361086
8900,1083283768,10369730
9000,1084254356,10378963
9100,1085226807,10386516
9200,1086201082,10395450
9300,1087174657,10404364
9400,1088147891,10413270
9500,1089122824,10423410
9600,1090099398,10432804
9700,1091076186,10442206
9800,1092052824,10451066
9900,1093032582,10459880
10000,1094010289,10469761
10100,1094990452,10479865
10200,1095970297,10490044
10300,1096951369,10500041
10400,1097931503,10510744
10500,1098912295,10521492
10600,1099896357,10531774
10700,1100880421,10542163
10800,1101864783,10552258
10900,1102849922,10562697
11000,1103836131,10573640
11100,1104822308,10585336
11200,1105810943,10596946
11300,1106800690,10608420
11400,1107790598,10619252
11500,1108780929,10630830
11600,1109772178,10642477
11700,1110766550,10654185
