Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989105826,9993837,9993837,0,0,1000,0,0,0,9998999663,10001000337,10001000337,10000000000,0,0,99999901474,0,99526,99526,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900361,0,100639,100639,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1312230,631677,10000000,60000000,10000,60000,9998967498950,91975409,107209190,10152,8687770,1000,63318,3410845,17355236,9188093859,10811906141,10911903641,9988196635,11803365,19571,100011548955,39343100,94945,11473325,475100,339023000,11978937,28249987,20899200,13371258,70837800,986628742,999990558,9442,1436586500,995122400,4877600,27865600,2753100,9480,6975880,1000000000,0,999834600,165400,6966400,1000,1000,1000,1000,1000,1000,1000,100011594691,39320000,127115,11815747,37500,338971200,14784318,31055018,20820594,13609208,70982700,986390792,999982310,17690,1436408402,995222808,4777192,27760792,2779200,8742,6948940,1000000000,0,999838402,161598,6940198,1000,1000,1000,1000,1000,1000,1000
3000,1895780,628872,20000000,120000000,10000,60000,9998104114875,89776617,111648575,9522,18104220,1000,5207,3785862,36189396,8515147892,11484852108,11734483508,9981994038,18005962,80134,100037959930,102630900,143170,18925190,491600,898125000,14763253,58067203,48505800,46912615,191467800,953087385,999999815,185,1327987800,996904700,3095300,64674400,9005800,9720,16178320,1000000000,0,999854400,145600,16168600,1000,1000,1000,1000,1000,1000,1000,100038054037,102590100,141806,18795363,518000,897996200,17997718,61298718,48407158,46847159,191362200,953152841,999982040,17960,1328602881,996973523,3026477,64542877,9097500,9360,16145080,999999999,1,999852381,147619,16135719,1000,1000,1000,1000,1000,1000,1000
4000,2345560,630619,30000000,180000000,10000,60000,9997302802448,89695834,114860303,856,27654440,1000,57319,3885901,55307168,7910610482,12089389518,12490527918,9978886359,21113641,164927,100065995001,168443000,63194,27582618,156300,1480423600,17152376,88623476,76894229,83653974,317175300,916346026,999999739,261,1215757665,997961836,2038164,102522564,16957000,1,25637560,999990776,9224,999872465,127535,25628335,1000,1000,1000,1000,1000,1000,1000,100066035335,168377500,36608,27307065,436900,1479946200,19239136,90688586,76827958,83559295,317031300,916440705,999981476,18524,1215871881,997911423,2088577,102437277,17071600,9460,25618780,999999999,1,999869281,130719,25609319,1000,1000,1000,1000,1000,1000,1000
5000,2723870,637432,40000000,240000000,10000,60000,9996560107453,88544045,115474762,9757,37276130,1000,5782,3915671,74532746,7364772998,12635227002,13190526702,9977247049,22752951,262095,100094152678,234735900,45194,36776619,122500,2067063800,18727791,118577291,105502129,121246097,444239700,878753903,999980721,19279,1100354024,998323495,1676505,140669505,25669100,10043,35177420,999999999,1,999869524,130476,35167376,1000,1000,1000,1000,1000,1000,1000,100094208775,234898600,110151,36991044,52900,2068602000,20854195,120779495,105532675,121353256,444275100,878646744,999980398,19602,1101708042,998243767,1756233,140710233,25848600,1,35177560,999999999,1,999870442,129558,35177558,1000,1000,1000,1000,1000,1000,1000
6000,3056630,624079,50000000,300000000,10000,60000,9995871895285,84972553,112932646,1547,46943370,1000,56795,3976147,93883646,6871548138,13128451862,13837279562,9976382733,23617267,366679,100122685927,301693800,36705,46236590,144700,2659786000,19838531,148363431,134328169,159783619,572432400,840216381,999996063,3937,984839244,998431475,1568525,179104225,34870100,3,44776060,999999999,1,999867944,132056,44776056,1000,1000,1000,1000,1000,1000,1000,100122892324,301811300,22434,46241794,59100,2661048200,22366595,150955695,134274386,159714623,572321400,840285377,999997809,2191,986828686,998486300,1513700,179029200,35029600,2,44764760,999990056,9944,999878286,121714,44754814,1000,1000,1000,1000,1000,1000,1000
7000,3360140,631802,60000000,360000000,10000,60000,9995225953031,86179639,114734150,1459,56639860,1000,483,3986509,113276802,6425694770,13574305230,14436876330,9975906971,24093029,474973,100151462916,368938100,18096,55753682,137000,3255232200,20188955,177523705,163189490,198596081,701061300,801403919,999996785,3215,869780604,998523914,1476086,217585986,44291000,2,54396500,999999998,2,999872104,127896,54396496,1000,1000,1000,1000,1000,1000,1000,100151680161,369226900,30754,55369977,496600,3257946600,24375710,181844010,163236608,199066056,701463900,800933944,999996861,3139,869979805,998582997,1417003,217645503,44417800,2,54418820,999990077,9923,999881405,118595,54408895,1000,1000,1000,1000,1000,1000,1000
8000,3638660,634238,70000000,420000000,10000,60000,9994622375779,87458522,116389602,1495,66361340,1000,958,4006490,132719690,6022444501,13977555499,14994718399,9975661850,24338150,586440,100180398672,436428900,28457,64836146,583600,3852937800,22306772,208561772,192103272,237920830,830277600,762079170,999998673,1327,753424843,998656071,1343929,256131229,53803800,2,64047360,999980599,19401,999890943,109057,64027957,1000,1000,1000,1000,1000,1000,1000,100180592198,436838800,116022,64964700,545300,3856779200,24359182,210803032,192199718,238910803,831177600,761089197,999999843,157,752579140,998685422,1314578,256259878,53991300,2,64079400,999980762,19238,999890940,109060,64060160,1000,1000,1000,1000,1000,1000,1000
9000,3898310,618409,80000000,480000000,10000,60000,9994056731094,89241294,118433953,1525,76101690,1000,6109,4024329,152200330,5657795888,14342204112,15513360912,9975530951,24469049,699281,100209392873,504234700,101610,74593067,527400,4453532600,22444231,237760681,221139418,277973253,960258300,722026747,999990314,9686,636389761,998703543,1296457,294852557,63475000,9260,73722400,999999999,1,999888661,111339,73713139,1000,1000,1000,1000,1000,1000,1000,100209654022,504526600,14647,74460515,577300,4456264400,26164101,241614801,221243471,278672469,960882600,721327531,999980292,19708,635778323,998731152,1268848,294988048,63557000,3,73754320,999990260,9740,999880623,119377,73744577,1000,1000,1000,1000,1000,1000,1000
