Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989002817,10098057,10098057,0,0,1000,0,0,0,9999000874,10000999126,10000999126,10000000000,0,0,99999900044,0,100956,100956,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899810,0,101190,101190,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900882,0,100118,100118,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1314510,625348,10000000,60000000,10000,60000,9998963554470,94626662,106431333,10093,8685490,1000,5212,1861077,17350794,9223633832,10776366168,10907125668,9990066483,9933517,10077,100009426500,30128700,187372,7998600,388900,261023800,7909327,20457227,15482932,4569265,54744300,995430735,999998789,1211,1451555024,996966292,3033708,20643908,2452700,5440,5166420,999999996,4,999871924,128076,5160976,1000,1000,1000,1000,1000,1000,1000,100009392914,30009400,177806,8081026,326500,259930800,7225967,19720467,15431740,4513966,54491100,995486034,999999906,94,1451886640,996922500,3077500,20571500,2474600,0,5152220,999987540,12460,999880640,119360,5139760,1000,1000,1000,1000,1000,1000,1000,100009434363,30043300,136517,8342935,52800,260215400,6683696,19191746,15458478,4593550,54546000,995406450,999999910,90,1452120660,996901782,3098218,20607218,2479900,2,5161000,999987742,12258,999878460,121540,5148740,1000,1000,1000,1000,1000,1000,1000
3000,1897990,636924,20000000,120000000,10000,60000,9998095006730,91115383,106642384,766,18102010,1000,85,1953513,36202488,8611727413,11388272587,11729435487,9986461147,13538853,34635,100028547094,74163600,84329,13068226,58500,651252800,8281147,39713997,34235278,8296777,139039500,991703223,999998218,1782,1376797641,998369363,1630637,45647037,7551400,0,11411760,999999999,1,999886141,113859,11411759,1000,1000,1000,1000,1000,1000,1000,100028501319,74071500,101424,12750081,359100,650391800,8716269,40106819,34179358,8056518,138444300,991943482,999998899,1101,1378675681,998392323,1607677,45572477,7525900,6960,11400080,999999999,1,999897281,102719,11393119,1000,1000,1000,1000,1000,1000,1000,100028456923,74102800,149377,12804377,386400,650708000,8135775,39542175,34207500,8078198,138450300,991921802,999998198,1802,1378927600,998361100,1638900,45610000,7551700,0,11402500,1000000000,0,999887500,112500,11402500,1000,1000,1000,1000,1000,1000,1000
4000,2348070,618253,30000000,180000000,10000,60000,9997278681527,93289257,110132837,10347,27651930,1000,61764,1956114,55283166,8067287484,11932712516,12493135916,9985177326,14822674,64792,100047654130,118606000,53170,18609987,355700,1044795200,8081186,58555136,53253557,9320575,223564200,990679425,999998775,1225,1302922700,998846643,1153357,71000757,13442400,3,17759160,999988043,11957,999910900,89100,17747200,1000,1000,1000,1000,1000,1000,1000,100047708647,118626300,55496,18833612,67700,1045099000,10647067,61137467,53217657,9482049,223453800,990517951,999999230,770,1304150081,998899924,1100076,70956876,13478500,6521,17745740,1000000000,0,999906281,93719,17739219,1000,1000,1000,1000,1000,1000,1000,100047715365,118661500,53938,18609033,318900,1045339800,9126330,59627380,53239936,9439193,223412100,990560807,999999394,606,1304259401,998883365,1116635,70984535,13474800,6622,17757360,999993861,6139,999914801,85199,17744599,1000,1000,1000,1000,1000,1000,1000
5000,2726310,631517,40000000,240000000,10000,60000,9996521204687,88489536,105862327,1542,37273690,1000,43,1999095,74544296,7577587723,12422412277,13203760177,9984723525,15276475,97221,100066834015,163506200,111691,24941384,328300,1442520400,7109236,76828486,72493795,10450547,309129900,989549453,999986949,13051,1227971802,999006607,993393,96658393,19705800,1,24164600,999999999,1,999903102,96898,24164598,1000,1000,1000,1000,1000,1000,1000,100066959818,163394600,46022,24979681,88700,1441679600,12012796,81693446,72362659,10348884,308765100,989651116,999998864,1136,1229446780,999108221,891779,96481479,19738300,5561,24130580,999993801,6199,999914480,85520,24118820,1000,1000,1000,1000,1000,1000,1000,100066951023,163504600,62823,25064595,64000,1442621200,11120758,80846508,72438654,10301622,308797500,989698378,999986604,13396,1230104882,999087028,912972,96584872,19726500,6582,24152800,1000000000,0,999906882,93118,24146218,1000,1000,1000,1000,1000,1000,1000
6000,3059470,621086,50000000,300000000,10000,60000,9995803686839,90287507,107897405,9840,46940530,1000,55,1992618,93861380,7136440546,12863559454,13868435354,9984513542,15486458,130822,100086199430,208646800,131733,31490668,100000,1842353600,7897183,96963433,91809256,11335443,395185500,988664557,999998864,1136,1152639521,999148765,851235,122410035,26059400,2,30607700,999993081,6919,999913521,86479,30600779,1000,1000,1000,1000,1000,1000,1000,100086253579,208419700,33007,31324920,94200,1840428200,12775837,101750137,91669075,11102865,394579200,988897135,999999327,673,1154057062,999174287,825713,122223413,26079800,1,30560400,999993939,6061,999916762,83238,30554338,1000,1000,1000,1000,1000,1000,1000,100086226761,208496400,128099,31444278,41100,1841179200,11653639,100665289,91676259,11025147,394556400,988974853,999998767,1233,1154961020,999212561,787439,122232739,26104900,6541,30569840,999993181,6819,999916620,83380,30556480,1000,1000,1000,1000,1000,1000,1000
7000,3358160,629712,60000000,360000000,10000,60000,9995127963081,92375303,110236859,747,56641840,1000,5238,2017570,113282186,6738694684,13261305316,14490536416,9984320690,15679310,164676,100105678741,253871600,26905,37586378,303600,2242873600,8095453,116541103,111192995,11809047,481265700,988190953,999999929,71,1077297482,999205487,794513,148255213,32450300,1,37068560,999993659,6341,999918082,81918,37062218,1000,1000,1000,1000,1000,1000,1000,100105655896,253654000,27184,37744342,68000,2241101600,13119187,121481287,111047998,11836461,480830400,988163539,999993321,6679,1078288760,999234762,765238,148062038,32497600,2,37019920,999994122,5878,999915760,84240,37014040,1000,1000,1000,1000,1000,1000,1000,100105545843,253610000,109392,37851573,38200,2240728800,12998360,121342660,111034366,11497273,480423900,988502727,999998118,1882,1080031245,999231079,768921,148045821,32490300,4,37011460,999999999,1,999909945,90055,37011455,1000,1000,1000,1000,1000,1000,1000
8000,3636160,620912,70000000,420000000,10000,60000,9994490462951,93995350,111935613,10381,66363840,1000,552,2005945,132706918,6379787601,13620212399,15076038899,9984264835,15735165,199153,100125116148,299199200,25478,43942571,361800,2644408000,8996706,136872306,130610575,12367262,567760500,987632738,999998404,1596,1001018842,999257967,742033,174147433,38897800,1,43536860,999999999,1,999911142,88858,43536858,1000,1000,1000,1000,1000,1000,1000,100125028301,298923900,105299,44209314,55500,2642083000,14222699,141987399,130403475,12323119,567215400,987676881,999999319,681,1002117900,999318925,681075,173869075,38946900,6165,43478440,999993325,6675,999928900,71100,43465600,1000,1000,1000,1000,1000,1000,1000,100124978098,298934700,120008,43956339,365700,2642161400,12750581,140518831,130446113,12065223,566729700,987934777,999999325,675,1004278202,999284489,715511,173925911,38927900,3,43486520,999993281,6719,999918402,81598,43479798,1000,1000,1000,1000,1000,1000,1000
9000,3894960,633380,80000000,480000000,10000,60000,9993890353982,92437718,110415106,10487,76105040,1000,5114,2019082,152189106,6055880300,13944119700,15626732900,9984275338,15724662,233644,100144556424,344579600,33968,50440252,343700,3046336000,10867071,158190621,150057708,12723277,654240900,987276723,999998741,1259,925173564,999269256,730744,200076944,45368400,4,50019240,1000000000,0,999913264,86736,50019236,1000,1000,1000,1000,1000,1000,1000,100144456724,344283200,120076,50668416,69400,3043924800,14471482,161681382,149844000,12689049,653711100,987310951,999999349,651,926171500,999336500,663500,199792000,45427900,6240,49954240,1000000000,0,999915400,84600,49948000,1000,1000,1000,1000,1000,1000,1000,100144479031,344326700,106075,50704869,44300,3044279800,12262853,159489503,149869196,12692593,653421000,987307407,999998795,1205,927933702,999319806,680194,199825594,45434500,6500,49962900,999999998,2,999917002,82998,49956398,1000,1000,1000,1000,1000,1000,1000
