Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989002399,10097223,10097223,0,0,2000,0,0,0,9998999622,10001000378,10001000378,10000000000,0,0,99999901054,0,99946,99946,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,93800,625530,10000000,60000000,10000,60000,9998977171224,86545914,112162898,884,9906200,2000,10979,9453452,19810632,9137363838,10862636162,10917831962,9983901208,16098792,64740,100014574321,55596900,121765,19083258,640700,475446600,36597691,59363491,30850115,35495474,98965800,964504526,999997536,2464,1409306262,990690247,9309753,41128953,3647100,1,10292440,999986399,13601,999786462,213538,10278838,1000,1000,1000,1000,1000,1000,1000
3000,95820,629419,20000000,120000000,10000,60000,9998124293220,84296075,126150786,9895,19904180,2000,5842,14582941,39788570,8380803095,11619196905,11742576705,9973115339,26884661,387109,100050063359,149214000,110996,35859977,816600,1295459200,57050289,119364739,74455546,127050818,274549500,872949182,999996603,3397,1249565985,988252939,11747061,99274061,12516800,4,24818520,999999999,1,999766585,233415,24818515,1000,1000,1000,1000,1000,1000,1000
4000,96160,627728,30000000,180000000,10000,60000,9997348372055,77129538,130758035,1557,29903840,2000,62954,18343031,59804566,7697142193,12302857807,12491594807,9965750009,34249991,1035475,100092485898,253934700,19322,52113822,955600,2217759000,72441218,179309318,121231980,241817999,473152200,758182001,999995739,4261,1069440740,987375960,12624040,161642640,24519100,15400,40426060,1000000000,0,999787840,212160,40410660,1000,1000,1000,1000,1000,1000,1000
5000,93790,636135,40000000,240000000,10000,60000,9996633435255,73997727,136469126,836,39906210,2000,63790,21218851,79810748,7078736282,12921263718,13172701718,9960756309,39243691,2008857,100138180030,364342300,114310,69202430,675700,3192627800,85303625,239300075,169699560,368633013,683472600,631366987,999997193,2807,879926180,986819220,13180780,226266080,38558200,16520,56583040,1000000000,0,999782880,217120,56566520,1000,1000,1000,1000,1000,1000,1000
6000,96080,629033,50000000,300000000,10000,60000,9995976070266,72229684,141515615,773,49903920,2000,69125,23448637,99806294,6519362650,13480637350,13794937250,9957434563,42565437,3271857,100186303453,478471400,110439,85714943,974000,4201907600,96491542,299301842,219224268,503646571,901741500,496353429,999998535,1465,682052064,986507296,13492704,292293504,53969000,4,73085800,999983440,16560,999781564,218436,73069236,1000,1000,1000,1000,1000,1000,1000
7000,95230,623868,60000000,360000000,10000,60000,9995370418399,71951066,146721439,806,59904770,2000,63313,25231645,119807928,6013254465,13986745535,14361889335,9955244835,44755165,4783563,100235927358,594874900,109622,102476178,1013600,5232257000,106656119,359312819,269310996,643281967,1124508300,356718033,999999527,473,481573760,986412564,13587436,359070136,70269200,4,89792720,999966424,33576,999802360,197640,89759140,1000,1000,1000,1000,1000,1000,1000
8000,95310,627768,70000000,420000000,10000,60000,9994818198360,66404289,145696223,859,69904690,2000,12027,26648172,139807662,5555337349,14444662651,14880033451,9953849828,46150172,6493590,100286514287,713056500,101725,120047911,378300,6279014600,116053855,419360205,319997690,786922629,1351127400,213077371,999964033,35967,277670604,986341414,13658586,426663586,87163900,2,106665900,999999998,2,999777904,222096,106665896,1000,1000,1000,1000,1000,1000,1000
9000,95780,624701,80000000,480000000,10000,60000,9994300395495,70002611,153036484,10981,79904220,2000,62852,27765195,159786478,5141007906,14858992094,15353724094,9953097925,46902075,8366603,100337945681,832392200,107948,136305457,986000,7336516400,124829197,479312447,370913872,932643588,1579749600,67356412,999965831,34169,72590243,986471171,13528829,494551829,104517800,16722,123654680,999999999,1,999787743,212257,123637957,1000,1000,1000,1000,1000,1000,1000
10000,93970,639282,90000000,540000000,10000,60000,9993829489883,66147673,152530263,11085,89906030,2000,69867,28705300,179789890,4766140756,15233859244,15749896244,9952687580,47312420,10364870,100371288136,933834200,223642,7031501,165465000,8216489200,142489551,539290851,422114265,983735360,1713767100,16264640,999874186,125814,101826,968446861,31553139,562811539,122112600,3,140719720,999977557,22443,999534326,465674,140697274,1000,1000,1000,1000,1000,1000,1000
11000,94730,634457,100000000,600000000,10000,60000,9993391175311,65378349,154837945,10908,99905270,2000,58289,29462572,199788724,4426950660,15573049340,16089502740,9952471608,47528392,12468632,100376165039,1007163600,163664,6775893,229938800,8812660000,174411454,599307254,473500110,983326261,1796111400,16673739,999890562,109438,110901,921306491,78693509,631321409,139791700,8,157857520,999963787,36213,999550701,449299,157821299,1000,1000,1000,1000,1000,1000,1000
12000,94280,629150,110000000,660000000,10000,60000,9992982109832,67664328,159978482,1739,109905720,2000,68187,30106392,219807962,4120059760,15879940240,16396675240,9952445268,47554732,14653030,100380797336,1080632500,201159,7033443,294422600,9409884200,206263963,659302663,525101809,983139262,1878620100,16860738,999878127,121873,3865,873793656,126206344,700128444,157600200,1,175048540,999978096,21904,999528465,471535,175026635,1000,1000,1000,1000,1000,1000,1000
13000,96270,630461,120000000,720000000,10000,60000,9992605518702,66678929,161794749,1831,119903730,2000,69353,30613722,239803798,3842369731,16157630269,16674570069,9952407038,47592962,16909136,100385378306,1154175000,187876,6833769,359434900,10007490800,238103886,719300186,576832547,982886320,1961007300,17113680,999875314,124686,49194,826200147,173799853,769108353,175301700,5,192280940,999994871,5129,999506594,493406,192275806,1000,1000,1000,1000,1000,1000,1000
14000,94220,624637,130000000,780000000,10000,60000,9992259473583,61580233,159436485,1169,129905780,2000,68684,31010330,259809222,3591121716,16408878284,16925979184,9952385070,47614930,19230992,100389885405,1227825300,176125,6980093,424310400,10605646600,269931929,779306679,628693878,982713535,2043453600,17286465,999864845,135155,50410,778453532,221546468,838256868,192963300,2,209567900,999995092,4908,999512810,487190,209562990,1000,1000,1000,1000,1000,1000,1000
15000,94940,636092,140000000,840000000,10000,60000,9991931418154,62377667,162842995,9777,139905060,2000,64440,31314362,279790566,3363759921,16636240079,17153457979,9952452918,47547082,21603884,100394338485,1301520300,212726,6977547,489439600,11204239800,301724518,839299468,680605438,982596060,2125932900,17403940,999860697,139303,46737,730667899,269332101,907472001,210639600,8,226872320,999994251,5749,999503837,496163,226866563,1000,1000,1000,1000,1000,1000,1000
16000,94140,629829,150000000,900000000,10000,60000,9991626246828,61947924,165069870,11719,149905860,2000,6245,31562964,299788282,3158051652,16841948348,17359256548,9952468036,47531964,24027018,100398878339,1375243000,156435,6712961,554702700,11802952400,333584776,899363926,732530384,982473635,2208373200,17526365,999882493,117507,100658,682939074,317060926,976705226,228229300,17600,244198300,999994142,5858,999509858,490142,244174842,1000,1000,1000,1000,1000,1000,1000
17000,94100,630291,160000000,960000000,10000,60000,9991339083732,63040116,168755705,11253,159905900,2000,62396,31757095,319789294,2971876248,17028123752,17545503152,9952533905,47466095,26492399,100403207708,1449032700,235209,6723488,620012000,12402072600,365306863,959307313,784579118,982385747,2290849200,17614253,999869286,130714,104139,635039521,364960479,1046098779,245830800,4,261539800,999979865,20135,999512139,487861,261519661,1000,1000,1000,1000,1000,1000,1000
18000,94590,620266,170000000,1020000000,10000,60000,9991069362444,64387133,172796654,10954,169905410,2000,62928,31896309,339788912,2803397677,17196602323,17714039723,9952487011,47512989,29000223,100407640535,1522827700,228214,7057816,684752300,13001163400,397097556,1019316806,836606205,982444179,2373441300,17555821,999894062,105938,12483,587310478,412689522,1115463122,263275700,9,278892380,999964546,35454,999532283,467717,278856917,1000,1000,1000,1000,1000,1000,1000
19000,95120,623608,180000000,1080000000,10000,60000,9990822377671,59052783,170221757,11037,179904880,2000,63217,31961288,359787686,2650974454,17349025546,17866507546,9952344912,47655088,31552598,100411944623,1596649900,185865,7036173,749918200,13600335800,428873425,1079313175,888773804,982388823,2455908300,17611177,999874519,125481,3696,539505292,460494708,1185023808,280580000,4,296273800,999976208,23792,999520396,479604,296250004,1000,1000,1000,1000,1000,1000,1000
20000,94360,630191,190000000,1140000000,10000,60000,9990584166778,59404165,173396278,11796,189905640,2000,6899,31988125,379787688,2513011743,17486988257,18004505057,9952143315,47856685,34147303,100416212176,1670483900,210023,6984481,815036800,14199550200,460701510,1139362910,940903131,982363074,2538380700,17636926,999889307,110693,9433,491841002,508158998,1254536998,297783700,16863,313652260,999998470,1530,999527233,472767,313633867,1000,1000,1000,1000,1000,1000,1000
21000,95830,635652,200000000,1200000000,10000,60000,9990359380697,59481377,176447660,9917,199904170,2000,6180,31970877,399788506,2388194974,17611805026,18129342926,9951798523,48201477,36793929,100420549680,1744260100,176057,6541260,880255400,14798424200,492489168,1199358168,993015282,982230617,2620785300,17769383,999873796,126204,105279,444403097,555596903,1324019703,314793100,17260,331023700,999997981,2019,999517679,482321,331004421,1000,1000,1000,1000,1000,1000,1000
22000,95050,631293,210000000,1260000000,10000,60000,9990148146933,57888772,177878068,2589,209904950,2000,11510,31900574,419804722,2275255905,17724744095,18242285995,9951402186,48597814,39490908,100424811399,1818055400,162827,7006081,944612100,15397325200,524281297,1259357197,1045181456,982330618,2703378300,17669382,999879660,120340,7142,396957886,603042114,1393574314,331716000,17500,348413240,999997118,2882,999510742,489258,348392858,1000,1000,1000,1000,1000,1000,1000
23000,92770,625646,220000000,1320000000,10000,60000,9989946755685,57180557,180273277,11053,219907230,2000,5910,31756966,439792354,2173049942,17826950058,18344494958,9950899614,49100386,42235368,100429055649,1891844000,233215,7151277,1009138200,15996140000,556090194,1319368444,1097312430,982351246,2785902000,17648754,999906734,93266,10588,349743758,650256242,1463068642,348456600,14,365800020,999956206,43794,999531288,468712,365756212,1000,1000,1000,1000,1000,1000,1000
24000,94510,618417,230000000,1380000000,10000,60000,9989753830365,57740355,184213475,10793,229905490,2000,6298,31570526,459789394,2080573120,17919426880,18436957080,9950138794,49861206,45041388,100433316400,1965599200,229080,6844820,1073730000,16594663200,587908735,1379375285,1149418920,982279866,2868341100,17720134,999911626,88374,101560,302831740,697168260,1532548460,364886800,17640,383177480,999969700,30300,999536560,463440,383129540,1000,1000,1000,1000,1000,1000,1000
25000,93760,633329,240000000,1440000000,10000,60000,9989569281074,58713788,188905479,11034,239906240,2000,57719,31329779,479790412,1996888362,18003111638,18520633238,9949054961,50945039,47916873,100437569686,2039337500,222274,6535787,1137929500,17193088600,619658102,1439308952,1201533073,982275317,2950868100,17724683,999897137,102863,100220,256300747,743699253,1602036653,380928500,17847,400543760,999977667,22333,999532220,467780,400503580,1000,1000,1000,1000,1000,1000,1000
26000,94460,632194,250000000,1500000000,10000,60000,9989395274036,57100087,191432121,11542,249905540,2000,5792,30990538,499787996,1921156523,18078843477,18596346177,9947546422,52453578,50887918,100441673792,2112994800,203303,6843680,1201156300,17790690400,651568214,1499362014,1253717202,982308846,3033427800,17691154,999859611,140389,48065,210112863,789887137,1671621037,396446500,8,417909540,999994303,5697,999503365,496635,417903835,1000,1000,1000,1000,1000,1000,1000
27000,94750,629195,260000000,1560000000,10000,60000,9989228502004,55470345,194460903,1480,259905250,2000,11392,30588018,519807540,1852651349,18147348651,18664834951,9945575362,54424638,53977902,100445963053,2186533400,230763,6700264,1263951700,18387527600,683455613,1559359413,1305651453,982298883,3115982100,17701117,999890855,109145,105672,164820419,835179581,1740856381,411405000,23,435241620,999963331,36669,999520872,479128,435204928,1000,1000,1000,1000,1000,1000,1000
28000,96050,641054,270000000,1620000000,10000,60000,9989066294032,55768146,200306918,1633,269903950,2000,63187,30029338,539804634,1790633178,18209366822,18726831722,9942704542,57295458,57213976,100450108695,2260000000,204437,6930837,1325435900,18983547200,715324059,1619295759,1357648824,982402770,3198641400,17597230,999888614,111386,20944,120399020,879600980,1810192580,425295200,8,452561320,999982444,17556,999512844,487156,452543756,1000,1000,1000,1000,1000,1000,1000
29000,96790,618965,280000000,1680000000,10000,60000,9988915036333,51021077,202519572,3030,279903210,2000,11146,29295335,559800360,1734522310,18265477690,18782916390,9938464145,61535855,60667305,100454429424,2333241800,176745,6907685,1385265600,19577785200,747413539,1679369889,1409376043,982482663,3281354700,17517337,999923686,76314,2323,77841180,922158820,1879145220,437597200,31,469837720,999931488,68512,999559923,440077,469769177,1000,1000,1000,1000,1000,1000,1000
30000,96340,632576,290000000,1740000000,10000,60000,9988765371334,50016949,210968197,1902,289903660,2000,5913,28300132,579803516,1683745383,18316254617,18833662917,9931788168,68211832,64439284,100458265055,2406173100,212591,6775685,1442788200,20169215800,779557161,1739361511,1461135076,982471664,3363998100,17528336,999886646,113354,6682,37712806,962287194,1948179094,447152400,17060,487064100,999996978,3022,999520382,479618,487044018,1000,1000,1000,1000,1000,1000,1000
31000,96430,632664,300000000,1800000000,10000,60000,9988616442458,53077243,228022383,10153,299903570,2000,63472,26844606,599786834,1637772101,18362227899,18879605499,9920617374,79382626,68717908,100462058183,2478506800,201525,6710248,1495055600,20755426400,811903064,1799303864,1512569139,982520362,3446791200,17479638,999900598,99402,2636,2659997,997340003,2016750103,451686300,17109,504224320,999973753,26247,999524236,475764,504180964,1000,1000,1000,1000,1000,1000,1000
32000,94930,643045,310000000,1860000000,10000,60000,9988479449814,48611928,241487253,3196,309905070,2000,58933,24800977,619803748,1596202442,18403797558,18921141758,9905679043,94320957,73753391,100486094002,2540011300,151899,8169924,1513183700,21293586600,845950272,1859298022,1548119112,982596819,3537402900,17403181,999951086,48914,10067,47655,999952345,2061602645,451729400,97334,521249380,992331487,7668513,999832267,167733,513483533,1000,1000,1000,1000,1000,1000,1000
33000,95190,625352,320000000,1920000000,10000,60000,9988348695935,41853745,252207605,1991,319904810,2000,11650,22288222,639805638,1558582280,18441417720,18958725120,9891380958,108619042,79446596,100511587643,2600354400,175132,8151825,1530071000,21827453600,880191448,1919362998,1582374898,982624717,3628622400,17375283,999941142,58858,9025,23127,999976873,2104568673,451740000,83472,538070820,984206427,15793573,999817525,182475,522193775,1000,1000,1000,1000,1000,1000,1000
