Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999988997971,10100756,10100756,0,0,2000,0,0,0,9998998727,10001001273,10001001273,10000000000,0,0,99999901110,0,99890,99890,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900870,0,100130,100130,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899608,0,101392,101392,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899986,0,101014,101014,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,95560,638344,10000000,60000000,10000,60000,9998966782043,91957916,102834534,1583,9904440,2000,471,1411604,19805714,9264872759,10735127241,10898001241,9990543316,9456684,8330,100008655035,27085900,177788,7553304,63600,235062200,2813102,14118752,13779477,2555739,49352100,997444261,999994080,5920,1456797341,997159464,2840536,18372636,2604600,5421,4598580,1000000000,0,999881441,118559,4593159,1000,1000,1000,1000,1000,1000,1000,100008714110,27160800,204233,7494750,25800,235782400,3237918,14579218,13770758,2530692,49548300,997469308,999995073,4927,1456557481,997282723,2717277,18359177,2562500,5120,4599040,999994499,5501,999889781,110219,4588419,1000,1000,1000,1000,1000,1000,1000,100008752903,27214100,188849,7262573,271500,236275400,3856939,15222389,13790148,2599826,49602900,997400174,999989310,10690,1456493484,997256536,2743464,18386864,2604300,5044,4601760,1000000000,0,999886484,113516,4596716,1000,1000,1000,1000,1000,1000,1000,100008833013,27245300,197236,7101604,275700,236673800,4054376,15440826,13743651,2501160,49583700,997498840,999995243,4757,1457063983,997406332,2593668,18324868,2569300,5183,4586400,1000000000,0,999891183,108817,4581217,1000,1000,1000,1000,1000,1000,1000
3000,94720,631495,20000000,120000000,10000,60000,9998085575872,96578279,109407632,872,19905280,2000,8,1403237,39808816,8681153451,11318846549,11715841849,9988598043,11401957,24159,100024629661,62986500,98145,11090159,63800,553923400,2715187,29462087,28766996,2729523,117968400,997270477,999989525,10475,1397472402,998538306,1461694,38355994,7106800,5120,9594120,999999998,2,999903702,96298,9588998,1000,1000,1000,1000,1000,1000,1000,100024485214,62879600,104946,10989426,273800,552828800,2441674,29133524,28794540,2618349,117540000,997381651,999999369,631,1398281420,998444880,1555120,38392720,7050200,4980,9603160,1000000000,0,999897720,102280,9598180,1000,1000,1000,1000,1000,1000,1000,100024691164,63106000,137256,10810456,315200,555091200,3841302,30646252,28782480,2657580,117946800,997342420,999995320,4680,1398471240,998605760,1394240,38376640,7131400,0,9594160,1000000000,0,999901940,98060,9594160,1000,1000,1000,1000,1000,1000,1000,100024713936,63056000,98044,10698884,348000,554633600,3344034,30126634,28754220,2620850,117924600,997379150,999995510,4490,1398133060,998641140,1358860,38338960,7094300,5240,9589980,1000000000,0,999906060,93940,9584740,1000,1000,1000,1000,1000,1000,1000
4000,93890,623911,30000000,180000000,10000,60000,9997267363806,93930145,107187788,847,29906110,2000,48,1410617,59810526,8149212551,11850787449,12478697049,9988194523,11805477,41549,100040064614,98342000,69146,15551946,23200,867480800,3762137,45686937,43716840,2564116,185152200,997435884,999999036,964,1340169920,999071580,928420,58289120,11996500,5300,14577580,1000000000,0,999920120,79880,14572280,1000,1000,1000,1000,1000,1000,1000,100039790957,98228300,152472,15542160,298900,866294200,2396869,44261719,43787271,2630138,184703100,997369862,999998581,1419,1340892443,998907172,1092828,58383028,11940900,3,14595760,1000000000,0,999902843,97157,14595757,1000,1000,1000,1000,1000,1000,1000,100040091370,98464900,89353,15608570,32600,868601000,3377643,45357093,43779178,2566194,185340900,997433806,999999035,965,1340234841,999046263,953737,58372237,12034400,5020,14598080,999999999,1,999912941,87059,14593059,1000,1000,1000,1000,1000,1000,1000,100039847003,98209900,134977,15752874,62100,866135800,2213042,44070292,43742617,2563928,184811700,997436072,999999488,512,1340464960,998906943,1093057,58320457,11991700,3,14586940,999990903,9097,999917560,82440,14577840,1000,1000,1000,1000,1000,1000,1000
5000,97810,632121,40000000,240000000,10000,60000,9996494963423,96218724,109569362,820,39902190,2000,451,1402898,79802740,7666429547,12333570453,13192072953,9988111322,11888678,59062,100055131389,133479000,145971,20413310,62700,1178824400,4321990,61313640,58712159,2503639,252072900,997496361,999999459,541,1281854020,999244161,755839,78281139,16962300,1,19574200,999994781,5219,999926720,73280,19568980,1000,1000,1000,1000,1000,1000,1000,100054999795,133313500,51057,20295104,292800,1177155000,1860561,58768561,58771031,2479413,251297400,997520587,999990297,9703,1283801484,999056753,943247,78359747,16902000,1,19593600,999995117,4883,999908784,91216,19588716,1000,1000,1000,1000,1000,1000,1000,100055092269,133498200,141051,20576331,29900,1178980400,2519562,59518562,58770620,2509121,251829300,997490879,999998661,1339,1283214240,999128320,871680,78359180,17010300,0,19593500,999995060,4940,999911640,88360,19588560,1000,1000,1000,1000,1000,1000,1000,100055077931,133440600,147904,20475109,75300,1178459600,2793015,59766665,58722470,2507960,251848800,997492040,999990305,9695,1282606345,999176975,823025,78296625,16980400,5320,19579480,999999995,5,999919145,80855,19574155,1000,1000,1000,1000,1000,1000,1000
6000,92800,633138,50000000,300000000,10000,60000,9995770859201,96204553,109570868,10076,49907200,2000,5788,1394467,99794248,7229071254,12770928746,13860110646,9988104993,11895007,76841,100070273917,168564000,67652,25048463,277900,1489647200,3492883,75525333,73724334,2475379,318677400,997524621,999999802,198,1224412923,999321889,678111,98299111,21944800,5820,24580600,999999997,3,999924323,75677,24574777,1000,1000,1000,1000,1000,1000,1000,100070062841,168367300,117382,25167238,299300,1487809000,2236477,74178627,73709957,2436225,318047700,997563775,999998566,1434,1225804841,999224084,775916,98278316,21898900,1,24573240,999995120,4880,999914641,85359,24568359,1000,1000,1000,1000,1000,1000,1000,100070258810,168608700,46059,25148148,276200,1489983000,2386894,74434744,73791832,2545353,318513900,997454647,999998576,1424,1225462023,999218991,781009,98389109,21974600,2,24597280,999999999,1,999915723,84277,24597277,1000,1000,1000,1000,1000,1000,1000,100070215631,168536200,132389,25359806,63400,1489441200,3199320,75222370,73704537,2520535,318542700,997479465,999999575,425,1225157340,999281003,718997,98270897,22004100,3,24571820,999994543,5457,999923740,76260,24566360,1000,1000,1000,1000,1000,1000,1000
7000,95380,630572,60000000,360000000,10000,60000,9995092890920,91799187,105242737,1485,59904620,2000,5818,1406780,119806270,6832835707,13167164293,14486148293,9988057820,11942180,94590,100085298660,203543400,34640,29956400,298300,1799466000,3058051,90081751,88715100,2417474,385237200,997582526,999999874,126,1166434000,999356400,643600,118286800,26908200,4760,29576460,1000000000,0,999924300,75700,29571700,1000,1000,1000,1000,1000,1000,1000,100084955916,203224600,133707,30156084,326500,1796501200,1804222,88682472,88667878,2527335,384100500,997472665,999998976,1024,1169307641,999212063,787937,118223837,26852500,4980,29560940,999999999,1,999912141,87859,29555959,1000,1000,1000,1000,1000,1000,1000,100085392151,203707900,52969,30260787,30000,1800991000,2783640,89882090,88762838,2496168,385247700,997503832,999999508,492,1168072240,999356502,643498,118347098,26982300,2,29594320,999989942,10058,999926740,73260,29584260,1000,1000,1000,1000,1000,1000,1000,100085357150,203671400,114373,30038510,272800,1800757200,3628897,90717297,88710698,2518813,385341600,997481187,999999354,646,1167240041,999376243,623757,118279457,27026500,0,29573180,999995579,4421,999925841,74159,29568759,1000,1000,1000,1000,1000,1000,1000
8000,94950,635858,70000000,420000000,10000,60000,9994447609026,92418205,105817380,10327,69905050,2000,5198,1381929,139789446,6474098031,13525901969,15073074669,9988094791,11905209,112037,100100290524,238700200,128756,35238736,56600,2110840400,3520369,105610369,103761720,2600628,451971600,997399372,999994588,5412,1109217360,999425240,574760,138348960,31885600,4580,34591820,1000000000,0,999932960,67040,34587240,1000,1000,1000,1000,1000,1000,1000,100100232646,238384200,33394,34947294,258800,2108026800,2585381,104539031,103647620,2474407,450788400,997525593,999999987,13,1112417180,999385560,614440,138195040,31849800,5480,34558260,999994640,5360,999929480,70520,34547420,1000,1000,1000,1000,1000,1000,1000,100100303944,238550800,28456,35320395,26800,2109524000,1687946,103714346,103726539,2449124,451327200,997550876,999999924,76,1111299400,999265461,734539,138300339,31989000,5261,34584200,999994861,5139,999924200,75800,34573800,1000,1000,1000,1000,1000,1000,1000,100100440530,238640600,50350,34903410,305300,2110538000,3416648,105495198,103667220,2415859,451765800,997584141,999999119,881,1109946960,999402840,597160,138222960,32047800,5460,34561200,1000000000,0,999927760,72240,34555740,1000,1000,1000,1000,1000,1000,1000
9000,94570,629153,80000000,480000000,10000,60000,9993834632684,94953270,108385940,10245,79905430,2000,63216,1388400,159790370,6149720354,13850279646,15627182046,9988085740,11914260,130010,100115332914,273567500,28849,40132186,53800,2419679000,3096806,120130806,118712458,2449596,518173200,997550404,999998617,1383,1052193121,999417163,582837,158281537,36869800,0,39574300,999994779,5221,999930421,69579,39569079,1000,1000,1000,1000,1000,1000,1000,100115175957,273377100,105623,40221182,27600,2417986200,2840395,119792395,118632799,2491962,517370100,997508038,999999922,78,1054728360,999407361,592639,158173939,36849600,1,39550520,999990621,9379,999931960,68040,39541140,1000,1000,1000,1000,1000,1000,1000,100115411565,273664700,41258,40156955,77800,2420671000,2471839,119555689,118715878,2609351,518122200,997390649,999999392,608,1053428241,999383263,616737,158287837,36999600,4800,39576760,999999999,1,999925041,74959,39571959,1000,1000,1000,1000,1000,1000,1000,100115400332,273697100,108688,40236108,20400,2421027000,2726691,119828741,118696080,2478199,518353500,997521801,999999039,961,1052715740,999422560,577440,158261440,37027100,5020,39570380,1000000000,0,999927640,72360,39565360,1000,1000,1000,1000,1000,1000,1000
