Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
600000,34542890,626532,6000000000,36000000000,10000,60000,9931293021668,10126475,6704516750,3890,5965457110,1000,10829,2938535,11930906440,1206603743,18793396257,19286067357,9901406925,98593075,6592858665,114930470997,36270898100,198494,7767737,6306367100,320029527400,20531379439,35999362639,16005307800,999835923,55575671400,164077,992620820,7379180,113797,21172897,978827103,21340407103,5239454700,46,5335109240,999990109,9891,999832397,167603,5335099303,1000,1000,1000,1000,1000,1000,1000
601000,34542940,629582,6000010000,36000060000,10000,60000,9931300449585,2601566,6697008854,2410,5965467060,1000,6230,2941788,11930929300,1206606651,18793393349,19286064449,9901404452,98595548,6592869952,114930467477,36270956500,225480,7770398,6306401400,320030049800,20531415638,35999424188,16005334277,999833872,55575756900,166128,992624091,7375909,119119,21171242,978828758,21340442658,5239463800,45,5335117560,999990866,9134,999831019,168981,5335108381,1000,1000,1000,1000,1000,1000,1000
602000,34572100,634362,6010010000,36060060000,10000,60000,9931191722581,11404874,6717164262,12099,5975437900,1000,6847,2918886,11950851602,1206575655,18793424345,19286009045,9901524594,98475406,6604365096,114955983274,36330215800,177943,8211465,6314328700,320555080400,20566003241,36059418791,16030672941,999919845,55667370000,80155,992541084,7458916,36539,21205398,978794602,21374229902,5248011100,8601,5343567620,999997942,2058,999827739,172261,5343556961,1000,1000,1000,1000,1000,1000,1000
603000,34600150,627515,6020010000,36120060000,10000,60000,9931100514360,2735927,6719882338,10674,5985409850,1000,68589,2921159,11970798352,1206594387,18793405613,19285907813,9901644681,98355319,6615869933,114981496402,36389497100,184955,8060098,6322848100,321080371800,20600527796,36119363896,16055992902,999947258,55758908100,52742,992485977,7514023,36519,21284017,978715983,21407990183,5256573100,8920,5352007260,999998941,1059,999827619,172381,5351997281,1000,1000,1000,1000,1000,1000,1000
604000,34629280,620502,6030010000,36180060000,10000,60000,9931001758603,1617029,6730117182,11770,5995380720,1000,11344,2918353,11990737900,1206612532,18793387468,19285802868,9901786467,98213533,6627368267,115006919068,36448765600,256908,7914412,6331484700,321605517600,20635179004,36179428154,16081324716,999883156,55850376900,116844,992402048,7597952,103492,21309076,978690924,21441765824,5265156100,8780,5360451280,999998608,1392,999826192,173808,5360441108,1000,1000,1000,1000,1000,1000,1000
605000,34658050,643324,6040010000,36240060000,10000,60000,9930892147186,11382250,6751293178,3517,6005351950,1000,10648,2939062,12010696866,1206661036,18793338964,19285669664,9901878938,98121062,6638850804,115032439954,36508057900,189472,8163567,6339657900,322130807000,20669737828,36239406028,16106712237,999952533,55941979800,47467,992301675,7698325,18442,21275005,978724995,21475614895,5273725000,79,5368907000,999995737,4263,999818842,181158,5368902658,1000,1000,1000,1000,1000,1000,1000
606000,34686160,630799,6050010000,36300060000,10000,60000,9930801065368,2579474,6753819759,10320,6015323840,1000,5736,2921945,12030627040,1206672042,18793327958,19285575658,9902020975,97979025,6650339315,115057934196,36567352300,159051,7907011,6348379700,322656026200,20704340865,36299423465,16132073629,999868683,56033411100,131317,992227132,7772868,110749,21238120,978761880,21509431280,5282308700,7453,5377365780,999999324,676,999829449,170551,5377357651,1000,1000,1000,1000,1000,1000,1000
607000,34715460,630954,6060010000,36360060000,10000,60000,9930701045946,2741844,6765387541,2411,6025294540,1000,58016,2941739,12050584258,1206705990,18793294010,19285454310,9902118881,97881119,6661822839,115083407410,36626652200,180501,8121721,6356622500,323181405200,20738864730,36359371030,16157428177,999961261,56125021800,38739,992149098,7850902,27537,21255960,978744040,21543236740,5290880300,8629,5385819680,999997512,2488,999831037,168963,5385808563,1000,1000,1000,1000,1000,1000,1000
608000,34744100,629385,6070010000,36420060000,10000,60000,9930602433143,1463850,6775478049,2409,6035265900,1000,5758,2937817,12070526982,1206706993,18793293007,19285367807,9902225563,97774437,6673301945,115108861919,36685961700,155429,7758497,6365508800,323706723400,20773499857,36419424857,16182834464,999864179,56216427300,135821,992068995,7931005,130016,21175352,978824648,21577112348,5299450600,8524,5394287220,999999188,812,999833816,166184,5394277884,1000,1000,1000,1000,1000,1000,1000
609000,34772080,634617,6080010000,36480060000,10000,60000,9930501426781,2590041,6788054642,10365,6045237920,1000,11388,2923191,12090455110,1206720922,18793279078,19285269578,9902251669,97748331,6684793079,115134344510,36745231700,145504,7739650,6373854600,324231880200,20808075445,36479413995,16208189344,999864237,56307971100,135763,991967875,8032125,113138,21290094,978709906,21610918706,5307913700,8220,5402738840,999998742,1258,999825238,174762,5402729362,1000,1000,1000,1000,1000,1000,1000
610000,34801190,620636,6090010000,36540060000,10000,60000,9930392790934,11366312,6808266566,2138,6055208810,1000,61374,2940110,12110413344,1206757946,18793242054,19285149054,9902314570,97685430,6696274714,115159781061,36804540900,172905,7644634,6382436300,324757257800,20842616990,36539377990,16233569731,999852607,56399478600,147393,991885029,8114971,125422,21290491,978709509,21644759409,5316453200,8145,5411198520,999999303,697,999829222,170778,5411189678,1000,1000,1000,1000,1000,1000,1000
611000,34830350,640885,6100010000,36600060000,10000,60000,9930301653920,2579288,6810827295,12132,6065179650,1000,5791,2915671,12130335036,1206726208,18793273792,19285094092,9902430969,97569031,6707763305,115185223454,36863817500,170063,7840719,6390724900,325282388600,20877241224,36599413324,16258957135,999867040,56491012800,132960,991796679,8203321,109339,21260504,978739496,21678607696,5325002700,47,5419656060,999994548,5452,999822739,177261,5419650561,1000,1000,1000,1000,1000,1000,1000
612000,34858360,635541,6110010000,36660060000,10000,60000,9930201796637,2578881,6822261251,2147,6075151640,1000,6216,2938784,12150298986,1206765518,18793234482,19284973182,9902506936,97493064,6719250522,115210716313,36923115700,174257,7735326,6399242100,325807745800,20911823593,36659418243,16284301079,999874036,56582548500,125964,991715626,8284374,102890,21306511,978693489,21712400989,5333555400,8421,5428109680,999998651,1349,999826490,173510,5428099910,1000,1000,1000,1000,1000,1000,1000
613000,34886680,634661,6120010000,36720060000,10000,60000,9930094353481,10132508,6841181735,3628,6085123320,1000,11032,2936243,12170239384,1206769789,18793230211,19284886511,9902634377,97365623,6730747361,115236210168,36982387600,184345,7711305,6407684300,326332876800,20946407957,36719414307,16309627151,999864577,56674053900,135423,991654748,8345252,133871,21344520,978655480,21746166880,5342126400,8087,5436555780,999992036,7964,999835171,164829,5436539729,1000,1000,1000,1000,1000,1000,1000
614000,34914540,636470,6130010000,36780060000,10000,60000,9930001892271,2693059,6845147014,3941,6095095460,1000,58500,2933017,12190183038,1206759430,18793240570,19284806470,9902712763,97287237,6742233701,115261658857,37041682900,187606,8080487,6415795000,326858119400,20980942930,36779365030,16335015382,999962790,56765646000,37210,991591311,8408689,62621,21328439,978671561,21780014961,5350662100,96,5445016320,999983355,16645,999839121,160879,5444999579,1000,1000,1000,1000,1000,1000,1000
615000,34943390,645926,6140010000,36840060000,10000,60000,9929903248918,1450177,6855242598,10641,6105066610,1000,59181,2920783,12210111938,1206768095,18793231905,19284712005,9902855137,97144863,6753726775,115287156824,37100948800,148768,7881991,6424412100,327383240800,21015520943,36839354893,16360373207,999875400,56857113600,124600,991476364,8523636,120864,21319057,978680943,21813827643,5359240300,45,5453464380,999990101,9899,999826464,173536,5453454436,1000,1000,1000,1000,1000,1000,1000
