Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989102918,9998490,9998490,0,0,1000,0,0,0,9999001408,10000998592,10000998592,10000000000,0,0,99999900287,0,100713,100713,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1313250,628207,10000000,60000000,10000,60000,9998969214702,92341912,114569484,764,8686750,1000,10865,7975500,17371972,9131762414,10868237586,10921691886,9985793140,14206860,45212,100013383662,50622900,93673,16996654,560900,433186600,38614628,59360928,28016266,29278597,90248100,970721403,999997542,2458,1417264645,991887379,8112621,37355021,3119900,12504,9351260,999999999,1,999791545,208455,9338755,1000,1000,1000,1000,1000,1000,1000
3000,1897790,636456,20000000,120000000,10000,60000,9998122258113,83622726,121263387,1424,18102210,1000,10973,12624189,36201572,8374419839,11625580161,11748930961,9975273751,24726249,290223,100047376806,140381800,125984,32669508,776400,1219319600,60692821,119352571,69832294,113324200,258720300,886675800,999970330,29670,1263295330,989967236,10032764,93104864,11185100,6,23287160,999985416,14584,999789730,210270,23272570,1000,1000,1000,1000,1000,1000,1000
4000,2345630,638993,30000000,180000000,10000,60000,9997339762634,82842044,131800923,771,27654370,1000,5887,16066381,55307198,7690510778,12309489222,12499681922,9967909679,32090321,802177,100088437586,241966700,38063,48989572,73400,2113880600,77483420,179355120,115268752,222064564,451663500,777935436,999984247,15753,1087726983,989413731,10586269,153691669,22414700,15722,38438640,999999999,1,999800383,199617,38422917,1000,1000,1000,1000,1000,1000,1000
5000,2724130,629003,40000000,240000000,10000,60000,9996629399518,75101580,132638769,9760,37275870,1000,6272,18710369,74532220,7072049998,12927950002,13182968202,9962764271,37235729,1591091,100132988785,349649400,15555,64985095,181100,3064464400,91541875,239364725,162642360,343470634,656907600,656529366,999997814,2186,901508980,989080120,10919880,216856480,35705400,16640,54230760,1000000000,0,999789580,210420,54214120,1000,1000,1000,1000,1000,1000,1000
6000,3056670,627714,50000000,300000000,10000,60000,9995969430766,75943373,140179138,9851,46943330,1000,11332,20832307,93866958,6512669339,13487330661,13805363461,9959229873,40770127,2633331,100179934313,461235100,22467,81049020,459000,4050949400,103831004,299360954,211137393,472991137,870019200,527008863,999999097,903,708975160,988915767,11084233,281505433,50463500,7,70401320,999966727,33273,999807160,192840,70368040,1000,1000,1000,1000,1000,1000,1000
7000,3358660,633399,60000000,360000000,10000,60000,9995367374621,72136418,141778867,9807,56641340,1000,11027,22546883,113263066,6006619739,13993380261,14373094361,9956801537,43198463,3897103,100228316245,575417100,101716,97404113,678600,5061432600,114943174,359355574,260424304,608002395,1088426400,391997605,999982082,17918,512265587,988838083,11161917,347226917,66167500,2,86819080,999983535,16465,999789687,210313,86802613,1000,1000,1000,1000,1000,1000,1000
8000,3634240,628104,70000000,420000000,10000,60000,9994809939796,71953471,146051171,9846,66365760,1000,5718,23937472,132711828,5548848867,14451151133,14892276233,9955188028,44811972,5348256,100277979070,691504800,101365,113755785,850900,6089464800,125212728,419366178,310227465,747205565,1310874000,252794435,999978010,21990,311647345,988920780,11079220,413636620,82551600,16945,103426100,1000000000,0,999788745,211255,103409155,1000,1000,1000,1000,1000,1000,1000
9000,3892260,630754,80000000,480000000,10000,60000,9994297339275,70509858,148309045,9868,76107740,1000,63039,25074643,152195744,5134676833,14865323167,15367163167,9954229497,45770503,6954041,100328382021,808884900,106944,130473797,896100,7129284200,134836557,479306207,360467948,889086689,1535906700,110913311,999957244,42756,109030555,988904107,11095893,480618393,99471200,2,120167060,999983387,16613,999795155,204845,120150445,1000,1000,1000,1000,1000,1000,1000
