Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
600000,34542890,626532,6000000000,36000000000,1500000000,60000,9931293021668,10126475,6704516750,3890,5965457110,1000,10829,2938535,11930906440,1206603743,18793396257,19286067357,9901406925,98593075,6592858665,114930470997,36270898100,198494,7767737,6306367100,320029527400,20531379439,35999362639,16005307800,999835923,55575671400,164077,992620820,7379180,113797,21172897,978827103,21340407103,5239454700,46,5335109240,999990109,9891,999832397,167603,5335099303,1000,1000,1000,1000,1000,1000,1000
601000,1534532920,629516,7500000000,36000060000,0,60000,9931291802250,11248748,6705654878,2439,5965467080,1000,6151,2941048,11930929282,1206606498,18793393502,19286064502,9901405172,98594828,6592870254,114930519080,36270961800,177312,7667138,6306447300,320030089200,20531413983,35999424333,16005326110,999822959,55575752700,177041,992617323,7382677,123364,21180854,978819146,21340434546,5239464200,8742,5335117980,999999198,802,999832664,167336,5335108436,1000,1000,1000,1000,1000,1000,1000
602000,1524533410,630191,7500000000,36060060000,0,60000,9931192931540,10268964,6716088556,12154,5975466590,1000,5747,2927620,11950908872,1206650604,18793349396,19285937696,9901504640,98495360,6604396612,114955972530,36330254400,157044,7683190,6314922000,320555352800,20565996312,36059424062,16030727564,999845808,55667268900,154192,992551366,7448634,117258,21136494,978863506,21374303206,5248016900,8360,5343584640,999999362,638,999823258,176742,5343575642,1000,1000,1000,1000,1000,1000,1000
603000,1514534240,640299,7500000000,36120060000,0,60000,9931093228614,10127325,6727409798,10425,5985465760,1000,6375,2937503,11970910670,1206705839,18793294161,19285802661,9901573537,98426463,6615918507,114981349710,36389566800,234909,7913626,6323282600,321080708000,20600564926,36119413326,16056130030,999892968,55758816000,107032,992489141,7510859,87673,21093343,978906657,21408167757,5256565700,84,5352054660,999983151,16849,999832273,167727,5352037727,1000,1000,1000,1000,1000,1000,1000
604000,1504534790,628642,7500000000,36180060000,0,60000,9931000910805,2607845,6731372655,10397,5995465210,1000,68730,2935384,11990909626,1206759850,18793240150,19285661050,9901641116,98358884,6627470542,115006832257,36448842400,231414,7816860,6331760700,321605853600,20635102078,36179362628,16081475903,999855308,55850311200,144692,992399165,7600835,122957,21157554,978842446,21441962046,5265080200,83,5360503700,999982526,17474,999835157,164843,5360486143,1000,1000,1000,1000,1000,1000,1000
605000,1494535490,624958,7500000000,36240060000,0,60000,9930892296774,11405629,6751685275,2436,6005464510,1000,68083,2939598,12010924148,1206842503,18793157497,19285498197,9901677742,98322258,6639017790,115032220741,36508138300,250605,8156493,6339921400,322131142200,20669687859,36239366959,16106891910,999946352,55941910200,53648,992313634,7686366,26582,21139472,978860528,21475854528,5273584100,86,5368966760,999995944,4056,999817482,182518,5368962618,1000,1000,1000,1000,1000,1000,1000
606000,1484536100,619914,7500000000,36300060000,0,60000,9930793742758,10115487,6761815304,11916,6015463900,1000,62592,2920349,12030903968,1206893845,18793106155,19285363055,9901773931,98226069,6650553399,115057739002,36567433200,197929,8109692,6348377100,322656412800,20704280844,36299377494,16132268420,999962635,56033429400,37365,992249712,7750288,30177,21141357,978858643,21509687543,5282124500,46,5377430220,999988949,11051,999820777,179223,5377419123,1000,1000,1000,1000,1000,1000,1000
607000,1474536700,627943,7500000000,36360060000,0,60000,9930692763814,11256864,6774439351,3878,6025463300,1000,68273,2939043,12050918844,1206950378,18793049622,19285222622,9901854517,98145483,6662097961,115083176933,36626730500,245070,7719868,6357231700,323181728200,20738847084,36359363784,16157614759,999833986,56124864300,166014,992128587,7871413,121601,21175342,978824658,21543485558,5290675400,8679,5385881840,999997638,2362,999826301,173699,5385870799,1000,1000,1000,1000,1000,1000,1000
608000,1464537370,631313,7500000000,36420060000,0,60000,9930601439215,2712947,6777353281,3761,6035462630,1000,68985,2943296,12070917738,1206979162,18793020838,19285112238,9901936724,98063276,6673633762,115108691493,36686019400,169772,7830926,6365546000,323706870800,20773432702,36419359702,16183003129,999851305,56216374200,148695,992072860,7927140,130155,21133526,978866474,21577334374,5299220700,41,5394340680,999990606,9394,999834155,165845,5394331245,1000,1000,1000,1000,1000,1000,1000
609000,1454538050,632680,7500000000,36480060000,0,60000,9930494169698,10132451,6796265990,3879,6045461950,1000,6325,2946497,12090916142,1207029349,18792970651,19284983051,9901992223,98007777,6685179265,115134191939,36745306600,186609,7695962,6374031800,324232194800,20808072145,36479420995,16208337089,999880413,56307923700,119587,992010529,7989471,117716,21249227,978750773,21611110473,5307729100,59,5402790380,999983063,16937,999835516,164484,5402773384,1000,1000,1000,1000,1000,1000,1000
610000,1444538670,630661,7500000000,36540060000,0,60000,9930393058992,11375727,6808981791,10405,6055461330,1000,11139,2923914,12110901850,1207059019,18792940981,19284869881,9902041546,97958454,6696723696,115159598434,36804589800,198086,7814547,6382377600,324757338800,20842658250,36539418200,16233728661,999866641,56399436600,133359,991912881,8087119,117340,21260179,978739821,21644970121,5316219700,8499,5411254240,999995719,4281,999828440,171560,5411241460,1000,1000,1000,1000,1000,1000,1000
611000,1434539430,621722,7500000000,36600060000,0,60000,9930294427605,10133438,6819206479,10668,6065460570,1000,67965,2926337,12130899804,1207077743,18792922257,19284761057,9902109043,97890957,6708255747,115184990396,36863911600,242448,7791938,6390948900,325282781600,20877185413,36599370313,16259142918,999859934,56490951000,140066,991812982,8187018,114248,21219330,978780670,21678855570,5324753100,106,5419717720,999995038,4962,999829148,170852,5419712652,1000,1000,1000,1000,1000,1000,1000
612000,1424540280,640892,7500000000,36660060000,0,60000,9930194577238,10134686,6830673509,2145,6075459720,1000,11579,2936873,12150915150,1207123024,18792876976,19284632076,9902194927,97805073,6719796877,115210468951,36923183000,232085,8105670,6399091800,325807914000,20911810779,36659407529,16284510297,999957520,56582532300,42480,991771832,8228168,59212,21216015,978783985,21712674785,5333313200,79,5428181400,999983167,16833,999825012,174988,5428164488,1000,1000,1000,1000,1000,1000,1000
613000,1414540920,634621,7500000000,36720060000,0,60000,9930093460583,11362139,6843364330,11795,6085459080,1000,63385,2922821,12170894570,1207130522,18792869478,19284541878,9902256499,97743501,6731335869,115235993877,36982483900,177079,7804509,6407745400,326333191800,20946347994,36719361994,16309874502,999878531,56673993900,121469,991673083,8326917,122152,21263050,978736950,21746493850,5341815200,74,5436635880,999983542,16458,999836552,163448,5436619348,1000,1000,1000,1000,1000,1000,1000
614000,1404541570,624299,7500000000,36780060000,0,60000,9930002410414,2549236,6846004570,10388,6095458430,1000,62525,2928050,12190896084,1207163850,18792836150,19284428650,9902355410,97644590,6742882694,115261361997,37041760600,248713,7889952,6416189100,326858401200,20980943176,36779373176,16335252169,999897685,56765524200,102315,991594255,8405745,104070,21255001,978744999,21780335599,5350368800,31,5445085340,999998121,1879,999817170,182830,5445083430,1000,1000,1000,1000,1000,1000,1000
615000,1394542180,624010,7500000000,36840060000,0,60000,9929893861426,11235625,6866114891,10420,6105457820,1000,6661,2923166,12210894800,1207197551,18792802449,19284311149,9902470834,97529166,6754426934,115286918947,37101046600,175678,8137473,6424318400,327383630000,21015583279,36839429329,16360601570,999942939,56857123200,57061,991487414,8512586,35775,21264505,978735495,21814134395,5358938700,8780,5453544700,999996905,3095,999821675,178325,5453532825,1000,1000,1000,1000,1000,1000,1000
616000,1384542990,629541,7500000000,36900060000,0,60000,9929795145078,10112249,6876487872,3790,6115457010,1000,6199,2937583,12230906440,1207251227,18792748773,19284171773,9902528717,97471283,6765966757,115312379299,37160348800,174562,7759741,6433143300,327908952800,21050158310,36899424260,16385979966,999863388,56948559300,136612,991404975,8595025,118587,21273621,978726379,21847972979,5367468400,8160,5462002100,999999073,927,999823887,176113,5461993013,1000,1000,1000,1000,1000,1000,1000
617000,1374543680,625239,7500000000,36960060000,0,60000,9929694152589,11214803,6889045506,10425,6125456320,1000,11812,2924913,12250891790,1207256092,18792743908,19284081108,9902602247,97397753,6777508037,115337851291,37219643200,161050,8169129,6441159100,328434164000,21084743099,36959422949,16411349086,999965868,57040163100,34132,991342015,8657985,38947,21291661,978708339,21881798539,5375986000,8660,5470458840,999999273,727,999834047,165953,5470449453,1000,1000,1000,1000,1000,1000,1000
618000,1364544460,635822,7500000000,37020060000,0,60000,9929602965865,2536022,6891862473,3784,6135455540,1000,6113,2938439,12270903512,1207284087,18792715913,19283967913,9902657861,97342139,6789045873,115363226216,37278948000,247120,7833243,6450037800,328959540800,21119315265,37019418065,16436741335,999861432,57131604600,138568,991227944,8772056,114512,21295277,978704723,21915652423,5384515500,41,5478919200,999991929,8071,999831312,168688,5478911088,1000,1000,1000,1000,1000,1000,1000
619000,1354545300,617139,7500000000,37080060000,0,60000,9929504026909,1592942,6902367716,10440,6145454700,1000,68061,2922854,12290888520,1207295251,18792704749,19283872349,9902735686,97264314,6800587606,115388661966,37338216000,259334,7938152,6458377400,329484619200,21153863100,37079374800,16462104658,999899815,57223119600,100185,991187915,8812085,120500,21321842,978678158,21949472358,5393036600,8802,5487378060,999998442,1558,999824900,175100,5487367700,1000,1000,1000,1000,1000,1000,1000
620000,1344545920,632110,7500000000,37140060000,0,60000,9929403192910,2546705,6914810431,10385,6155454080,1000,62668,2919736,12310887390,1207307915,18792692085,19283772185,9902790724,97209276,6812134714,115414171668,37397502900,219019,7881872,6466794000,330009862600,21188436672,37139365222,16487469342,999874503,57314651400,125497,991068932,8931068,114329,21376087,978623913,21983291813,5401543400,8540,5495832940,999998071,1929,999823329,176671,5495822471,1000,1000,1000,1000,1000,1000,1000
621000,1334546660,631488,7500000000,37200060000,0,60000,9929295747641,10109762,6933830620,10366,6165453340,1000,68992,2920510,12330885948,1207320303,18792679697,19283675997,9902870930,97129070,6823671278,115439691676,37456809600,158702,7810823,6475276200,330535198400,21223010820,37199359520,16512851087,999880749,57406170600,119251,990990375,9009625,113326,21365839,978634161,22017133761,5410085600,8421,5504294160,999996935,3065,999829526,170474,5504282674,1000,1000,1000,1000,1000,1000,1000
622000,1324547200,627831,7500000000,37260060000,0,60000,9929194647424,11367385,6946562935,10648,6175452800,1000,6294,2923146,12350884304,1207365609,18792634391,19283536691,9902958454,97041546,6835230858,115465178252,37516076200,190905,7780528,6483656700,331060355600,21257663175,37259425875,16538159642,999894440,57497711400,105560,990914759,9085241,118019,21483977,978516023,22050878723,5418611900,8820,5512730300,999997601,2399,999831719,168281,5512719081,1000,1000,1000,1000,1000,1000,1000
623000,1314547850,635606,7500000000,37320060000,0,60000,9929094902574,11218051,6957843777,12191,6185452150,1000,62655,2924908,12370879918,1207370025,18792629975,19283452075,9903078472,96921528,6846779290,115490718772,37575350100,153368,8057790,6491756500,331585488200,21292187489,37319361739,16563493882,999956871,57589298700,43129,990848451,9151549,69480,21514798,978485202,22084653002,5427179100,78,5521175720,999983478,16522,999842480,157520,5521159120,1000,1000,1000,1000,1000,1000,1000
624000,1304548720,639110,7500000000,37380060000,0,60000,9929004661839,1580457,6959620209,11809,6195451280,1000,10602,2915210,12390878942,1207388696,18792611304,19283352704,9903205070,96794930,6858329612,115516093959,37634637800,242310,7827104,6500553200,332110772400,21326816738,37379410288,16588868597,999897927,57680752500,102073,990774550,9225450,135223,21496126,978503874,22118485874,5435754400,77,5529634120,999983234,16766,999833423,166577,5529617277,1000,1000,1000,1000,1000,1000,1000
