Time,H2O,OH-,H3PO4,H2PO4_1-,HPO4_2-,PO4_3-,H+
0,200000000000000,31737400,20000000000000,0,0,0,31737400
10,200000031735404,1996,15846320421206,4153662951179,16627149,466,4153696208871
20,200000031737310,90,15343539919984,4656440192300,19887321,395,4656479968217
30,200000031735288,2112,15422264371123,4577717622923,18005499,455,4577753637398
40,200000031737296,104,15311963665736,4688019138478,17195298,488,4688053530642
50,200000031735438,1962,15496102518280,4503887073885,10407418,417,4503907891934
60,200000031737217,183,15409889090244,4590093874831,17034607,318,4590127945182
70,200000031737304,96,15406317543113,4593660961887,21494620,380,4593703952363
80,200000031735259,2141,15325895444684,4674084505547,20049450,319,4674124607545
90,200000031737216,184,15386017369469,4613970124158,12505929,444,4613995137532
100,200000031737307,93,15550136683211,4449845379246,17937031,512,4449881254937
110,200000031737302,98,15392456262902,4607524197038,19539596,464,4607563277720
120,200000031735310,2090,15296625589067,4703357118954,17291558,421,4703391705423
130,200000031735315,2085,15427918855232,4572058781522,22362871,375,4572103510474
140,200000031737319,81,15313871118395,4686115880113,13000962,530,4686141883708
150,200000031735337,2063,15418835059806,4581152484831,12454856,507,4581177398127
160,200000031735324,2076,15550087045115,4449900193568,12760890,427,4449925718705
170,200000031735349,2051,15574146520394,4425834088878,19390354,374,4425872872759
180,200000031737220,180,15313506004566,4686480776970,13218065,399,4686507214477
190,200000031737310,90,15425426503056,4574554436892,19059544,508,4574592557594
200,200000031735456,1944,15420659354601,4579329262825,11382156,418,4579352030335
210,200000031735438,1962,15167647859576,4832330478291,21661795,338,4832373804857
220,200000031735293,2107,15470080340418,4529909191542,10467632,408,4529930130137
230,200000031737210,190,15531805657773,4468180885912,13455975,340,4468207799072
240,200000031737207,193,15343133807152,4656851954181,14238156,511,4656880432219
250,200000031737250,150,15390505979431,4609474382782,19637419,368,4609513658874
260,200000031737207,193,15386723157483,4613259358064,17484061,392,4613294327555
270,200000031735423,1977,15492345746350,4507634810711,19442381,558,4507673699124
280,200000031735317,2083,15281705535208,4718283888506,10575685,601,4718305043762
290,200000031735402,1998,15366177016195,4633805549511,17433867,427,4633840420524
300,200000031737167,233,15412281441269,4587701586635,16971554,542,4587735531602
310,200000031735437,1963,15314738333859,4685251622950,10042813,378,4685271711673
320,200000031737204,196,15516330279434,4483659018202,10702012,352,4483680423478
330,200000031735364,2036,15343953333949,4656030221232,16444418,401,4656063113307
340,200000031737300,100,15362921752055,4637067637519,10609908,518,4637088858989
350,200000031735274,2126,15438981845280,4561002618967,15535370,383,4561033692982
360,200000031735396,2004,15556625985727,4443353691126,20322791,356,4443394339780
370,200000031735321,2079,15443511562769,4556470971594,17465285,352,4556505905299
380,200000031737318,82,15375138972872,4624850111110,10915583,435,4624871943663
390,200000031735313,2087,15292864435750,4707121756334,13807440,476,4707149374729
400,200000031735265,2135,15507989323819,4491995492344,15183302,535,4492025862688
410,200000031737303,97,15518450687128,4481532993122,16319500,250,4481565632969
420,200000031735374,2026,15272401655561,4727587894373,10449745,321,4727608796852
430,200000031737215,185,15444177256321,4555811024720,11718538,421,4555834463244
440,200000031737304,96,15335251519105,4664730387815,18092721,359,4664766574430
450,200000031737219,181,15500589518900,4499397363727,13116927,446,4499423599100
460,200000031735398,2002,15408264579518,4591717553176,17866913,393,4591753290183
470,200000031735306,2094,15445277608454,4554710196306,12194808,432,4554734589312
480,200000031735433,1967,15486873730842,4513109707452,16561288,418,4513142833249
490,200000031735344,2056,15425352652888,4574628027034,19319690,388,4574666669634
500,200000031735273,2127,15355415262017,4644571250976,13486465,542,4644598227659
510,200000031735321,2079,15474794248901,4525190187029,15563618,452,4525221317700
520,200000031735395,2005,15520061505830,4479927369608,11124118,444,4479949621181
530,200000031737227,173,15338404844644,4661582040427,13114334,595,4661608271053
540,200000031737293,107,15296244258435,4703742774580,12966638,347,4703768709004
550,200000031735431,1969,15442657347449,4557328470342,14181698,511,4557356837240
560,200000031737212,188,15290661959674,4709323917448,14122231,647,4709352164039
570,200000031737213,187,15460162039486,4539819741632,18218537,345,4539856179928
580,200000031735330,2070,15330151112811,4669827635030,21251658,501,4669870141919
590,200000031735339,2061,15484145116563,4515844332352,10550721,364,4515865436947
600,200000031737307,93,15498503960158,4501485803332,10236097,413,4501506276858
610,200000031735440,1960,15292230854405,4707756201838,12943293,464,4707782091776
620,200000031737212,188,15576517860267,4423463146707,18992582,444,4423501133391
630,200000031735264,2136,15529310062387,4470669533084,20403995,534,4470710344812
640,200000031737309,91,15363012778880,4636968844343,18376356,421,4637005598409
650,200000031735321,2079,15446717090842,4553267684007,15224714,437,4553298136825
660,200000031737207,193,15273684481929,4726295292374,20225161,536,4726335744497
670,200000031735356,2044,15249744202545,4750243729126,12067899,430,4750267868258
680,200000031737223,177,15583640176281,4416340353862,19469591,266,4416379294019
690,200000031735426,1974,15219672904956,4780316200742,10893897,405,4780337991725
700,200000031737228,172,15438450003567,4561535221877,14774180,376,4561564771537
710,200000031735354,2046,15268476487874,4731506645648,16866066,412,4731540381062
720,200000031735391,2009,15349573397875,4650413407327,13194251,547,4650439799479
730,200000031735390,2010,15402385213237,4597603463532,11322775,456,4597626112460
