Time\ number,r1_2_200,r2_1_300,r1_2_400,r2_1_500,r1_2_600,r2_1_700,r1_2_800,r2_1_900,Time\ Probability,r1_2_200,r2_1_300,r1_2_400,r2_1_500,r1_2_600,r2_1_700,r1_2_800,r2_1_900
0,200000000000000.0,31739375,20000000000000.0,0,676328350168.0,0,1689792.0,0,0,9.9999999999e-12,0.7545629233535323,0.03381642512077295,7.934343704614004e-07,2.4999937500156254e-06,7.934287046589572e-06,7.999936000511995e-06,2.452429440120546e-06
10,200000031737294.0,1996,15846320421206.0,4689525834940,4689537559294.0,16627149,19882137.0,600,10,9.9999999999e-12,0.9496992956315113,0.03381642512077295,0.10493647766333039,2.4999937500156254e-06,0.509424940731138,7.999936000511995e-06,0.26598798753254305
20,200000031737397.0,90,15829082271725.0,4656440192300,4706180287177.0,31659498,31659759.0,395,20,9.9999999999e-12,0.9498968058269606,0.03381642512077295,0.10427333214644594,2.4999937500156254e-06,0.5405589841084598,7.999936000511995e-06,0.26668070021003787
30,200000031737296.0,2112,15422264371123.0,5099241201115,5099253948849.0,18005592,20661264.0,455,30,9.9999999999e-12,0.9541452069807999,0.03381642512077295,0.11306793015859122,2.4999937500156254e-06,0.5604047730529192,7.999936000511995e-06,0.2613032649652428
40,200000031737395.0,104,15803766273328.0,4688007421137,4688019138478.0,28912561,28912770.0,488,40,9.9999999999e-12,0.95517571301403,0.03381642512077295,0.10490642684907464,2.4999937500156254e-06,0.5418461028533396,7.999936000511995e-06,0.26592551867796793
50,200000031735438.0,3957,15951906556412.0,4503875815346,4503887073885.0,21665791,21665957.0,583,50,9.9999999999e-12,0.9542385407389126,0.03381642512077295,0.10120275333925129,2.4999937500156254e-06,0.5342094388282312,7.999936000511995e-06,0.2617156404515552
60,200000031737217.0,2196,15882394454312.0,4590102978107,4654684237227.0,17034694,7931418.0,318,60,9.9999999999e-12,0.9548691262619197,0.03381642512077295,0.10294026934462715,2.4999937500156254e-06,0.5343491942577338,7.999936000511995e-06,0.26182466725367926
70,200000031737395.0,96,15406317543113.0,5114647470008,5114660251834.0,21494446,21494620.0,554,70,9.9999999999e-12,0.9537313617568344,0.03381642512077295,0.11337087068203121,2.4999937500156254e-06,0.5611480498332496,7.999936000511995e-06,0.2832698286800665
80,200000031735259.0,4173,15814931210111.0,4674095310042,4719862858012.0,20049450,9245030.0,319,80,9.9999999999e-12,0.9500576384746692,0.03381642512077295,0.10462689475288232,2.4999937500156254e-06,0.5388583654285198,7.999936000511995e-06,0.24436621779455042
90,200000031737393.0,184,15386017369469.0,5134264086429,5134276916140.0,12505929,18636542.0,444,90,9.9999999999e-12,0.9544889902160056,0.03381642512077295,0.11375608367998648,2.4999937500156254e-06,0.5356393942395196,7.999936000511995e-06,0.2840478912919473
100,200000031737307.0,2071,15550136683211.0,4975699306377,4449845379246.0,29058626,17937031.0,665,100,9.9999999999e-12,0.9528895944266198,0.03381642512077295,0.11063138213892999,2.4999937500156254e-06,0.52662118973914,7.999936000511995e-06,0.2558718006277251
110,200000031737394.0,98,15868373015833.0,4607534649618,4131617896687.0,19539419,19539596.0,641,110,9.9999999999e-12,0.9544283549807961,0.03381642512077295,0.10329086742950595,2.4999937500156254e-06,0.5352924084433762,7.999936000511995e-06,0.24200090418122144
120,200000031737312.0,2090,15791482169827.0,4703357118954,4208500538194.0,27811929,17291558.0,555,120,9.9999999999e-12,0.9503221734048943,0.03381642512077295,0.10521330767330411,2.4999937500156254e-06,0.5127029593525024,7.999936000511995e-06,0.24539959616962267
130,200000031737313.0,2085,15896909218195.0,4572065376458,4572058781522.0,33791670,22362871.0,538,130,9.9999999999e-12,0.9540912514050822,0.03381642512077295,0.10257755932716314,2.4999937500156254e-06,0.5333706992752574,7.999936000511995e-06,0.2407321297778957
140,200000031737398.0,81,15805294367227.0,4686115880113,4194692631281.0,23489192,13000962.0,637,140,9.9999999999e-12,0.9551582475161263,0.03381642512077295,0.10486790056372694,2.4999937500156254e-06,0.541768344643848,7.999936000511995e-06,0.2676342212608461
150,200000031735337.0,4035,15418835059806.0,5102569455057,4525302373180.0,12454856,5471005.0,557,150,9.9999999999e-12,0.9536385775388775,0.03381642512077295,0.11313278213724365,2.4999937500156254e-06,0.5605645043360085,7.999936000511995e-06,0.2827892460818088
160,200000031737303.0,2076,15550087045115.0,4975743456145,4975755892968.0,12760906,12760890.0,533,160,9.9999999999e-12,0.9528900429574697,0.03381642512077295,0.11063242789452488,2.4999937500156254e-06,0.55435599782996,7.999936000511995e-06,0.25587370305091023
170,200000031737315.0,2051,15574146520394.0,4952483306511,4952495686973.0,31770672,31770928.0,374,170,9.9999999999e-12,0.9574676589900661,0.03381642512077295,0.11017277543467932,2.4999937500156254e-06,0.5242014085050665,7.999936000511995e-06,0.27677514662215535
180,200000031737220.0,2207,15805002411125.0,4686482514298,4686480776970.0,24933848,11480842.0,399,180,9.9999999999e-12,0.9555508661536253,0.03381642512077295,0.10487518387997316,2.4999937500156254e-06,0.5395163435114306,7.999936000511995e-06,0.2658606371485816
190,200000031737310.0,2131,15425426503056.0,5096184984723,5096197725740.0,19059544,8894203.0,602,190,9.9999999999e-12,0.9586171780915682,0.03381642512077295,0.11300786016590317,2.4999937500156254e-06,0.5335055313496702,7.999936000511995e-06,0.2588735015864405
200,200000031735456.0,4012,15891064835038.0,4579323888422,4579335338142.0,11382156,16756679.0,418,200,9.9999999999e-12,0.9541605299714672,0.03381642512077295,0.10272371944676754,2.4999937500156254e-06,0.5337643232429745,7.999936000511995e-06,0.2613704000244472
210,200000031737320.0,1962,15167647859576.0,5345245506204,4832342327023.0,21661795,9813063.0,412,210,9.9999999999e-12,0.956456113814207,0.03381642512077295,0.1178797043062229,2.4999937500156254e-06,0.5471206169059144,7.999936000511995e-06,0.2718856896060819
220,200000031737290.0,2107,15930896729449.0,4529909191542,4607824988774.0,10467667,10467738.0,408,220,9.9999999999e-12,0.9544310320733728,0.03381642512077295,0.10172776190976393,2.4999937500156254e-06,0.5042826104135338,7.999936000511995e-06,0.2392148335193344
230,200000031737395.0,190,15980772320363.0,4468180885912,4019214223322.0,23505568,13455975.0,451,230,9.9999999999e-12,0.9539716458291182,0.03381642512077295,0.10048095077862,2.4999937500156254e-06,0.5326918574756776,7.999936000511995e-06,0.23697772246428692
